,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
224,223341215,18 08 07.900,-26 07 57.52,1,12.525,,,320-136870,18080789-2607570,STAR,J,,0.3,4.7,7.8,6.1,,,,,,,,,,,,,10.876,0.024,9.844,0.021,9.504,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.8,
225,223359631,18 23 35.858,-26 06 08.43,1,15.786,,,320-175552,18233587-2606083,STAR,JHK,,3.5,7.5,-13.0,10.2,,,,,,,,,,,,,13.252,0.021,12.54,0.023,12.274000000000001,0.019,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,10.1,
226,223370117,18 21 12.408,-26 05 06.42,1,6.921,89954.0,6848-517-1,320-170033,18211239-2605064,STAR,BV,,2.63,0.58,3.52,0.34,5.38,0.5,7.154,0.015,6.898,0.01,,,,,,,6.229,0.019,6.184,0.027000000000000003,6.08,0.018000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,18.2,
227,223381838,18 15 14.488,-26 03 56.75,1,14.798,,,320-153229,18151448-2603567,STAR,JHK,,-10.0,4.3,-17.4,4.1,,,,,,,,,,,,,13.52,0.055,13.102,0.053,13.049000000000001,0.048,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-0cc-0-0,7.3,
228,223482421,17 44 58.678,-25 53 58.79,1,14.837,,,321-120301,17445867-2553590,STAR,JHK,rpm,5.8,37.5,6.8,37.5,,,,,,,,,,,,,11.929,0.045,11.132,0.075,10.741,0.053,4447.0,239.0,334.0,2.068,0.48,0.72,0.018000000000000002,0.3,0.78,17.238,14.159,6.9270000000000005,1.167,0.763,0.254,0.000297,0.000768,0.000267,3943.0,2988.0,1308.0,1.05,0.392,0.28,AAA-222-111-000-0-0,6.0,
229,223493966,17 41 21.153,-25 52 50.71,1,14.402999999999999,,,321-118868,17412115-2552506,STAR,JHK,,-11.7,4.8,-13.5,14.8,,,,,,,,,,,,,11.722999999999999,0.025,10.931,0.032,10.605,0.028999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.3,
230,223556966,18 14 12.071,-25 46 34.92,1,15.164000000000001,,,322-145738,18141206-2546348,STAR,J,,11.3,8.2,-24.4,11.4,,,,,,,,,,,,,13.827,0.026000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUU-266-200-c00-0-0,3.3,
231,223557439,17 35 58.888,-25 46 32.19,1,13.514000000000001,,,322-115604,17355887-2546322,STAR,J,,5.6,9.0,-2.0,8.6,,,,,,,,,,,,,12.087,0.032,11.255,0.044000000000000004,10.867,0.032,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.3,
232,223573464,17 49 00.415,-25 44 58.33,1,8.69,,6832-43-1,322-119646,17490042-2544582,STAR,BV,,1.9,1.6,-0.1,1.5,,,8.722999999999999,0.019,8.613,0.016,,,,,,,8.131,0.026000000000000002,8.122,0.044000000000000004,8.088,0.027000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-0dd-0-0,5.2,
233,223623369,18 16 01.326,-25 40 01.01,1,13.685,,,322-150109,18160132-2540009,STAR,JHK,,2.6,10.8,-3.7,6.3,,,,,,,,,,,,,11.347999999999999,0.024,10.578,0.025,10.354000000000001,0.025,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.5,
