EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
221855684,18 06 09.096,-28 21 48.16,1,15.99,,,309-166072,18060909-2821479,STAR,JHK,,22.1,13.8,-20.8,13.5,,,,,,,,,,,,,13.808,0.041,13.119,0.043,12.971,0.045,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,8.6,
221887964,18 07 34.332,-28 18 50.66,1,15.443,,,309-169995,18073434-2818505,STAR,JHK,,,,,,,,,,,,,,,,,,12.713,0.039,11.85,0.039,11.579,0.04,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.9,0616-0762968
221907528,18 06 01.144,-28 17 04.23,1,9.966,,,309-165730,18060115-2817042,STAR,J,,-21.6,6.7,-8.6,6.7,,,,,,,,,,,,,8.266,0.021,7.24,0.049,6.478,0.018,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,5.8,
221918659,18 06 56.476,-28 16 04.05,1,15.604,,,309-168298,18065647-2816039,STAR,JHK,,-63.4,19.3,75.4,19.5,,,,,,,,,,,,,13.481,0.053,12.726,0.047,12.579,0.05,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-222-ccc-0-0,3.5,
221937241,18 07 04.859,-28 14 22.24,1,14.718,,,,18070485-2814222,STAR,J,,31.5,9,-18.9,9,,,,,,,,,,,,,13.392,0.071,12.443,0.059,12.182,0.056,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,5.9,0617-0791226
221938867,18 10 04.349,-28 14 13.28,1,15.251,,,309-175395,18100434-2814133,STAR,JHK,,4.9,5.9,-42.2,5.9,,,,,,,,,,,,,13.904,0.045,13.495,0.043,13.384,0.054,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.2,
221965093,18 07 26.565,-28 11 51.36,1,14.942,,,,18072656-2811513,STAR,J,,,,,,,,,,,,,,,,,,13.613,0.028,12.693,0.024,12.311,0.035,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-222-ccc-0-0,5.5,0618-0834896
221968183,18 07 13.783,-28 11 34.24,1,13.579,,,310-165945,18071377-2811343,STAR,J,,-6.9,15.5,-23,15.7,,,,,,,,,,,,,12.164,0.036,11.238,0.031,10.947,0.032,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6,
221980326,18 06 20.070,-28 10 29.17,1,15.824,,,,18062007-2810291,STAR,JHK,,-45.1,9,5.7,9,,,,,,,,,,,,,13.524,0.057,12.728,0.044,12.545,0.046,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-112-ccc-0-0,4.6,0618-0829354
221991290,18 06 49.140,-28 09 29.72,1,15.74,,,,18064913-2809297,STAR,JHK,,-12,19,12,3,,,,,,,,,,,,,13.35,0.031,12.58,0.031,12.335,0.032,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.4,0618-0831968
221995510,18 07 28.593,-28 09 06.95,1,14.432,,,,18072859-2809069,STAR,J,,,,,,,,,,,,,,,,,,13.103,0.029,12.023,0.029,11.629,0.026,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-ccc-0-0,8.5,0618-0835020
221997391,18 08 07.956,-28 08 56.42,1,15.326,,,310-167626,18080795-2808564,STAR,J,,,,,,,,,,,,,,,,,,13.981,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUU-266-200-c00-0-0,4.6,0618-0838207
222001111,18 12 03.692,-28 08 36.20,1,10.79,,,310-178934,18120369-2808361,STAR,J,,21.4,4.2,0.1,4.2,,,,,,,,,,,,,9.09,0.021,8.424,0.027,7.766,0.026,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,8,
222001328,18 07 44.198,-28 08 35.12,1,15.809,,,310-166759,18074419-2808351,STAR,JHK,,-9.1,12.6,8.6,12.6,,,,,,,,,,,,,13.366,0.052,12.561,0.047,12.331,0.048,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-222-ccc-0-0,5.8,
222001341,18 06 54.056,-28 08 35.08,1,15.449,,,310-165275,18065405-2808349,STAR,JHK,,38.7,11,-11.8,9.8,,,,,,,,,,,,,13.049,0.026,12.199,0.031,12.03,0.029,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,5.7,
222002937,18 06 48.702,-28 08 26.77,1,15.81,,,310-165068,18064865-2808263,STAR,JHK,,5.2,9,-26.3,9,,,,,,,,,,,,,13.601,0.038,12.902,0.036,12.756,0.038,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-ccc-0-0,5,0618-0831930
222020188,18 07 24.388,-28 06 53.82,1,15.075,,,,18072438-2806538,STAR,J,,4,2,-2,0,,,,,,,,,,,,,13.741,0.04,12.778,0.041,12.414,0.038,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7,0618-0834741
222037354,18 06 07.640,-28 05 20.20,1,15.658,,,310-162929,18060764-2805203,STAR,JHK,,-20.6,7,43.7,27.5,,,,,,,,,,,,,13.642,0.067,13.071,0.088,12.854,0.057,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-211-ccc-0-0,4.2,
222038957,18 08 38.570,-28 05 11.80,1,15.764,,,310-168411,18083854-2805107,STAR,JHK,,,,,,,,,,,,,,,,,,13.44,0.066,12.807,0.07,12.559,0.068,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-444-ccc-0-0,4.5,0619-0864852
222063900,18 06 18.909,-28 02 55.79,1,13.099,,,310-163602,18061890-2802557,STAR,J,,13.9,5,-19.5,8.3,,,,,,,,,,,,,11.581,0.033,,,10.682,0.037,,,,,,,,,,,,,,,,,,,,,,,,,AEA-222-111-000-0-0,9.3,
222072613,18 06 35.271,-28 02 08.26,1,15.648,,,310-164456,18063526-2802081,STAR,JHK,,3.9,7.4,-36.6,7.3,,,,,,,,,,,,,13.216,0.063,12.378,0.06,12.185,0.069,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.9,
222076670,18 07 22.166,-28 01 45.92,1,15.84,,,310-166220,18072216-2801463,STAR,JHK,,-10.7,8,-4.7,8.2,,,,,,,,,,,,,13.481,0.032,12.816,0.035,12.588,0.035,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.8,
222082127,18 07 28.022,-28 01 15.74,1,15.723,,,310-166339,18072801-2801167,STAR,JHK,,-3,5.7,22.5,7.6,,,,,,,,,,,,,13.257,0.044,12.57,0.051,12.322,0.05,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,9.8,
222083205,18 07 30.004,-28 01 10.04,1,15.834,,,310-166383,18073000-2801101,STAR,JHK,,-5.8,5.1,1.7,5.1,,,,,,,,,,,,,13.596,0.04,13.019,0.04,12.742,0.045,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,8,
222092065,18 15 57.165,-28 00 21.13,1,14.274,,,310-192332,18155716-2800211,STAR,JHK,,6.7,4.3,11.6,2.5,,,,,,,,,,,,,12.78,0.03,12.272,0.036,12.177,0.029,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.2,
222094935,18 07 20.080,-28 00 05.33,1,15.895,,,310-166149,18072008-2800050,STAR,JHK,,13.5,10.8,-20,10.8,,,,,,,,,,,,,13.513,0.036,12.658,0.035,12.501,0.037,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.9,
222113850,18 10 06.456,-27 58 22.60,1,15.247,,,311-167856,18100645-2758226,STAR,JHK,,1.9,6.5,-40.9,4.8,,,,,,,,,,,,,12.597,0.034,11.789,0.035,11.489,0.032,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.1,
222119868,18 10 43.862,-27 57 50.11,1,10,,,311-170124,18104386-2757501,STAR,J,,-11.8,8.2,-14.4,2.3,,,,,,,,,,,,,8.3,0.018,7.284,0.026,6.92,0.018,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,7.1,
222136221,18 07 28.064,-27 56 19.77,1,14.234,,,311-159901,18072807-2756196,STAR,J,,-13.6,9.8,-8.3,9.8,,,,,,,,,,,,,12.896,0.032,11.96,0.029,11.681,0.028,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,9.2,
222146454,18 15 45.147,-27 55 24.87,1,15.073,,,311-188294,18154515-2755248,STAR,JHK,,-4.7,2.9,-3,6.5,,,,,,,,,,,,,13.692,0.035,13.263,0.035,13.15,0.037,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,12.5,
222146591,18 07 37.511,-27 55 24.18,1,15.744,,,311-160282,18073749-2755242,STAR,JHK,,54.2,9,159.1,9,,,,,,,,,,,,,12.88,0.053,12.002,0.058,11.705,0.048,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-222-ccc-0-0,5.4,0620-0877158
222148346,18 06 40.823,-27 55 14.09,1,14.773,,,311-157480,18064080-2755139,STAR,J,,-10,2,12,5,,,,,,,,,,,,,13.447,0.053,12.606,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,AAU-226-220-cc0-0-0,4.4,0620-0870982
222157239,18 08 07.909,-27 54 25.04,1,15.581,,,,18080790-2754250,STAR,JHK,,0,15,-38,11,,,,,,,,,,,,,13.32,0.049,12.512,0.044,12.357,0.051,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.8,0620-0880619
222160975,18 16 30.037,-27 54 04.76,1,13.496,,,311-191203,18163003-2754047,STAR,JHK,,-3,3.2,-4.1,2.5,,,,,,,,,,,,,11.248,0.027,10.555,0.03,10.391,0.026,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,8.3,
222170135,18 07 09.643,-27 53 15.24,1,15.795,,,311-159092,18070963-2753150,STAR,JHK,,-1.2,9.2,-7.3,5.9,,,,,,,,,,,,,13.264,0.053,12.518,0.05,12.289,0.041,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-ccc-0-0,4.7,
222170295,18 05 52.207,-27 53 14.38,1,15.273,,,,18055220-2753143,STAR,J,,10,9,2.5,9,,,,,,,,,,,,,13.931,0.113,13.205,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,BBU-226-120-0c0-0-0,4.1,0621-0868840
222170317,18 17 44.085,-27 53 14.27,1,12.659,,,311-195247,18174408-2753142,STAR,JHK,,-8.1,4.4,-12.9,11.5,,,,,,,,,,,,,10.183,0.027,9.441,0.03,9.243,0.025,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-pp0-0-0,10.4,
222176508,18 06 51.650,-27 52 39.99,1,14.698,,,311-158162,18065163-2752398,STAR,J,,-28.2,23.9,10.3,8.2,,,,,,,,,,,,,13.372,0.093,12.63,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,ABU-220-110-cc0-0-0,4.9,
222182375,18 09 33.360,-27 52 08.50,1,9.988,,6851-3502-1,311-165743,18093335-2752084,STAR,BV,,-3.6,2.6,-6.4,2.3,,,10.292,0.036,9.985,0.044,,,,,,,9.548,0.021,9.549,0.021,9.546,0.022,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.2,
222184746,18 06 18.205,-27 51 55.78,1,15.785,,,311-155847,18061819-2751556,STAR,JHK,,-19.8,17.7,19.7,17.7,,,,,,,,,,,,,13.446,0.051,12.796,0.046,12.56,0.051,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-222-ccc-0-0,4.5,
222189898,18 08 05.644,-27 51 27.32,1,15.524,,,311-161582,18080563-2751271,STAR,JHK,,3.2,5,-8.6,5,,,,,,,,,,,,,13.399,0.055,12.755,0.039,12.579,0.061,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-222-ccc-0-0,5.6,
222194796,18 07 05.356,-27 51 00.57,1,14.619,,,311-158889,18070537-2751007,STAR,J,,-23.7,27.5,26.5,8.4,,,,,,,,,,,,,13.293,0.075,,,12.353,0.039,,,,,,,,,,,,,,,,,,,,,,,,,AEA-222-222-ccc-0-0,3.3,
222195813,18 18 57.019,-27 50 54.81,1,13.209,,,311-199023,18185702-2750547,STAR,JHK,,4.3,3.8,-15,3.9,,,,,,,,,,,,,11.044,0.023,10.334,0.024,10.212,0.025,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,8.3,
222208483,18 15 41.908,-27 49 46.52,1,12.85,,,311-188089,18154190-2749464,STAR,JHK,,-13.9,2.5,-4,3.4,,,,,,,,,,,,,10.576,0.029,9.91,0.034,9.711,0.026,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7,
222209457,18 13 14.844,-27 49 41.30,1,12.911,,,311-178766,18131487-2749410,STAR,J,,-63.2,17.2,-97.4,17.2,,,,,,,,,,,,,11.347,0.032,9.807,0.028,8.34,0.031,,,,,,,,,,,,,,,,,,,,,,,,,AAA-221-111-000-0-0,6.4,
222218055,18 07 37.421,-27 48 54.42,1,15.792,,,311-160272,18073742-2748543,STAR,JHK,,4.3,9,-11.1,9,,,,,,,,,,,,,13.106,0.046,12.275,0.04,11.986,0.04,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-0dd-0-0,7.9,
222219686,18 08 34.044,-27 48 45.63,1,15.734,,,,18083404-2748456,STAR,JHK,,,,,,,,,,,,,,,,,,13.54,0.026,12.742,0.021,12.606,0.026,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.1,0621-0886668
222223205,18 16 59.087,-27 48 27.11,1,15.219,,,311-192897,18165908-2748271,STAR,JHK,,2.5,2.9,5.3,4.6,,,,,,,,,,,,,13.263,0.03,12.706,0.03,12.493,0.03,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-ccc-0-0,11.9,
222229673,18 16 50.283,-27 47 52.72,1,13.438,,,312-186795,18165028-2747526,STAR,J,,4.6,3,-33.2,3,,,,,,,,,,,,,11.997,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEE-222-112-csc-0-0,4.7,
222231895,18 05 49.904,-27 47 40.80,1,15.95,,,,18054990-2747408,STAR,JHK,,5.5,9,-37.5,9,,,,,,,,,,,,,13.82,0.063,13.033,0.083,12.915,0.062,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-ccc-0-0,6.5,0622-0887955
222233642,18 07 09.870,-27 47 31.39,1,15.36,,,312-153444,18070986-2747313,STAR,JHK,,-2.7,13.4,-1.2,9.5,,,,,,,,,,,,,13.112,0.059,12.408,0.058,12.255,0.055,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,4.7,
222243047,18 05 51.756,-27 46 40.79,1,15.11,,,312-148816,18055176-2746408,STAR,JHK,,-11.9,6.9,-5,6.9,,,,,,,,,,,,,12.813,0.062,12.023,0.061,11.835,0.051,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,5.5,
222252159,18 08 53.110,-27 45 53.02,1,14.325,,,312-157659,18085308-2745524,STAR,J,,61.4,14.6,-44,13.9,,,,,,,,,,,,,12.991,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUU-266-200-c00-0-0,4,
222265697,18 15 53.824,-27 44 41.88,1,11.489,,,312-183381,18155374-2744420,STAR,J,,-33.1,5.7,-5.3,3.1,,,,,,,,,,,,,9.789,0.029,8.746,0.036,8.376,0.02,,,,,,,,,,,,,,,,,,,,,,,,,AAA-211-111-000-0-0,5.4,
222267075,18 10 45.337,-27 44 34.74,1,15.164,,,312-164117,18104534-2744347,STAR,JHK,,-79.2,17.7,48,3.9,,,,,,,,,,,,,13.215,0.048,12.618,0.052,12.447,0.05,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.2,
222270477,18 07 43.633,-27 44 16.89,1,15.734,,,312-154966,18074362-2744168,STAR,JHK,,4.4,8.5,-22.2,8.6,,,,,,,,,,,,,13.425,0.061,12.671,0.064,12.442,0.059,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-222-ccc-0-0,4.5,
222282569,18 07 40.599,-27 43 13.43,1,15.493,,,312-154834,18074059-2743134,STAR,JHK,,5.9,8.6,2.8,8.7,,,,,,,,,,,,,12.885,0.034,12.016,0.027,11.791,0.03,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-00d-0-0,10.1,
222289639,18 05 59.080,-27 42 35.81,1,15.503,,,312-149264,18055909-2742358,STAR,JHK,,-18.7,7.8,-1.5,7.9,,,,,,,,,,,,,12.738,0.048,11.83,0.049,11.593,0.033,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.5,
222296622,18 06 03.111,-27 41 59.16,1,15.57,,,312-149483,18060311-2741591,STAR,JHK,,0.4,9,54.9,9,,,,,,,,,,,,,13.351,0.16,12.581,0.044,12.406,0.04,,,,,,,,,,,,,,,,,,,,,,,,,CAA-222-111-ccc-0-0,5.5,0623-0879839
222296701,18 05 54.898,-27 41 58.78,1,15.213,,,312-149009,18055491-2741589,STAR,J,,-3.1,12,-5,10.8,,,,,,,,,,,,,13.874,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUU-200-100-c00-0-0,3.4,
222309251,18 05 53.877,-27 40 52.19,1,15.632,,,312-148932,18055388-2740524,STAR,JHK,,-9.3,19.8,22.2,8.4,,,,,,,,,,,,,13.422,0.064,12.659,0.063,12.481,0.054,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.7,
222311911,18 05 52.450,-27 40 38.64,1,15.87,,,312-148855,18055245-2740386,STAR,JHK,,-16.8,16.7,11.9,8.4,,,,,,,,,,,,,13.668,0.107,13.005,0.129,12.825,0.093,,,,,,,,,,,,,,,,,,,,,,,,,ABA-222-111-ccc-0-0,5.6,
222316908,18 19 11.937,-27 40 12.87,1,12.478,,,312-194213,18191193-2740129,STAR,JHK,,2.2,3.3,7.2,3.4,,,,,,,,,,,,,10.219,0.023,9.44,0.025,9.257,0.023,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,8.5,
222319020,18 21 20.563,-27 40 01.70,1,14.463,,,312-199771,18212056-2740016,STAR,JHK,,-11.6,3.6,-16.1,4.3,,,,,,,,,,,,,12.598,0.025,11.969,0.031,11.856,0.03,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.7,
222340068,18 18 55.473,-27 38 11.48,1,14.373,,,312-193470,18185547-2738115,STAR,JHK,,-1.6,3.6,-2.4,3.6,,,,,,,,,,,,,12.515,0.024,11.889,0.024,11.775,0.023,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,8.5,
222343049,17 56 21.494,-27 37 55.82,1,10.339,,,312-129328,17562148-2737557,STAR,JHK,,3.3,1.2,-2.1,1.1,,,,,,,,,,,,,8.628,0.024,8.2,0.023,7.937,0.02,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,6.4,
222350668,18 18 10.992,-27 37 17.09,1,13.934,,,312-191180,18181099-2737170,STAR,JHK,,17,6.7,-17.4,3.5,,,,,,,,,,,,,12.369,0.037,11.794,0.036,11.734,0.037,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,4.8,
222361076,18 18 44.003,-27 36 22.32,1,14.044,,,312-192925,18184400-2736223,STAR,JHK,,4,3.5,-8.6,3.7,,,,,,,,,,,,,11.902,0.023,11.22,0.024,11.077,0.023,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-0ss-0-0,11.2,
222361622,18 07 00.444,-27 36 19.36,1,13.021,,,312-152932,18070043-2736193,STAR,JHK,,-15.6,3.4,-6.6,4.3,,,,,,,,,,,,,11.118,0.023,10.603,0.024,10.364,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,8.5,
222365259,17 52 58.144,-27 36 00.49,1,9.927,,6849-19-1,312-126255,17525814-2736005,STAR,BV,,-5.6,3,-4.6,2.7,,,11.458,0.128,10.174,0.056,,,,,,,6.986,0.019,6.415,0.029,6.164,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,8.5,
222366123,18 05 52.284,-27 35 55.87,1,15.814,,,,18055228-2735558,STAR,JHK,,,,,,,,,,,,,,,,,,13.563,0.048,12.898,0.065,12.705,0.039,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-222-ccc-0-0,3.8,0624-0883792
222372216,18 21 15.626,-27 35 24.24,1,14.909,,,313-201934,18211563-2735242,STAR,JHK,,-0.9,3.9,-5.5,3.9,,,,,,,,,,,,,13.689,0.022,13.333,0.026,13.265,0.035,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,9.1,
222392251,18 19 13.318,-27 33 39.78,1,14.396,,,313-196919,18191331-2733398,STAR,JHK,,16.6,3.6,3.3,3.6,,,,,,,,,,,,,12.057,0.021,11.402,0.021,11.171,0.02,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.3,
222393846,18 22 11.497,-27 33 31.57,1,15.079,,,313-203797,18221149-2733316,STAR,JHK,,-17.9,3.8,-6,3.9,,,,,,,,,,,,,13.182,0.028,12.513,0.029,12.43,0.032,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,9.3,
222394332,18 20 48.256,-27 33 29.08,1,14.659,,,313-200921,18204824-2733290,STAR,JHK,,-4.7,4.5,-6.5,4.7,,,,,,,,,,,,,12.94,0.026,12.424,0.03,12.246,0.028,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,10.6,
222399381,18 18 03.463,-27 33 03.18,1,14.78,,,313-193479,18180346-2733032,STAR,JHK,,-16.9,4.8,-2.8,7.9,,,,,,,,,,,,,13.046,0.026,12.472,0.028,12.347,0.03,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,9.3,
222406223,18 06 53.009,-27 32 27.06,1,15.803,,,313-152609,18065299-2732273,STAR,JHK,,-7.1,32.5,12.5,32.5,,,,,,,,,,,,,13.168,0.056,12.3,0.05,12.065,0.053,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,4.8,
222406832,18 06 25.486,-27 32 23.94,1,15.429,,,313-150818,18062548-2732237,STAR,JHK,,,,,,,,,,,,,,,,,,13.08,0.06,12.275,0.048,12.081,0.062,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-ccc-0-0,5.1,0624-0887463
222411842,18 18 01.144,-27 31 58.32,1,15.093,,,313-193320,18180114-2731582,STAR,JHK,,15.1,7.7,-12.8,3.8,,,,,,,,,,,,,13.603,0.035,13.193,0.034,13.002,0.035,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,16.4,
222414803,18 06 21.244,-27 31 42.54,1,15.547,,,313-150528,18062122-2731425,STAR,JHK,,-11.2,8.8,12.1,8.8,,,,,,,,,,,,,13.473,0.056,12.696,0.047,12.594,0.05,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-ccc-0-0,6.2,
222427703,18 20 32.467,-27 30 36.38,1,13.641,,,313-200256,18203246-2730364,STAR,JHK,,-11.6,3.5,0.8,3.6,,,,,,,,,,,,,11.282,0.026,10.612,0.027,10.389,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,8.7,
222429836,18 10 45.780,-27 30 25.19,1,15.128,,,313-166078,18104578-2730252,STAR,J,,41.6,15.7,-32.4,14.6,,,,,,,,,,,,,13.792,0.022,13.431,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,AAU-226-220-cc0-0-0,3.6,
