,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
1117,212315473,13 51 19.032,-17 04 26.75,1,14.032,,,365-064833,13511903-1704266,,STAR,gri,rpm,-35.3,3.3,-0.1,2.7,,,15.596,0.04,14.441,0.03,,,15.057,0.02,14.022,0.02,13.592,0.03,,,12.375,0.029,11.779,0.026,11.685,0.024,4465,88,53,4.699,0.056,0.048,-0.18,0.2,0.32,0.596,0.059,0.074,0.643,0.07,0.07,3.014,0.746,0.507,227.5,31.91,27.98,0.038,0.029,0.007,AAA-222-111-000-0-0,,
1118,212315494,13 53 19.406,-17 04 24.98,1,13.742,,,365-064918,13531941-1704249,,STAR,gri,rpm,-37.2,2,-18,2.4,,,15.061,0.03,14.032,0.03,,,14.556,0.03,13.649,0.02,13.393,0.1,,,12.129,0.026,11.583,0.024,11.529,0.023,4817,96,115,4.598,0.057,0.02,0.01,0.15,0.3,0.741,0.025,0.088,0.797,0.033,0.092,1.933,0.586,0.116,283.9,16.96,40.71,0.041,0.032,0.01,AAA-222-111-000-0-0,,
1119,212315508,13 32 42.795,-17 04 22.97,1,13.692,,,365-064172,13324280-1704229,,STAR,gri,rpm,-29.7,2.1,-0.4,2.4,,,14.548,0.03,13.88,0.03,,,14.128,0.03,13.67,0.03,13.505,0.04,,,12.516,0.023,12.197,0.024,12.139,0.029,5956,119,119,4.332,0.09,0.216,-0.42,0.24,0.28,1.07,0.296,0.136,0.905,0.062,0.052,0.723,0.327,0.38,627.3,166.4,97.05,0.06,0.022,0.026,AAA-222-111-000-0-0,,
1120,212315536,13 33 08.042,-17 04 20.12,1,10.426,,6125-681-1,365-064180,13330804-1704200,,STAR,gri,rav,-38.3,1.8,-27.8,1.9,,,11.096,0.07,10.483,0.056,,,10.825,0.05,10.387,0.01,10.256,0.05,,,9.385,0.023,9.115,0.026,9.045,0.026,5775,171,171,3.86,0.1,0.1,-0.125,0.12,0.15,2.042,0.395,0.28,1.188,0.161,0.115,0.127,0.057,0.045,277.4,50.92,36.35,0.047,0.028,0.02,AAA-222-111-000-0-0,,
1121,212315562,13 53 14.253,-17 04 18.00,1,14.289,,,365-064912,13531425-1704179,,STAR,gri,rpm,-12.3,2.5,-27.8,2.7,,,16.409,0.14,14.942,0.03,,,15.723,0.03,14.359,0.01,13.675,0.15,,,12.089,0.026,11.399,0.027,11.233,0.026,3901,46,46,4.856,0.04,0.025,-0.015,0.24,0.2,0.432,0.017,0.048,0.493,0.015,0.07,6.014,1.402,0.466,129.2,6.589,24.19,0.05,0.01,0.011,AAA-222-111-000-0-0,,
1122,212315578,13 52 06.035,-17 04 16.46,1,13.077,,,365-064865,13520602-1704164,,STAR,gri,rpm,7.4,2.2,5.4,1.7,,,13.777,0.03,13.192,0.01,,,13.412,0.02,13.055,0.02,12.933,0.03,,,12.05,0.023,11.806,0.024,11.723,0.021,6250,151,100,4.165,0.15,0.125,-0.309,0.25,0.3,1.373,0.293,0.241,1.122,0.137,0.191,0.358,0.264,0.132,697.1,154.6,149,0.054,0.031,0.022,AAA-222-111-000-0-0,,
1123,212315593,13 24 47.428,-17 04 14.70,1,11.681,,6124-274-1,365-063870,13244742-1704147,,STAR,gri,rpm,22.4,2.6,-11.2,2.8,,,12.544,0.27,12.036,0.21,,,12.083,0.06,11.667,0.03,11.509,0.06,,,10.701,0.029,10.425,0.023,10.356,0.021,6037,182,146,4.213,0.175,0.21,-0.074,0.16,0.28,1.364,0.376,0.337,1.103,0.159,0.133,0.395,0.475,0.17,356.6,84.14,91.51,0.051,0.032,0.022,AAA-222-111-000-0-0,,
1124,212315622,13 20 41.532,-17 04 10.75,1,13.724,,,365-063716,13204153-1704108,,STAR,gri,rpm,-13.5,2.7,-9.8,3.1,,,14.523,0.04,13.803,0.04,,,14.27,0.26,13.585,0.03,13.49,0.14,,,12.472,0.024,12.097,0.022,12.047,0.021,5622,177,221,4.469,0.055,0.264,-0.149,0.2,0.32,0.923,0.38,0.089,0.923,0.076,0.076,1.181,0.289,0.667,495.1,192.8,54.86,0.052,0.029,0.021,AAA-222-111-000-0-0,,
1125,212315642,13 50 46.864,-17 04 08.94,1,13.985,,,365-064815,13504685-1704089,,STAR,gri,rpm,-3,2.1,0,2.3,,,14.861,0.04,14.17,0.02,,,14.463,0.02,14.004,0.03,13.781,0.04,,,12.864,0.026,12.486,0.022,12.507,0.03,5691,219,219,3.811,0.63,1.386,-0.909,0.6,0.5,1.637,6.476,0.722,0.882,0.119,0.05,0.122,0.942,0.121,1088,3934,464,0.044,0.036,0.018,AAA-222-111-000-0-0,,
1126,212315655,13 31 17.230,-17 04 07.54,1,11.108,,,365-064112,13311723-1704074,,STAR,gri,rav,-56.9,1,-7.1,1.2,,,11.818,0.04,11.21,0.03,,,11.43,0.03,11.032,0.03,10.97,0.08,,,10.004,0.023,9.735,0.025,9.658,0.023,6009,143,143,3.905,0.132,0.11,-0.04,0.12,0.12,2.027,0.41,0.341,1.266,0.206,0.147,0.14,0.077,0.049,389.9,81.02,67.08,0.05,0.029,0.018,AAA-222-111-000-0-0,,
1127,212315707,13 34 10.356,-17 04 03.79,1,14.73,,,365-064217,13341036-1704038,,STAR,BV,rpm,-36.2,2.5,1.9,2.8,,,15.548,0.01,14.868,0.03,,,,,,,,,,,13.789,0.023,13.413,0.029,13.335,0.037,5608,170,204,4.555,0.06,0.084,-0.783,0.36,0.3,0.75,0.106,0.078,0.742,0.071,0.051,1.722,0.496,0.451,736.8,120.9,87.64,0.058,0.032,0.027,AAA-222-111-000-0-0,,
1128,212315723,13 52 54.653,-17 04 02.74,1,18.173,,,,13525465-1704027,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.621,0.153,16.026,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,BCU-220-110-000-0-0,25.9,
1129,212315747,13 47 38.042,-17 04 00.43,1,16.758,,,,13473804-1704004,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,15.313,0.064,14.652,0.078,14.09,0.075,3551,257,257,5.027,0.11,0.11,-0.087,0.2,0.24,0.241,0.104,0.073,0.251,0.152,0.114,14.45,12.46,6.692,280.3,165,119.5,0.05,0.028,0.024,AAA-222-111-000-0-0,,
1130,212315749,13 23 03.523,-17 04 00.23,1,15.107,,,365-063820,13230351-1703599,,STAR,JHK,rpm,40.7,6.9,-57.6,6.8,,,,,,,,,,,,,,,,,12.992,0.026,12.411,0.027,12.175,0.025,3623,110,132,4.985,0.11,0.05,-0.01,0.15,0.21,0.297,0.039,0.097,0.311,0.053,0.127,11.87,11.01,2.741,111.8,24.49,36.57,0.032,0.016,0.012,AAA-222-111-000-0-0,,
1131,212315754,13 20 47.146,-17 03 59.91,1,12.354,,6124-375-1,365-063721,13204716-1703598,,STAR,gri,rav,-6.3,3.2,6.4,3.3,,,13.064,0.383,12.339,0.251,,,12.854,0.27,12.207,0.04,12.139,0.13,,,11.149,0.026,10.879,0.022,10.816,0.021,6145,185,148,4.318,0.06,0.084,0.022,0.08,0.12,1.216,0.163,0.104,1.147,0.098,0.07,0.618,0.169,0.178,401.8,61.23,45.99,0.056,0.029,0.024,AAA-222-111-000-0-0,,
1132,212315811,13 21 49.878,-17 03 53.84,1,16.093,,,365-063758,13214986-1703537,,STAR,JHK,rpm,21.4,5.4,-57.4,5.6,,,,,,,,,,,,,,,,,15.345,0.05,14.895,0.06,15.195,0.167,3965,1473,589,4.977,0.125,0.275,-0.645,0.6,1.56,0.292,0.289,0.102,0.319,0.291,0.146,10.52,10.96,7.607,367.7,677.3,161.9,0.042,0.027,0.015,AAC-222-111-000-0-0,,
1133,212315814,13 50 49.039,-17 03 53.51,1,14.179,,,365-064816,13504903-1703535,,STAR,gri,rpm,-32,2.5,-6,2.7,,,15.937,0.02,14.673,0.05,,,15.376,0.02,14.168,0.02,13.666,0.01,,,12.284,0.023,11.597,0.022,11.529,0.027,4167,49,49,4.762,0.02,0.028,0.077,0.12,0.12,0.534,0.03,0.024,0.611,0.02,0.035,3.897,0.396,0.416,187.6,9.568,12.04,0.039,0.024,0.01,AAA-222-111-000-0-0,,
1134,212315860,13 29 00.201,-17 03 49.36,1,16.251,,,365-064025,13290019-1703492,,STAR,JHK,rpm,-72.4,5.5,-31.9,5.5,,,,,,,,,,,,,,,,,14.278,0.03,13.645,0.027,13.503,0.033,3999,301,215,4.921,0.09,0.075,-0.51,0.36,0.42,0.351,0.068,0.077,0.386,0.098,0.098,8.364,4.295,2.443,282.6,86.52,77.49,0.04,0.036,0.01,AAA-222-111-000-0-0,,
1135,212315936,13 19 19.047,-17 03 40.95,1,18.758,,,,13191904-1703409,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.931,0.087,15.132,0.112,14.767,0.135,3932,428,357,4.892,0.145,0.145,-0.201,0.25,0.35,0.371,0.139,0.133,0.432,0.157,0.189,6.966,8.134,3.31,640,358.1,296.4,0.057,0.029,0.024,ABB-222-111-000-0-0,,
1136,212315941,13 32 20.944,-17 03 40.29,1,14.406,,,365-064155,13322094-1703403,,STAR,gri,rpm,-14.7,2.5,-24.8,2.8,,,15.639,0.04,14.722,0.04,,,15.133,0.03,14.356,0.03,14.094,0.06,,,12.844,0.023,12.295,0.024,12.175,0.029,4909,118,78,4.628,0.04,0.025,-0.348,0.25,0.25,0.681,0.045,0.067,0.727,0.065,0.078,2.216,0.448,0.241,379.5,31.66,47.44,0.05,0.034,0.019,AAA-222-111-000-0-0,,
1137,212315955,13 26 29.209,-17 03 38.61,1,15.324,,,365-063932,13262922-1703383,,STAR,gri,rpm,-76.9,6,-1.9,6.1,,,17.764,0.13,16.344,0.075,,,17.252,0.07,15.769,0.07,14.498,0.1,,,12.48,0.026,11.787,0.022,11.55,0.023,3601,58,101,4.976,0.06,0.025,0.153,0.12,0.18,0.298,0.028,0.059,0.308,0.043,0.074,11.49,4.739,1.482,90.37,10.14,21.63,0.036,0.01,0.016,AAA-222-111-000-0-0,,
1138,212315979,13 24 51.676,-17 03 35.69,1,14.38,,,365-063872,13245168-1703357,,STAR,gri,rpm,-31.7,3.8,-1.7,4.4,,,15.278,0.09,14.565,0.03,,,14.903,0.06,14.356,0.04,14.156,0.04,,,13.144,0.027,12.743,0.025,12.623,0.029,5481,162,130,4.529,0.065,0.078,-0.436,0.25,0.6,0.799,0.114,0.1,0.804,0.089,0.089,1.543,0.515,0.451,572.7,112.7,79.61,0.054,0.03,0.019,AAA-222-111-000-0-0,,
1139,212315995,13 53 08.514,-17 03 33.83,1,12.953,,,365-064904,13530850-1703336,,STAR,gri,rpm,15.2,1.5,-101.8,2,,,13.712,0.04,13.111,0.01,,,13.346,0.04,12.931,0.02,12.784,0.13,,,11.791,0.026,11.432,0.026,11.369,0.019,5817,173,138,4.524,0.06,0.072,-1.03,0.36,0.24,0.772,0.092,0.06,0.751,0.042,0.03,1.549,0.401,0.374,255.8,94.08,68.78,0.042,0.031,0.016,AAA-222-111-000-0-0,,
1140,212316004,13 33 18.413,-17 03 32.87,1,15.989,,,,13331841-1703328,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,13.509,0.029,12.863,0.034,12.567,0.033,3632,204,170,4.983,0.095,0.095,-0.032,0.15,0.21,0.274,0.09,0.079,0.287,0.122,0.102,12.06,9.782,4.708,137.5,59.44,48.16,0.038,0.024,0.017,AAA-222-111-000-0-0,,
1141,212316017,13 44 22.683,-17 03 31.91,1,17.17,,,,13442268-1703319,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.538,0.047,14.833,0.06,14.876,0.12,4223,260,313,4.779,0.108,0.09,-0.185,0.24,0.32,0.488,0.1,0.112,0.542,0.1,0.12,4.149,3.028,1.344,767.4,244.2,216.6,0.056,0.028,0.023,AAB-222-111-000-0-0,,
1142,212316046,13 20 55.829,-17 03 29.42,1,11.813,,6124-355-1,365-063727,13205583-1703293,,STAR,gri,rpm,-19.8,2.1,-7.2,2.3,,,12.321,0.208,12.076,0.219,,,12.281,0.27,11.677,0.03,11.613,0.12,,,10.678,0.024,10.385,0.022,10.302,0.021,5993,179,179,4.206,0.2,0.24,-0.039,0.15,0.24,1.329,0.452,0.337,1.105,0.153,0.096,0.401,0.53,0.202,339.6,113,84.81,0.052,0.029,0.024,AAA-222-111-000-0-0,,
1143,212316050,13 33 19.061,-17 03 29.08,1,17.026,,,,13331905-1703290,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,14.685,0.035,14.013,0.042,13.798,0.048,4017,325,270,4.833,0.132,0.11,-0.147,0.2,0.28,0.424,0.112,0.119,0.491,0.118,0.142,5.599,4.404,2.147,417.6,161.5,135.5,0.057,0.028,0.023,AAA-222-111-000-0-0,,
1144,212316122,13 29 06.013,-17 03 23.11,1,14.212,,,365-064034,13290602-1703230,,STAR,gri,rpm,-3,3.8,-2.3,4.4,,,15.447,0.06,14.488,0.04,,,14.926,0.05,14.21,0.04,13.906,0.15,,,12.639,0.026,12.13,0.027,12.005,0.025,5001,98,98,2.717,0.672,0.576,-0.79,0.35,0.42,6.223,5.922,3.37,0.896,0.057,0.068,0.003,0.027,0.003,2954,2516,1514,0.058,0.029,0.024,AAA-222-111-000-0-0,,
1145,212316138,13 37 02.926,-17 03 22.12,1,9.848,,6126-925-1,365-064329,13370293-1703221,,STAR,gri,rpm,1.3,1.4,-9.4,1.4,,,10.303,0.038,9.986,0.04,,,10.336,0.04,9.872,0.05,9.639,0.04,,,9.018,0.024,8.798,0.042,8.782,0.023,6057,218,182,3.974,0.364,0.26,0.019,0.15,0.18,1.777,0.894,0.687,1.295,0.279,0.233,0.185,0.448,0.119,212.5,127.4,79.65,0.049,0.026,0.022,AAA-112-111-000-0-0,,
1146,212316143,13 50 45.205,-17 03 21.63,1,13.977,,,365-064814,13504520-1703216,,STAR,gri,rpm,-16.1,2.1,-3.8,2.9,,,14.876,0.03,14.155,0.02,,,14.47,0.03,13.974,0.04,13.766,0.03,,,12.802,0.024,12.427,0.023,12.429,0.033,5707,135,135,4.429,0.085,0.442,-0.298,0.25,0.35,0.973,0.657,0.164,0.909,0.087,0.101,0.977,0.435,0.769,630,411.7,119.1,0.053,0.034,0.019,AAA-222-111-000-0-0,,
