,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
613,613,613,613,613,613,238043423,17 15 36.102,-30 02 44.01,1,12.99,,,300-123599,17153608-3002443,STAR,gri,rpm,-4.2,2,-5.5,2.3,,,14.247,0.03,13.322,0.01,13.791,0.05,12.987,0.02,12.647,0.01,11.302,0.03,10.767,0.031,10.604,0.03,5191,157,188,2.445,0.13,0.05,-0.868,0.3,0.42,9.212,0.819,1.575,0.899,0.059,0.022,0.001,6.28E-04,2.04E-04,2251,205.8,1052,0.36,0.176,0.118,AAA-222-111-000-0-0,6.9,
614,614,614,614,614,614,238043633,17 16 45.871,-30 02 41.60,1,13.12,,,300-124594,17164587-3002416,STAR,gri,rpm,-3.1,1.9,-10.5,2,,,14.614,0.049,13.424,0.033,14.038,0.034,12.942,0.041,12.727,0.062,11.132,0.026,10.546,0.027,10.416,0.026,4726,132,75,2.81,0.245,0.525,-0.101,0.12,0.21,6.941,5.121,1.913,1.13,0.136,0.113,0.003,0.004,0.003,1588,928.9,437.7,0.302,0.09,0.056,AAA-222-111-000-0-0,5.7,
615,615,615,615,615,615,238044763,17 24 29.944,-30 02 29.38,1,12.93,,,300-129103,17242995-3002292,STAR,gri,rpm,-26.1,5.3,-26.4,2.8,,,14.234,0.046,13.366,0.033,13.808,0.033,13.043,0.042,12.554,0.062,11.625,0.052,11.158,0.034,11.05,0.03,5759,92,691,3.945,0.585,0.455,-0.361,0.3,0.3,1.745,1.008,0.959,0.98,0.031,0.141,0.184,1.583,0.152,590.1,282.4,315.5,0.62,0.085,0.382,AAA-222-111-000-0-0,6,
616,616,616,616,616,616,238047497,17 17 15.178,-30 01 59.75,1,12.008,,,300-124825,17171520-3001594,STAR,J,rpm,-15.7,27.5,-30.7,27.5,,,,,,,,,,,,,10.316,0.025,9.209,0.027,8.395,0.023,23171,231,1308,3.288,0.142,0.02,0.574,0.05,0.2,15.031,0.301,5.547,15.965,0.319,5.085,0.005,0.004,2.82E-04,6382,532.4,191.5,6.559,0.001,0.296,AAA-222-111-000-0-0,7.7,
617,617,617,617,617,617,238047686,17 25 01.915,-30 01 57.50,1,16.816,,,,17250191-3001575,STAR,JHK,rpm,8,14,-20,5,,,,,,,,,,,,,14.434,0.064,13.579,0.074,13.422,0.066,4565,284,142,2.359,0.187,0.085,-0.033,0.45,0.54,11.204,1.053,2.009,1.044,0.092,0.092,7.19E-04,6.01E-04,1.74E-04,8318,886.9,1100,1.254,0.315,0.315,AAA-222-111-000-0-0,7.3,0599-0590088
618,618,618,618,618,618,238048990,17 17 55.780,-30 01 42.51,1,11.184,,,300-125216,17175578-3001425,STAR,J,rpm,18.6,10.4,-1.6,2.9,,,,,,,,,,,,,9.484,0.023,8.229,0.033,7.838,0.026,3221,250,179,0.008,0.234,0.195,-0.033,0.4,0.48,163.334,39.003,37.013,1.051,0.032,0.072,2.21E-07,2.71E-07,1.07E-07,7128,1442,1199,1.284,0.268,0.223,AAA-211-111-000-0-0,9.2,
619,619,619,619,619,619,238049214,17 23 41.735,-30 01 40.00,1,14.241,,,300-128538,17234174-3001398,STAR,J,col,,,,,,,,,,,,,,,,,12.903,0.042,11.887,0.041,11.496,0.032,4166,382,191,1.671,0.684,0.228,0.116,0.3,0.54,24.986,5.824,11.09,1.07,0.566,0.073,6.34E-05,5.04E-04,3.01E-05,7253,1527,3165,1.675,0.518,0.288,AAA-222-111-000-0-0,8.8,0599-0583946
620,620,620,620,620,620,238049395,17 16 06.491,-30 01 37.76,1,16.81,,,,17160649-3001377,STAR,J,,,,,,,,,,,,,,,,,,15.361,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUU-200-100-000-0-0,10.7,0599-0554271
621,621,621,621,621,621,238050676,17 26 55.689,-30 01 23.94,1,11.38,,7375-250-1,300-130418,17265565-3001235,STAR,gri,rpm,10.9,4.4,-195.4,4.3,,,12.219,0.229,11.931,0.255,12.448,0.03,11.321,0.04,10.923,0.06,9.585,0.022,9.001,0.021,8.874,0.019,4688,934,560,4.641,0.135,0.135,-0.251,0.35,0.49,0.657,0.204,0.156,0.7,0.115,0.162,2.387,1.809,1.029,66.54,51.84,18.22,0.044,0.042,0.021,AAA-222-111-000-0-0,8,
622,622,622,622,622,622,238053643,17 22 17.151,-30 00 52.06,1,16.456,,,,17221715-3000520,STAR,J,,-40.8,9,-52.5,9,,,,,,,,,,,,,15.033,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUU-200-100-c00-0-0,5.1,0599-0579127
623,623,623,623,623,623,238058609,17 28 14.858,-17 59 57.11,1,11.406,,6239-1271-1,361-096079,17281485-1759571,STAR,gri,plx,-4.4,3,-4.2,3.2,,,11.921,0.14,11.342,0.118,11.838,0.02,11.418,0.06,11.221,0.05,10.368,0.026,10.113,0.022,10.011,0.021,6538,323,269,3.911,0.222,0.259,-0.008,0.15,0.12,2.201,0.934,0.656,1.527,0.357,0.255,0.137,0.142,0.086,573.3,225.6,225.6,0.283,0.14,0.1,AAA-222-111-000-0-0,6.6,
624,624,624,624,624,624,238063922,17 32 15.253,-17 58 12.85,1,16.576,,,361-099285,17321527-1758127,STAR,JHK,rpm,-31.7,6.8,-42.7,6.8,,,,,,,,,,,,,14.597,0.037,13.981,0.037,13.82,0.051,3868,427,305,4.939,0.105,0.09,-0.405,0.3,0.48,0.34,0.081,0.101,0.368,0.106,0.141,8.847,7.627,3.002,294.7,104.3,103.6,0.172,0.092,0.066,AAA-222-111-000-0-0,9.5,
625,625,625,625,625,625,238065124,17 28 44.543,-17 57 50.55,1,11.387,,,361-096390,17284454-1757505,STAR,gri,rpm,-7.8,1.8,-12.2,1.6,,,12.481,0.01,11.637,0.04,12.022,0.03,11.381,0.03,11.114,0.04,10.032,0.023,9.688,0.022,9.599,0.023,5823,372,93,3.914,0.297,0.165,-0.178,0.2,0.16,1.928,0.365,0.504,1.087,0.231,0.055,0.146,0.284,0.061,386.4,141.1,26.79,0.33,0.065,0.086,AAA-222-111-000-0-0,11.1,
626,626,626,626,626,626,238066007,17 28 45.949,-17 57 34.08,1,11.483,,6239-567-1,361-096400,,STAR,gri,,-5,3.1,-6.1,3.4,,,12.109,0.205,11.267,0.116,12.06,0.02,11.495,0.04,11.235,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,627,627,627,627,627,238088151,17 28 00.475,-17 50 33.46,1,15.806,,,,17280047-1750334,STAR,JHK,rpm,-70,13,-6,11,,,,,,,,,,,,,13.759,0.032,13.225,0.046,12.962,0.05,3506,374,55,5.031,0.09,0.09,-0.156,0.36,0.09,0.252,0.088,0.073,0.226,0.14,0.08,14.71,10.33,6.07,124.9,71.25,34.42,0.057,0.086,0.009,AAA-222-112-00c-0-0,5.4,0721-0566318
628,628,628,628,628,628,238089688,17 28 31.429,-17 50 03.24,1,16.39,,,,17283142-1750032,STAR,JHK,rpm,-14,2,-48,4,,,,,,,,,,,,,13.989,0.029,13.255,0.021,13.081,0.03,4102,150,125,4.798,0.072,0.06,-0.136,0.2,0.28,0.466,0.063,0.066,0.526,0.073,0.073,4.862,1.727,1.088,339.4,66.78,65.81,0.239,0.073,0.083,AAA-222-111-000-0-0,14.8,0721-0568820
629,629,629,629,629,629,238094340,17 28 07.368,-17 48 29.02,1,11.738,,,361-095999,17280737-1748291,STAR,gri,rpm,-7.1,2.6,-15.3,1.5,,,12.808,0.03,11.993,0.07,12.37,0.02,11.762,0.03,11.467,0.04,10.412,0.023,10.085,0.025,9.985,0.021,5971,303,253,3.987,0.36,0.2,-0.058,0.16,0.24,1.736,0.63,0.587,1.174,0.287,0.144,0.187,0.517,0.097,407,172.7,103.9,0.322,0.128,0.107,AAA-222-111-000-0-0,8.4,
630,630,630,630,630,630,238100636,17 28 29.088,-17 46 22.66,1,11.46,,,362-093511,17282909-1746226,STAR,gri,rpm,-7.2,1.9,-11.5,3.8,,,12.627,0.041,11.769,0.03,12.161,0.03,11.434,0.08,11.16,0.06,10.068,0.023,9.723,0.027,9.636,0.028,5842,349,139,3.941,0.455,0.21,-0.14,0.24,0.16,1.886,0.6,0.696,1.104,0.33,0.066,0.159,0.45,0.083,364.9,176.3,106.4,0.325,0.053,0.117,AAA-222-111-000-0-0,5.5,
631,631,631,631,631,631,238110568,17 28 43.354,-17 43 04.70,1,11.26,,,362-093643,17284335-1743046,STAR,JHK,rpm,-6.5,3.8,-16.4,1.7,,,,,,,,,,,,,10.089,0.025,9.76,0.03,9.705,0.026,5979,228,273,4.313,0.162,0.405,-0.043,0.15,0.18,1.209,0.737,0.235,1.121,0.164,0.102,0.604,0.41,0.447,264.6,162.1,86.93,0.184,0.089,0.089,AAA-222-111-000-0-0,5.2,
632,632,632,632,632,632,238114926,17 30 11.888,-17 41 36.79,1,16.959,,,,17301188-1741367,STAR,JHK,rpm,-26,2,-34,10,,,,,,,,,,,,,15.365,0.067,14.749,0.086,14.718,0.124,3919,715,390,4.924,0.11,0.198,-0.319,0.3,0.6,0.347,0.196,0.108,0.36,0.23,0.144,8.381,7.046,4.814,421.2,389.2,157.3,0.211,0.144,0.09,AAB-222-111-000-0-0,9.5,0723-0574438
633,633,633,633,633,633,238115165,17 28 12.605,-17 41 32.41,1,9.347,,6239-324-1,362-093345,17281260-1741323,STAR,BV,plx,2.4,3,2.5,3.2,,,11.891,0.269,9.806,0.039,,,,,,,5.765,0.018,4.869,0.023,4.534,0.02,4013,121,169,0.413,0.558,0.744,0.147,0.1,0.1,190.636,128.668,87.975,2.606,5.656,0.832,5.73E-07,3.35E-06,5.16E-07,768.2,263.7,263.7,0.995,0.164,0.295,AAA-111-111-000-0-0,8.7,
634,634,634,634,634,634,238131828,17 28 47.886,-17 36 04.53,1,10.671,,6239-1627-1,362-093681,17284788-1736043,STAR,gri,rpm,-12.9,2.7,-22,2.8,,,11.45,0.087,10.791,0.077,11.1,0.01,10.571,0.01,10.488,0.03,9.472,0.022,9.135,0.025,9.021,0.023,5894,211,175,4.274,0.17,0.34,0.027,0.12,0.12,1.191,0.726,0.232,1.101,0.149,0.075,0.544,0.469,0.387,181.2,93.46,46.57,0.12,0.085,0.053,AAA-222-111-000-0-0,10.4,
635,635,635,635,635,635,238135284,17 29 10.377,-17 34 55.95,1,11.128,,6239-1173-1,363-094980,17291038-1734558,STAR,gri,rpm,-18.3,2.5,-9.7,2.8,,,11.932,0.133,11.515,0.138,11.557,0.03,11.045,0.01,10.944,0.04,9.94,0.026,9.618,0.025,9.587,0.029,5962,210,140,4.2,0.2,0.24,-0.003,0.15,0.18,1.367,0.537,0.33,1.136,0.176,0.132,0.394,0.458,0.238,252.8,100.4,61.47,0.138,0.074,0.049,AAA-222-111-000-0-0,5.6,
636,636,636,636,636,636,238140169,17 28 05.230,-17 33 15.90,1,12.477,,,363-094298,17280523-1733158,STAR,gri,rpm,-30.2,2.8,-46.9,2.3,,,13.718,0.01,12.702,0.02,13.175,0.02,12.35,0.01,12.177,0.04,10.899,0.022,10.467,0.024,10.363,0.021,5155,186,124,4.563,0.066,0.03,-0.056,0.18,0.3,0.786,0.052,0.104,0.847,0.044,0.124,1.692,0.539,0.218,230.4,51.49,42.08,0.144,0.059,0.059,AAA-222-111-000-0-0,9.6,
637,637,637,637,637,637,238141166,17 29 16.068,-17 32 55.55,1,16.078,,,,17291606-1732555,STAR,JHK,col,,,,,,,,,,,,,,,,,13.702,0.026,13.06,0.03,12.803,0.033,4974,309,309,2.401,0.414,0.09,-0.566,0.64,0.48,9.851,1.33,3.607,0.955,0.128,0.071,9.18E-04,0.002,2.53E-04,6174,865.9,1668,0.962,0.272,0.272,AAA-222-111-000-0-0,8.9,0724-0566839
638,638,638,638,638,638,238141671,17 29 10.934,-17 32 45.14,1,10.421,,6239-1430-1,363-094989,17291092-1732451,STAR,gri,plx,4.6,2.1,1.4,2.2,,,10.774,0.048,10.53,0.055,10.532,0.03,10.384,0.01,10.474,0.02,9.71,0.029,9.453,0.032,9.388,0.032,7640,532,236,4.056,0.08,0.256,0.052,0.12,0.06,2.015,1.086,0.16,1.784,0.458,0.135,0.203,0.068,0.129,465.2,84.24,84.24,0.179,0.138,0.086,AAA-222-111-000-0-0,9.2,
639,639,639,639,639,639,238146177,17 30 55.272,-17 31 13.05,1,15.576,,,363-096437,17305527-1731128,STAR,JHK,rpm,-20.4,3,-38.6,3,,,,,,,,,,,,,14.163,0.03,13.765,0.043,13.602,0.043,5606,284,398,4.561,0.09,0.306,-0.876,0.25,0.3,0.716,0.359,0.097,0.725,0.093,0.066,1.745,0.896,1.205,706.9,374.9,93.48,0.383,0.294,0.168,AAA-222-111-000-0-0,14.3,
640,640,640,640,640,640,238147909,17 31 47.691,-17 30 39.03,1,16.161,,,,17314769-1730390,STAR,JHK,rpm,-360,3,-296,15,,,,,,,,,,,,,14.006,0.031,13.428,0.032,13.177,0.034,2500,612,44,5.294,0.02,0.12,-0.213,0.05,0.3,0.108,0.05,0.002,0.086,0.048,0.002,66.35,3.981,31.85,32.54,31.08,12.38,0.039,0.025,0.021,AAA-222-111-000-0-0,7.7,0724-0581426
641,641,641,641,641,641,238148779,17 29 27.229,-17 30 22.60,1,11.073,,6239-1637-1,363-095182,17292724-1730223,STAR,gri,rpm,2.4,2.5,-7.5,2.7,,,11.939,0.138,11.437,0.131,11.57,0.02,11.018,0.01,10.86,0.02,9.802,0.022,9.511,0.024,9.4,0.025,6231,316,263,3.834,0.384,0.24,0.076,0.08,0.12,2.305,1.097,0.968,1.523,0.413,0.295,0.096,0.339,0.059,383.3,182.3,161,0.29,0.16,0.089,AAA-222-111-000-0-0,8.2,
642,642,642,642,642,642,238152673,17 30 45.296,-17 29 03.19,1,17.563,,,,17304529-1729031,STAR,J,col,,,,,,,,,,,,,,,,,16.063,0.104,15.45,0.135,15.032,0.146,5211,1016,564,3.801,0.555,0.777,0.027,0.3,0.66,2.116,2.086,1.187,1.015,0.352,0.16,0.105,0.733,0.097,4977,3095,2681,1.072,0.7,0.5,ABB-222-111-000-0-0,9.5,0725-0571913
643,643,643,643,643,643,238157442,17 29 10.776,-17 27 27.13,1,10.644,,6239-454-1,363-094987,17291077-1727269,STAR,gri,rpm,2,2.5,0.3,2.8,,,12.081,0.182,11.377,0.123,11.701,0.01,10.581,0.08,10.19,0.02,8.619,0.023,8.029,0.018,7.863,0.02,4794,115,115,2.556,0.21,0.175,0.069,0.12,0.15,11.966,5.49,2.059,2.309,0.785,0.785,0.001,9.62E-04,5.05E-04,843.1,361.1,151.5,0.409,0.085,0.119,AAA-111-111-00d-0-0,10.5,
644,644,644,644,644,644,238169958,17 28 51.280,-17 23 21.90,1,10.474,,6239-1267-1,364-091358,17285128-1723218,STAR,gri,rpm,-2.9,2.3,-6.2,2.3,,,10.599,0.041,10.472,0.049,10.433,0.03,10.488,0.01,10.727,0.03,10.155,0.023,10.149,0.024,10.139,0.025,11810,2673,1671,4.13,0.095,0.228,0.003,0.16,0.08,2.509,1.064,0.64,3.067,1.048,0.749,0.181,0.13,0.105,777.1,393.1,162.1,0.323,0.056,0.103,AAA-222-111-000-0-0,12.8,
645,645,645,645,645,645,238177728,17 29 11.792,-17 20 44.57,1,13.381,,,364-091533,17291180-1720444,STAR,gri,rpm,2.4,3.7,-5.6,3.8,,,14.936,0.02,13.715,0.05,14.308,0.02,13.306,0.02,12.984,0.04,11.456,0.025,10.905,0.024,10.774,0.026,4886,151,121,2.538,0.72,0.18,-0.401,0.3,0.36,8.822,2.428,4.568,1.052,0.256,0.142,0.002,0.013,8.04E-04,2283,474.5,1126,0.332,0.122,0.076,AAA-222-111-000-0-0,5.9,
646,646,646,646,646,646,238179763,17 28 29.282,-17 20 03.97,1,12.169,,,364-091169,17282927-1720038,STAR,gri,rpm,108.4,3.2,-0.3,3.2,,,14.516,0.01,12.999,0.03,13.778,0.01,12.433,0.02,11.48,0.02,9.584,0.022,8.977,0.024,8.759,0.022,4159,124,249,4.776,0.054,0.054,0.025,0.15,0.21,0.512,0.062,0.066,0.575,0.071,0.071,4.176,1.254,0.821,46.88,24.73,16.19,0.028,0.022,0.005,AAA-222-111-000-0-0,8.6,
647,647,647,647,647,647,238180096,17 29 34.434,-17 19 56.64,1,10.529,,6239-1130-1,364-091836,17293444-1719566,STAR,gri,plx,-2.3,2.1,-6.4,2.2,,,10.782,0.049,10.475,0.051,10.606,0.01,10.503,0.01,10.606,0.01,9.898,0.023,9.869,0.026,9.741,0.023,8256,546,341,4.225,0.042,0.084,0.063,0.1,0.12,1.715,0.227,0.092,1.867,0.137,0.137,0.355,0.053,0.093,384.2,39.1,39.1,0.233,0.096,0.08,AAA-222-111-000-0-0,9.7,
648,648,648,648,648,648,238180582,17 28 08.368,-17 19 46.72,1,11.736,,6239-1313-1,364-090949,17280836-1719466,STAR,gri,rpm,-13.3,3.2,8.4,3.4,,,12.129,0.196,11.479,0.136,12.229,0.03,11.637,0.01,11.525,0.04,10.332,0.023,9.975,0.025,9.882,0.023,5858,228,228,4.317,0.174,0.435,-0.035,0.15,0.15,1.163,0.951,0.277,1.072,0.184,0.061,0.601,0.632,0.474,277.4,207.3,86.18,0.195,0.114,0.095,AAA-222-111-000-0-0,11.9,
649,649,649,649,649,649,238181374,17 29 58.134,-17 19 31.10,1,12.585,,,364-092201,17295813-1719310,STAR,gri,rpm,-10.6,1.9,-6.6,2,,,14.099,0.02,12.901,0.04,13.509,0.032,12.502,0.02,12.188,0.04,10.728,0.023,10.157,0.025,10.01,0.023,4978,122,214,3.259,0.245,0.875,-0.316,0.16,0.4,4.268,5.933,1.033,1.105,0.22,0.183,0.015,0.023,0.014,841.7,1008,212,0.38,0.12,0.12,AAA-222-111-000-0-0,10.6,
650,650,650,650,650,650,238181581,17 32 27.861,-17 19 26.93,1,16.444,,,,17322786-1719269,STAR,J,,-34,5,-22,7,,,,,,,,,,,,,15.022,0.061,14.508,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,AAU-226-220-cc0-0-0,4.1,0726-0585389
651,651,651,651,651,651,238183473,17 29 02.584,-17 18 48.91,1,13.44,,,364-091467,17290259-1718488,STAR,gri,rpm,8.5,5.9,50.9,11.9,,,15.625,0.03,13.981,0.04,14.832,0.03,13.376,0.043,12.843,0.03,11.136,0.032,10.352,0.031,10.135,0.029,4452,165,304,2.14,0.325,1.17,-0.195,0.3,0.84,14.518,32.504,4.529,1.034,0.318,0.144,3.72E-04,6.29E-04,3.65E-04,2767,5449,882.6,0.695,0.149,0.298,AAA-222-111-000-0-0,5.7,
652,652,652,652,652,652,238191895,17 28 07.515,-17 15 57.64,1,13.631,,,364-090939,17280751-1715576,STAR,BV,rpm,-80.6,37.5,13,4.4,,,15.519,0.03,13.953,0.035,,,,,,,11.502,0.048,10.718,0.047,10.528,0.043,4476,225,270,2.124,0.39,0.936,-0.211,0.4,0.72,15.333,21.179,5.397,1.058,0.557,0.174,2.58E-04,8.88E-04,2.41E-04,3429,4206,1213,0.79,0.263,0.421,AAA-222-111-0d0-0-0,6.1,
653,653,653,653,653,653,238192176,17 29 01.380,-17 15 52.19,1,12.548,,,364-091457,17290138-1715521,STAR,gri,rpm,-69.5,6.6,-37.4,6.3,,,15.425,0.04,13.601,0.034,14.554,0.036,12.921,0.041,11.688,0.06,10.547,0.028,9.651,0.03,9.382,0.028,3448,83,103,5.076,0.072,0.06,-0.026,0.1,0.1,0.21,0.042,0.042,0.192,0.05,0.04,20.61,7.84,5.68,67.46,45.17,9.19,0.057,0.031,0.022,AAA-222-111-000-0-0,8.5,
654,654,654,654,654,654,238194664,17 29 23.516,-17 15 02.54,1,12.878,,,364-091672,17292351-1715027,STAR,gri,,-11.3,9.3,34.2,13.2,,,14.953,0.03,14.021,0.04,14.455,0.01,13.606,0.04,12.201,0.061,12.243,0.054,11.939,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,AAU-220-110-cc0-0-0,5.2,
655,655,655,655,655,655,238194885,17 28 39.293,-17 14 58.13,1,10.1,,6239-1394-1,364-091259,17283929-1714581,STAR,gri,plx,-3.4,2.2,-1.1,2.3,,,10.208,0.031,10.176,0.04,10.168,0.03,10.078,0.02,10.333,0.04,9.752,0.022,9.774,0.024,9.751,0.022,14987,6735,4490,4.006,0.114,0.304,0.143,0.08,0.14,4.38,0.804,1.34,5.042,3.406,1.703,0.076,0.072,0.041,2252,3101,3101,0.572,0.115,0.138,AAA-222-111-000-0-0,9.6,
656,656,656,656,656,656,238196437,17 30 01.538,-17 14 27.02,1,13.813,,,364-092262,17300153-1714270,STAR,gri,rpm,-42.8,2.4,28.5,4.9,,,16.319,0.12,14.598,0.07,15.432,0.03,14.031,0.08,13.119,0.01,11.084,0.028,10.177,0.027,9.913,0.029,5399,53,1654,3.246,1.644,0.02,-2.092,2.4,0.05,3.542,0.071,3.156,0.8,0.016,0.377,0.018,7.327,0.001,1210,36.29,1095,1.579,0.001,1.408,AAA-222-111-000-0-0,7.2,
657,657,657,657,657,657,238199209,17 30 09.758,-17 13 32.87,1,14.231,,,364-092380,17300975-1713328,STAR,JHK,rpm,22.2,2.4,-34.3,2.5,,,,,,,,,,,,,12.238,0.023,11.548,0.024,11.457,0.023,4361,132,132,4.706,0.056,0.04,-0.057,0.15,0.27,0.591,0.053,0.066,0.644,0.054,0.065,3.138,0.858,0.498,229.1,66.72,51.67,0.155,0.044,0.059,AAA-222-111-000-0-0,12.4,
658,658,658,658,658,658,238200451,17 29 48.804,-17 13 07.09,1,10.914,,,364-092073,17294880-1713071,STAR,gri,rpm,7,2.7,-7.4,2.5,,,11.619,0.01,10.976,0.05,11.252,0.02,10.805,0.01,10.769,0.1,11.611,0.023,11.464,0.024,11.405,0.026,7207,427,356,4.198,0.035,0.336,0.067,0.08,0.1,1.666,1.101,0.166,1.593,0.339,0.141,0.345,0.068,0.25,728.4,511.4,102.7,0.473,0.119,0.143,AAA-222-111-000-0-0,9.7,
659,659,659,659,659,659,238200813,17 29 48.372,-17 12 59.76,1,10.914,,6239-1031-1,364-092064,17294837-1712597,STAR,gri,plx,-8,2.5,-15.7,2.8,,,11.846,0.134,11.119,0.101,11.252,0.02,10.805,0.01,10.769,0.1,9.779,0.022,9.515,0.025,9.424,0.025,6407,251,200,3.826,0.084,0.098,0.023,0.14,0.1,2.511,0.442,0.242,1.608,0.135,0.113,0.096,0.034,0.029,452.8,56.21,56.21,0.227,0.092,0.077,AAA-222-111-000-0-0,9.7,
660,660,660,660,660,660,238204742,17 31 54.089,-17 11 42.14,1,16.802,,,,17315408-1711421,STAR,JHK,rpm,-46,14,-22,4,,,,,,,,,,,,,15.653,0.065,15.074,0.092,15.287,0.171,4709,824,989,4.611,0.375,1.5,-0.468,0.54,0.54,0.566,2.862,0.336,0.639,0.354,0.413,2.248,10.99,2.237,920.3,5330,642.3,0.362,0.501,0.215,AAC-222-111-000-0-0,9.2,0728-0579059
661,661,661,661,661,661,238206295,17 29 02.225,-17 11 11.54,1,10.701,,6239-751-1,365-092755,17290223-1711113,STAR,gri,rpm,-10.5,2.6,-19.7,2.8,,,11.363,0.078,10.771,0.072,11.083,0.01,10.627,0.02,10.537,0.01,9.504,0.023,9.24,0.025,9.15,0.023,6260,189,189,4.19,0.162,0.351,0.012,0.1,0.14,1.426,0.971,0.278,1.263,0.264,0.132,0.366,0.343,0.269,227,136.1,55.75,0.167,0.071,0.059,AAA-222-111-000-0-0,6.7,
662,662,662,662,662,662,238212466,17 29 33.600,-17 09 07.12,1,12.237,,,365-093114,17293360-1709071,STAR,gri,rpm,39.3,7.6,-20.3,12.6,,,14.185,0.01,12.749,0.07,13.492,0.01,12.207,0.02,11.699,0.02,9.982,0.023,9.249,0.024,9.064,0.025,4639,46,111,2.935,0.02,0.77,0.001,0.06,0.42,6.09,7.682,0.122,1.166,0.131,0.037,0.005,3.08E-04,0.005,721.5,797,21.64,0.622,0.001,0.078,AAA-222-111-000-0-0,5.9,
663,663,663,663,663,663,238214201,17 33 23.610,-17 08 32.41,1,17.898,,,,17332361-1708324,STAR,J,,-28,4,-36,6,,,,,,,,,,,,,16.372,0.132,15.534,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,BBU-220-110-000-0-0,7.9,0728-0588261
664,664,664,664,664,664,238215857,17 30 06.063,-17 08 00.14,1,11.654,,6239-1084-1,365-093600,17300606-1708002,STAR,gri,rpm,-2.4,2.1,-7.9,2.3,,,12.171,0.182,11.551,0.144,11.878,0.02,11.579,0.02,11.516,0.06,10.626,0.022,10.521,0.028,10.361,0.022,9335,303,1594,3.888,0.135,0.297,0.094,0.09,0.15,2.947,1.344,0.923,2.543,0.639,0.639,0.099,0.085,0.066,916.8,366.3,304.3,0.722,0.079,0.304,AAA-222-111-000-0-0,11,
665,665,665,665,665,665,238217065,17 29 59.284,-17 07 35.17,1,12.461,,,365-093494,17295928-1707352,STAR,gri,rpm,-23,2.5,-24.7,2,,,13.534,0.01,12.639,0.04,13.068,0.01,12.388,0.02,12.2,0.01,11.067,0.023,10.747,0.026,10.579,0.02,5907,142,178,4.325,0.095,0.152,-0.069,0.12,0.36,1.137,0.208,0.176,1.006,0.088,0.123,0.622,0.359,0.257,415.1,164.8,118,0.332,0.062,0.112,AAA-222-111-000-0-0,12.7,
666,666,666,666,666,666,238217662,17 28 17.593,-17 07 23.59,1,11.39,,6239-429-1,365-092266,17281759-1707236,STAR,gri,rpm,2.3,2.1,6,2.3,,,11.908,0.13,11.401,0.121,11.556,0.02,11.335,0.05,11.326,0.02,10.435,0.023,10.325,0.024,10.211,0.023,8566,1491,828,3.952,0.215,0.215,0.085,0.12,0.12,2.601,0.924,0.795,2.232,0.535,0.446,0.109,0.141,0.062,780,267.3,199.1,0.506,0.235,0.196,AAA-222-111-000-0-0,10.5,
667,667,667,667,667,667,238222942,17 29 56.083,-17 05 38.86,1,12.484,,,365-093436,17295608-1705389,STAR,gri,rpm,-9.1,6,-62.8,6,,,14.744,0.02,13.28,0.02,14.039,0.02,12.731,0.02,11.817,0.02,9.712,0.026,8.784,0.032,8.435,0.035,4020,40,40,4.793,0.02,0.02,0.263,0.05,0.06,0.501,0.01,0.01,0.572,0.011,0.011,4.524,0.271,0.271,58.24,1.747,1.747,0.052,0.001,0.001,AAA-222-112-00c-0-0,4.9,
668,668,668,668,668,668,238225580,17 29 55.393,-17 04 46.46,1,9.101,,6239-1021-1,365-093425,17295539-1704464,STAR,gri,plx,-0.1,1.2,-39.6,1.2,,,10.56,0.049,9.422,0.024,10.187,0.01,9.069,0.02,8.635,0.01,7.273,0.02,6.733,0.051,6.533,0.016,4754,117,136,2.422,0.23,0.06,-0.194,0.36,0.2,11.133,0.535,0.676,1.234,0.655,0.193,8.54E-04,6.96E-04,9.11E-05,382,36.99,36.99,0.39,0.119,0.119,AAA-111-111-000-0-0,12.4,
