,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
995,995,995,995,995,995,240262344,17 39 46.091,-29 57 47.14,1,12.526,,,,17394609-2957471,STAR,J,col,,,,,,,,,,,,,,,,,10.877,0.021,8.873,0.024,7.792,0.031,4594,74,149,2.002,0.168,0.28,0.44,0.1,0.12,32.393,14.451,6.002,4.022,0.529,0.441,1.11E-04,9.02E-05,7.08E-05,6497,2405,1500,7.425,0.322,0.179,AAA-221-111-sss-0-0,6.5,0600-0650454
996,996,996,996,996,996,240262781,17 40 39.091,-29 57 41.74,1,12.701,,,301-139517,17403908-2957417,STAR,J,apo,-12.5,12.8,-3,5.3,,,,,,,,,,,,,11.087,0.03,10.06,0.038,9.655,0.032,4566,91,91,2.426,0.12,0.1,0.164,0.1,0.12,11.8,2.244,0.711,1.47,0.431,0.308,8.14E-04,3.49E-04,2.84E-04,2212,337.1,213.1,0.721,0.304,0.354,AAA-222-111-000-0-0,6.9,
997,997,997,997,997,997,240263021,17 37 38.441,-29 57 38.53,1,14.463,,,301-138611,17373845-2957385,STAR,BV,rpm,-1.5,2.1,-1.4,2.2,,,15.391,0.03,14.631,0.041,,,,,,,12.511,0.028,12.097,0.043,11.9,0.046,6162,2482,730,3.685,0.385,0.33,0.086,0.12,0.48,2.849,2.836,1.421,1.57,1.135,0.567,0.057,0.2,0.044,1612,1667,720.1,0.706,0.962,0.401,AAA-222-111-000-0-0,7.8,
998,998,998,998,998,998,240263080,17 31 51.146,-29 57 37.92,1,15.154,,,,17315114-2957379,STAR,J,col,,,,,,,,,,,,,,,,,13.817,0.069,12.757,0.051,12.288,0.067,4390,257,257,2.118,0.34,0.408,0.164,0.3,0.48,14.442,7.864,3.436,1.067,0.563,0.064,3.15E-04,5.43E-04,2.38E-04,6555,2493,1806,2.117,0.591,0.422,AAA-222-111-ccc-0-0,7.7,0600-0621286
999,999,999,999,999,999,240263091,17 29 18.426,-29 57 37.80,1,14.566,,,,17291842-2957377,STAR,J,col,,,,,,,,,,,,,,,,,13.239,0.077,12.273,0.084,11.979,0.045,4359,218,273,1.96,0.432,0.36,0.025,0.35,0.56,15.809,8.722,4.847,1.061,0.339,0.089,1.81E-04,6.01E-04,1.27E-04,6693,2130,1889,1.383,0.422,0.352,AAA-222-111-ccc-0-0,5.2,0600-0609040
1000,1000,1000,1000,1000,1000,240263231,17 29 18.818,-29 57 36.33,1,11.079,,6838-427-1,301-134320,17291881-2957364,STAR,gri,rpm,-0.8,2.9,-4.8,2.6,,,11.533,0.094,11.179,0.113,11.366,0.03,11.002,0.04,10.955,0.06,9.386,0.023,9.165,0.026,8.965,0.023,7364,371,520,3.579,0.175,0.385,0.14,0.1,0.12,3.804,3.182,0.918,2.283,0.636,0.381,0.036,0.034,0.029,619.2,450.9,118.7,0.451,0.146,0.182,AAA-222-111-000-0-0,5.2,
1001,1001,1001,1001,1001,1001,240263339,17 39 26.824,-29 57 35.10,1,7.58,,6839-57-1,301-139162,17392683-2957350,STAR,BV,plx,-1.9,1.3,-5.4,1.5,,,7.5,0.016,7.472,0.011,,,,,,,7.275,0.029,7.316,0.046,7.259,0.027,14029,5312,3320,3.65,0.315,0.21,0.073,0.14,0.1,5.133,2.259,0.856,5.194,3.474,1.579,0.028,0.043,0.015,650.4,155.6,155.6,0.324,0.133,0.111,AAA-111-111-000-0-0,14.5,
1002,1002,1002,1002,1002,1002,240264322,17 41 58.618,-29 57 22.99,1,14.046,,,,17415861-2957229,STAR,J,col,,,,,,,,,,,,,,,,,12.694,0.03,10.31,0.029,9.071,0.026,4369,79,639,1.469,0.26,0.468,0.415,0.2,0.84,55.88,28.232,10.333,4.407,0.876,2.628,1.92E-05,2.10E-05,1.39E-05,8122,7297,2227,8.95,0.251,2.215,AAA-222-111-000-0-0,8.5,0600-0658733
1003,1003,1003,1003,1003,1003,240265621,17 31 13.231,-29 57 07.64,1,10.812,,6838-59-1,301-135501,,STAR,gri,,0.1,2.7,-4.4,2.4,,,10.866,0.056,10.87,0.09,10.713,0.03,10.846,0.04,10.988,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,1004,1004,1004,1004,1004,240266022,17 40 29.293,-29 57 02.91,1,14.608,,,301-139451,17402930-2957028,STAR,BV,rpm,0.7,3.2,-0.6,3.3,,,17.48,0.19,15.136,0.047,,,,,,,11.398,0.027,10.638,0.038,10.421,0.034,4544,219,219,2.376,0.2,0.76,0.085,0.2,0.72,12.925,12.161,2.174,1.36,0.826,0.413,6.55E-04,5.37E-04,5.95E-04,2751,2471,587.7,0.84,0.272,0.326,AAA-222-111-000-0-0,6.9,
1005,1005,1005,1005,1005,1005,240266590,17 37 48.039,-29 56 56.06,1,13.728,,,301-138671,17374804-2956560,STAR,BV,rpm,-6.4,3.1,-9.2,3.2,,,15.885,0.04,14.106,0.036,,,,,,,10.535,0.023,9.764,0.022,9.559,0.026,4531,111,222,2.259,0.21,1.365,-0.095,0.25,1.45,13.57,39.566,2.631,1.115,0.409,0.292,4.91E-04,4.90E-04,4.85E-04,1875,5098,420.9,0.809,0.159,0.286,AAA-222-111-000-0-0,7.9,
1006,1006,1006,1006,1006,1006,240267335,17 29 27.505,-29 56 47.12,1,11.668,,,,17292750-2956471,STAR,J,col,,,,,,,,,,,,,,,,,10.008,0.02,8.755,0.044,8.236,0.023,3214,142,142,0.164,0.18,0.15,0.213,0.25,0.3,134.409,30.95,25.157,1.064,0.023,0.021,3.79E-07,3.37E-07,1.56E-07,8516,1194,1241,1.379,0.135,0.189,AAA-211-111-000-0-0,6.3,0600-0609703
1007,1007,1007,1007,1007,1007,240267832,17 37 38.028,-29 56 41.13,1,14.067,,,301-138604,17373802-2956410,STAR,JHK,rpm,0.7,2.3,-4.8,2.5,,,,,,,,,,,,,12.432,0.019,11.933,0.019,11.769,0.023,5290,173,260,2.474,1.2,0.075,-0.849,0.84,0.35,8.877,1.015,6.235,0.904,0.502,0.028,0.001,0.063,2.89E-04,3598,453.9,2387,0.477,0.272,0.181,AAA-222-111-000-0-0,8.6,
1008,1008,1008,1008,1008,1008,240268063,17 38 32.595,-29 56 38.08,1,13.997,,,301-138933,17383259-2956378,STAR,BV,rpm,-5.8,3,-8.3,3.1,,,15.353,0.03,14.207,0.037,,,,,,,11.669,0.029,11.251,0.035,11.079,0.04,5504,526,239,3.787,0.635,1.27,-0.111,0.2,1,2.488,5.739,1.429,1.004,0.39,0.162,0.078,0.715,0.077,786.3,1691,439.9,0.335,0.16,0.137,AAA-222-111-000-0-0,6.6,
1009,1009,1009,1009,1009,1009,240268680,17 41 35.622,-29 56 30.92,1,14.934,,,,17413562-2956309,STAR,J,col,,,,,,,,,,,,,,,,,13.605,0.036,10.68,0.026,9.057,0.021,4248,177,602,1.368,0.2,0.84,0.36,0.2,0.44,66.145,27.935,19.64,3.427,2.015,2.417,1.02E-05,1.40E-05,9.12E-06,8952,2339,1854,11.677,0.461,0.83,AAA-222-111-000-0-0,9.3,0600-0657345
1010,1010,1010,1010,1010,1010,240268693,17 29 01.013,-29 56 30.78,1,10.815,,6838-274-1,301-134150,17290101-2956307,STAR,gri,rpm,5.3,2.8,-3.1,2.6,,,11.262,0.077,10.92,0.087,10.95,0.03,10.77,0.04,10.807,0.06,9.884,0.022,9.737,0.021,9.674,0.02,7590,1817,363,3.738,0.333,0.222,0.062,0.14,0.1,3.448,0.971,1.349,2.199,0.685,0.381,0.051,0.119,0.023,727.3,239.5,274.7,0.291,0.283,0.101,AAA-222-111-000-0-0,8.9,
1011,1011,1011,1011,1011,1011,240269745,17 43 09.544,-29 56 17.79,1,8.231,,6839-59-1,301-140051,,STAR,gri,,-7.3,1.6,-5.9,1.5,,,10.496,0.063,8.675,0.017,9.951,0.03,8.707,0.04,7.493,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,1012,1012,1012,1012,1012,240270197,17 30 28.521,-29 56 12.52,1,12.198,,,,17302852-2956125,STAR,J,col,,,,,,,,,,,,,,,,,10.509,0.022,9.239,0.021,8.597,0.021,4695,93,93,2.345,0.192,0.288,0.337,0.2,0.16,20.027,10.566,5.452,3.316,0.644,0.644,4.05E-04,4.61E-04,2.76E-04,4797,1722,1082,3.974,0.194,0.162,AAA-222-111-000-0-0,7.2,0600-0614036
1013,1013,1013,1013,1013,1013,240270692,17 37 13.594,-29 56 05.99,1,12.945,,,301-138475,17371360-2956059,STAR,JHK,rpm,-3.3,2.2,-8.7,2,,,,,,,,,,,,,11.597,0.026,11.231,0.035,11.076,0.033,6048,311,373,4.014,0.376,0.235,0.034,0.12,0.21,1.703,0.86,0.646,1.232,0.304,0.217,0.204,0.514,0.121,603.1,322.5,237.2,0.39,0.21,0.157,AAA-222-111-000-0-0,8.6,
