EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,2MASS Flag,Nearest Neighbor,Nomad ID
251750419,22 56 25.196,+01 51 27.42,0,14.723,,,460-128959,22562518+0151272,,STAR,gri,12.5,4,-5.7,4.6,,,16.092,0.01,14.963,0.02,,,15.553,0.05,14.714,0.01,14.368,0.03,,,13.274,0.026,12.759,0.022,12.653,0.024,AAA-222-111-000-0-0,51.6,
251750423,22 57 19.560,+01 51 28.21,0,10.686,,569-1135-1,460-128993,22571955+0151281,,STAR,gri,-17.8,1.4,-14.2,1.4,,,11.68,0.123,10.669,0.068,,,11.213,0.04,10.588,0.01,10.461,0.01,,,9.601,0.022,9.33,0.024,9.234,0.021,AAA-222-111-000-0-0,35.2,
251750463,22 59 49.845,+01 51 34.80,0,16.003,,,460-129065,22594984+0151350,7712-301-2-0229-0118,STAR,JHK,19.3,5.1,5,5.1,,,,,,,,,,,,,,,,,13.726,0.024,13,0.029,12.86,0.029,AAA-222-111-000-0-0,33.9,
251750475,23 00 56.139,+01 51 37.58,0,17.067,,,,23005613+0151375,7712-301-2-0231-0167,STAR,gri,20,3,-39,3,,,,,,,21.544,0.144,18.986,0.01,17.592,0.006,16.245,0.005,15.512,0.006,14.251,0.031,13.637,0.04,13.414,0.037,AAA-222-111-000-0-0,48,
251750486,23 02 07.069,+01 51 39.42,0,16.292,,,460-129133,23020706+0151394,7712-301-2-0233-0015,STAR,JHK,8.8,4.1,-20.6,4.1,,,,,,,,,,,,,,,,,14.951,0.041,14.546,0.059,14.435,0.062,AAA-222-111-000-0-0,36.4,
251750501,22 55 42.148,+01 51 43.23,0,16.463,,,,22554214+0151432,7712-301-2-0222-0135,STAR,gri,46,29,-18,6,,,,,,,21.345,0.13,18.286,0.007,16.649,0.005,15.682,0.004,15.112,0.005,13.781,0.029,13.136,0.032,12.895,0.035,AAA-222-111-000-0-0,8,0918-0691564
251750505,22 55 42.692,+01 51 43.97,0,15.405,,,460-128935,22554267+0151440,7712-301-2-0222-0134,STAR,JHK,26.3,4.2,-20.7,4.2,,,,,,,,,,,,,,,,,13.2,0.025,12.577,0.025,12.356,0.026,AAA-222-111-000-0-0,8,
251750506,23 02 59.175,+01 51 44.04,0,16.061,,,460-129157,23025915+0151440,7712-301-2-0234-0061,STAR,gri,2.8,4.4,-6.9,4.6,,,17.26,0.21,16.33,0.01,,,16.886,0.27,16.117,0.06,15.707,0.119,,,14.917,0.036,14.406,0.048,14.406,0.065,AAA-222-111-000-0-0,54.9,
251750544,22 55 52.591,+01 51 51.80,0,14.999,,,460-128938,22555258+0151517,,STAR,gri,18.9,4.1,-2.7,4.6,,,16.477,0.07,15.224,0.02,,,15.924,0.02,14.87,0.03,14.602,0.01,,,13.333,0.022,12.864,0.027,12.825,0.027,AAA-222-111-000-0-0,67.9,
251750609,22 59 51.029,+01 52 04.10,0,15.335,,,460-129067,22595101+0152040,7712-301-2-0229-0050,STAR,gri,-3.8,3.9,-18,4.6,,,16.482,0.18,15.411,0.03,,,15.962,0.01,15.201,0.01,15.067,0.08,,,14.064,0.028,13.663,0.033,13.556,0.042,AAA-222-111-000-0-0,33.9,
251750615,23 02 26.826,+01 52 05.15,0,14.772,,,460-129140,23022682+0152052,7712-301-2-0233-0030,STAR,gri,19.3,3.9,-26.8,4.4,,,15.828,0.02,14.809,0.02,,,15.481,0.04,14.621,0.01,14.468,0.08,,,13.596,0.027,13.144,0.024,13.044,0.03,AAA-222-111-000-0-0,49.9,
251750626,23 03 09.798,+01 52 06.96,0,17.698,,,,,7712-301-2-0234-0098,STAR,gri,51,2,9,2,,,,,,,18.065,0.014,17.717,0.006,17.692,0.006,17.783,0.007,17.877,0.019,,,,,,,,,
