EPIC,KepMag,Kmag,Teff,mass,Radius
220420178,13.829,10.891,3951,0.482,0.435
220420197,15.678,12.654,3902,0.428,0.385
220420238,13.017,11.557,5861,0.995,1.068
220420255,13.304,11.382,5062,0.835,0.772
220420290,14.42,12.972,5665,0.867,0.875
220420346,14.172,12.82,5916,0.916,1.032
220420379,11.88,9.685,4750,0.975,6.776
220420398,16.307,12.54,3676,0.288,0.277
220420434,17.262,15.104,,,
220420438,13.613,12.327,5899,0.932,1.028
220420550,13.592,12.136,5521,0.904,0.88
220420572,12.212,10.567,5306,0.951,0.963
220420587,12.871,11.436,5987,1.052,1.254
220420618,17.887,15.261,,,
220420642,13.573,11.896,5705,0.907,0.941
220420646,17.409,14.664,,,
220420671,13.594,11.858,5281,0.884,0.852
220420808,13.073,11.585,5700,0.983,1.022
220420837,13.047,11.626,5904,1.027,1.143
220420844,13.202,11.751,5816,0.922,0.959
220420875,13.918,12.162,5477,0.875,0.849
220420888,13.481,11.857,5564,0.878,0.874
220420907,16.666,14.881,5476,0.794,0.84
220420943,17.448,14.903,,,
220420954,12.509,11.117,5812,1.019,1.191
220420960,15.932,13.416,4386,0.641,0.582
220420979,15.817,12.947,4033,0.517,0.457
220421042,12.414,11.033,6096,1.089,1.324
220421075,13.853,12.315,5510,0.893,0.869
220421090,14.67,13.84,7626,0.81,4.051
220421131,14.742,11.862,3900,0.374,0.344
220421165,10.116,8.857,6109,1.151,1.309
220421177,12.533,11.491,6384,1.15,1.312
220421211,11.387,9.991,5932,1.012,1.137
220421235,15.919,14.208,5811,0.808,0.88
220421246,14.912,12.615,4523,0.604,0.559
220421266,17.273,,,,
220421340,10.224,7.859,4624,1.238,9.857
220421358,12.967,11.749,6200,0.864,1.118
220421362,16.102,14.181,,,
220421451,16.633,13.858,4101,0.504,0.445
220421496,15.828,12.962,4209,0.582,0.519
220421500,9.943,7.851,4762,1.215,10.824
220421505,16.846,15.053,,,
220421555,11.19,9.778,6163,1.144,1.359
220421560,14.915,13.103,5141,0.788,0.738
220421584,14.418,12.431,5093,0.856,0.79
220421620,13.151,11.912,5949,1.073,1.244
220421642,15.516,12.582,3919,0.472,0.416
220421649,17.254,14.849,,,
220421656,15.771,13.785,4931,0.778,0.724
220421671,14.923,13.473,5651,0.868,0.887
220421701,14.726,13.245,5490,0.82,0.805
220421737,17.403,,,,
220421791,13.51,12.29,6258,1.056,1.328
220421811,16.83,14.201,,,
220421815,16.313,12.951,3997,0.499,0.434
220421848,13.855,11.25,4333,0.648,0.576
220421932,13.458,11.832,5639,0.914,0.928
220421968,13.675,12.106,5785,1.001,1.028
220421990,13.2,11.9,6110,0.966,1.32
220422081,19.331,15.434,3260,0.151,0.175
220422150,16.869,15.146,5523,0.798,0.885
220422172,13.405,11.825,5592,0.93,0.911
220422220,12.168,10.696,5948,1.054,1.247
220422244,10.496,9.838,7198,1.533,1.669
220422258,12.07,10.961,6353,1.192,1.371
220422306,14.992,13.515,5653,0.866,0.879
220422323,13.802,12.564,6031,1.043,1.192
220422331,14.388,11.145,3854,0.429,0.383
220422358,14.291,12.589,5303,0.853,0.8
220422362,16.304,14.999,,,
220422391,12.003,10.874,6282,1.15,1.274
220422405,12.542,10.806,5666,0.958,0.965
220422450,11.241,9.996,6169,1.082,1.245
220422456,13.178,11.9,6198,1.028,1.248
220422583,12.661,11.538,6597,1.349,1.629
220422678,18.015,15.549,4369,0.57,0.51
220422694,16.892,15.244,,,
220422705,12.865,12.29,6295,1.012,1.231
220422747,14.577,12.685,5109,0.831,0.762
220422762,12.562,11.366,6243,1.126,1.313
220422822,14.777,12.689,4890,0.621,0.582
220422824,13.209,11.6,5763,1.03,1.103
220422851,19.436,15.444,3235,0.144,0.166
220422864,12.634,11.284,6004,0.946,1.1
220422982,12.485,10.658,5390,0.955,1.845
220422999,14.606,12.73,5233,0.77,0.737
220423020,15.769,12.894,4003,0.485,0.428
220423054,14.56,12.802,5399,0.804,0.79
220423066,13.674,11.752,5063,0.888,2.232
220423087,16.808,,,,
220423097,9.904,7.919,5017,0.971,10.191
220423100,16.312,13.14,3808,0.399,0.362
220423175,13.287,12.059,6301,0.817,1.056
220423208,15.789,13.477,4573,0.665,0.612
220423211,9.953,7.626,4762,1.073,5.811
220423224,11.665,10.011,5581,0.771,0.803
220423279,16.754,14.71,4921,0.81,16.532
220423326,14.318,12.881,5979,0.815,0.91
220423350,13.853,12.444,6044,0.958,1.136
220423354,11.048,9.781,6002,0.965,1.145
220423362,16.486,14.727,,,
220423366,16.838,14.413,,,
220423374,15.991,13.299,4201,0.551,0.493
220423394,14.345,12.931,6061,0.859,1.062
220423405,12.584,11.309,6069,1.103,1.356
220423511,12.96,11.471,5607,0.98,0.946
220423539,15.134,13.523,5984,0.921,1.083
220423576,13.138,11.523,5560,0.891,1.684
220423577,11.002,9.785,6144,1.19,1.4
220423603,13.167,10.191,3648,0.275,0.27
220423605,16.263,13.986,,,
220423645,13.683,11.62,4989,0.953,1.835
220423741,15.558,13.001,4465,0.642,0.591
220423757,11.962,10.872,6490,1.327,1.519
220423758,15.768,13.551,4918,0.626,0.584
220423773,16.893,14.28,4167,0.487,0.433
220423778,13.932,12.411,5919,0.986,1.072
220423802,13.226,12.07,6387,1.052,1.327
220423827,14.314,13.079,5848,0.878,0.951
220423844,16.04,13.135,3524,0.232,0.243
220423869,15.138,12.463,3946,0.469,0.417
220423893,15.371,13.914,5893,0.874,0.986
220423922,16.858,15.564,5602,0.791,0.836
220423969,17.47,,,,
220423983,13.202,11.881,5925,1.047,1.235
220424056,12.571,11.127,5988,0.886,1.002
220424059,15.195,13.745,6089,0.845,1.034
220424065,16.122,14.461,5877,0.862,0.989
220424112,13.154,11.834,6106,1.024,1.258
220424174,12.534,10.363,4703,0.77,0.703
220424226,15.981,14.533,5266,0.795,0.762
220424246,13.766,10.925,3985,0.506,0.445
220424269,13.431,12.18,6207,1.151,1.387
220424389,9.914,8.478,5735,0.987,0.983
220424403,15.653,12.682,3971,0.48,0.435
220424451,8.926,7.362,6185,1.366,2.008
220424486,15.689,12.631,3774,0.407,0.369
220424500,12.36,11.127,6136,1.122,1.331
220424501,14.04,11.984,4940,0.908,5.406
220424525,13.199,11.468,5170,0.894,0.853
220424534,12.18,10.791,5979,1.059,1.236
220424585,13.424,9.975,3758,0.411,0.379
220424589,17.354,,,,
220424592,12.763,11.503,6011,1.039,1.288
220424612,17.143,15.08,,,
220424619,14.115,10.236,3022,0.122,0.144
220424637,11.637,9.322,4725,1.095,9.093
220424651,18.104,14.804,3511,0.153,0.169
220424714,16.742,15.14,,,
220424738,18.749,,,,
220424806,15.76,14.058,5851,0.828,0.901
220424866,12.66,11.232,5958,1.096,1.242
