EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
220329940,00 37 22.540,+03 16 38.23,1,13.927,,,467-000883,00372253+0316382,,STAR,gri,rpm,21.500,1.900,2.700,2.100,,,14.635,0.050,13.998,0.070,,,14.269,0.020,13.824,0.070,13.781,0.270,,,12.766,0.024,12.455,0.027,12.347,0.026,,,,,,,,,5870,179,143,4.365,0.115,0.161,-0.371,0.300,0.420,1.042,0.255,0.178,0.924,0.103,0.086,0.782,0.469,0.364,698.500,202.600,137.000,0.034,0.026,0.013,AAA-222-111-000-0-0,,
220329962,00 41 48.088,+03 16 39.69,1,12.791,,,467-000981,00414808+0316396,,STAR,gri,rpm,26.200,1.800,-3.200,2.100,,,14.408,0.110,13.284,0.020,,,13.886,0.020,12.777,0.020,12.321,0.070,,,11.010,0.024,10.423,0.026,10.271,0.021,,,,,,,,,4324,68,43,4.725,0.042,0.035,-0.019,0.090,0.300,0.576,0.037,0.061,0.659,0.034,0.089,3.275,0.810,0.423,126.700,10.630,11.680,0.015,0.009,0.002,AAA-222-111-000-0-0,,
220329972,01 11 28.562,+03 16 40.25,1,15.724,,,467-001595,01112856+0316403,7717-301-6-0449-0165,STAR,JHK,rpm,29.100,3.700,-4.700,3.300,,,,,,,,,,,,,,,,,13.811,0.026,13.184,0.023,13.054,0.031,,,,,,,,,4253,272,327,4.789,0.085,0.102,-0.224,0.250,0.300,0.494,0.104,0.086,0.538,0.115,0.096,4.443,2.128,1.665,335.100,105.600,80.320,0.032,0.024,0.011,AAA-222-111-000-0-0,,
220329993,00 51 20.304,+03 16 41.91,1,12.526,,,467-001188,00512030+0316419,,STAR,gri,rpm,20.200,1.000,-0.200,1.200,,,13.210,0.020,12.629,0.030,,,12.850,0.010,12.490,0.010,12.388,0.040,,,11.559,0.023,11.317,0.024,11.279,0.023,,,,,,,,,6229,125,125,4.201,0.125,0.150,-0.293,0.250,0.250,1.380,0.241,0.243,1.082,0.143,0.143,0.394,0.282,0.164,548.300,115.500,95.380,0.032,0.026,0.010,AAA-222-111-000-0-0,,
220330001,00 51 21.684,+03 16 42.23,1,15.737,,,467-001189,00512169+0316423,7712-301-5-0415-0021,STAR,JHK,rpm,6.000,3.000,-15.200,3.100,,,,,,,,,,,,,,,,,14.863,0.037,14.552,0.058,14.661,0.093,,,,,,,,,5900,303,364,4.422,0.120,0.192,-0.808,0.300,0.360,0.879,0.251,0.145,0.810,0.055,0.066,1.016,0.594,0.530,1574.000,506.700,383.300,0.033,0.026,0.012,AAA-222-111-000-0-0,,
220330018,01 27 46.801,+03 16 43.29,1,16.007,,,,01274680+0316432,7717-301-6-0476-0148,EXTENDED,gri,,2.000,2.000,1.000,2.000,,,,,,,18.676,0.041,16.963,0.005,16.077,0.004,15.598,0.004,15.239,0.007,15.061,0.081,14.264,0.086,13.797,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,70.100,
220330019,01 10 31.644,+03 16 43.31,1,12.928,,,467-001579,01103164+0316433,,STAR,gri,rpm,17.900,1.100,12.700,1.400,,,13.664,0.030,13.044,0.040,,,13.324,0.010,12.900,0.060,12.758,0.020,,,11.910,0.023,11.661,0.030,11.575,0.019,,,,,,,,,6027,148,148,4.274,0.130,0.156,-0.184,0.200,0.320,1.192,0.225,0.189,1.039,0.108,0.126,0.548,0.321,0.202,545.100,108.800,90.670,0.031,0.027,0.008,AAA-222-111-000-0-0,,
220330028,00 55 25.201,+03 16 43.95,1,12.382,,,467-001269,00552520+0316439,,STAR,gri,rpm,22.200,2.300,-22.100,1.700,,,13.631,0.010,12.652,0.040,,,13.103,0.020,12.328,0.050,12.073,0.040,,,10.874,0.026,10.390,0.026,10.294,0.025,,,,,,,,,5011,100,80,4.552,0.050,1.230,-0.156,0.200,0.360,0.805,2.705,0.072,0.880,0.148,0.082,1.634,0.353,1.611,190.100,606.400,24.990,0.033,0.029,0.013,AAA-222-111-000-0-0,,
220330036,00 38 52.084,+03 16 44.46,1,13.805,,,467-000917,00385209+0316444,,STAR,gri,rpm,-10.300,2.100,-7.600,2.300,,,14.896,0.100,14.008,0.040,,,14.393,0.020,13.737,0.030,13.553,0.030,,,12.540,0.029,12.192,0.021,12.102,0.021,,,,,,,,,5459,131,109,4.505,0.050,0.050,-0.006,0.150,0.180,0.892,0.070,0.078,0.930,0.071,0.059,1.305,0.282,0.232,482.000,57.810,51.620,0.048,0.043,0.022,AAA-222-111-000-0-0,,
220330050,00 51 10.917,+03 16 45.33,1,17.882,,,,,7712-301-5-0415-0197,EXTENDED,gri,,-2.000,2.000,-8.000,2.000,,,,,,,19.398,0.072,18.383,0.014,17.942,0.018,17.667,0.022,17.548,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220330051,01 13 10.473,+03 16 45.35,1,13.063,,,467-001633,01131047+0316453,,STAR,gri,rpm,10.000,1.000,-10.300,1.300,,,13.798,0.010,13.205,0.010,,,13.461,0.020,13.046,0.010,12.893,0.020,,,11.988,0.024,11.696,0.031,11.637,0.022,,,,,,,,,6012,148,99,4.292,0.138,0.184,-0.234,0.200,0.280,1.135,0.302,0.140,1.031,0.086,0.138,0.635,0.313,0.310,547.000,127.500,89.930,0.035,0.033,0.013,AAA-222-111-000-0-0,,
220330059,00 41 42.756,+03 16 45.83,1,16.566,,,,00414275+0316458,7712-301-5-0399-0117,EXTENDED,gri,,16.000,2.000,5.000,2.000,,,,,,,18.194,0.028,17.083,0.006,16.600,0.006,16.345,0.011,16.170,0.017,16.499,0.149,,,15.670,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUC-202-101-000-0-0,38.900,
220330062,01 29 36.059,+03 16 46.12,1,12.444,,,467-001954,01293606+0316461,,STAR,gri,rpm,-2.300,2.400,-11.800,1.300,,,13.219,0.030,12.612,0.060,,,12.845,0.030,12.452,0.070,12.273,0.030,,,11.346,0.021,11.051,0.027,10.966,0.023,,,,,,,,,5994,145,121,4.174,0.190,0.228,-0.148,0.200,0.240,1.351,0.475,0.300,1.087,0.147,0.147,0.390,0.388,0.220,485.000,172.300,108.500,0.036,0.026,0.013,AAA-222-111-000-0-0,,
220330091,01 00 59.746,+03 16 48.36,1,12.864,,,467-001379,01005975+0316484,,STAR,gri,rpm,-9.900,1.600,-9.600,1.400,,,13.382,0.030,12.909,0.020,,,13.085,0.010,12.791,0.030,12.730,0.010,,,12.036,0.026,11.800,0.023,11.757,0.021,,,,,,,,,6347,182,130,4.184,0.140,0.196,-0.404,0.300,0.420,1.385,0.224,0.262,1.091,0.134,0.188,0.418,0.260,0.206,733.700,99.060,164.200,0.030,0.041,0.008,AAA-222-111-000-0-0,,
220330119,01 28 43.667,+03 16 50.10,1,17.788,,,,01284366+0316500,7717-301-6-0477-0143,STAR,gri,rpm,0.000,2.000,1.000,2.000,,,,,,,17.949,0.013,17.839,0.006,17.771,0.006,17.568,0.007,17.582,0.015,16.673,0.149,15.658,0.145,15.449,0.188,,,,,,,,,6617,133,133,2.816,0.081,0.045,-2.201,0.300,0.300,5.780,0.259,0.484,0.809,0.016,0.016,0.004,0.001,5.266e-4,23660.000,2403.000,2593.000,0.026,0.014,0.005,BBC-222-111-000-0-0,,
220330120,01 05 58.215,+03 16 50.39,1,12.955,,,467-001499,01055821+0316503,,STAR,gri,rpm,9.600,1.300,-12.100,1.500,,,13.770,0.020,13.118,0.030,,,13.374,0.010,12.932,0.020,12.776,0.040,,,11.781,0.027,11.454,0.026,11.418,0.023,,,,,,,,,5926,117,141,4.238,0.192,0.352,-0.215,0.200,0.440,1.190,0.653,0.234,1.017,0.107,0.128,0.509,0.507,0.348,520.700,251.300,120.200,0.035,0.026,0.012,AAA-222-111-000-0-0,,
220330154,00 40 48.907,+03 16 52.36,1,13.698,,,467-000961,00404887+0316522,7674-301-2-0101-0053,STAR,gri,rpm,2.300,2.000,-20.300,2.300,,,14.694,0.050,13.911,0.030,,,14.249,0.010,13.645,0.010,13.462,0.070,,,12.523,0.024,12.171,0.033,12.126,0.022,,,,,,,,,5507,88,110,4.504,0.035,0.084,-0.060,0.200,0.200,0.890,0.125,0.062,0.927,0.057,0.057,1.291,0.174,0.385,492.900,80.900,42.960,0.032,0.019,0.012,AAA-222-111-000-0-0,,
220330160,00 38 32.607,+03 16 52.57,1,16.832,,,,00383260+0316525,7674-301-3-0098-0157,EXTENDED,gri,,4.000,2.000,0.000,2.000,,,,,,,19.388,0.037,17.701,0.006,16.868,0.004,16.459,0.004,16.176,0.009,15.421,0.075,14.955,0.098,14.369,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,36.700,
