EPIC,KepMag,Kmag,Teff,mass,Radius
integer,float,float,integer,float,float
220499562,9.187,7.936,5486,0.867,9.219
220499578,16.235,14.126,,,
220499601,14.295,12.313,4966,0.735,0.694
220499613,19.105,,,,
220499621,13.903,11.72,4852,0.785,0.714
220499665,15.482,13.397,4847,0.673,0.628
220499686,14.662,12.858,5413,0.859,0.827
220499698,11.901,10.623,6117,1.138,1.345
220499708,15.63,13.748,5351,0.808,0.783
220499729,10.669,8.623,4981,0.982,5.823
220499742,12.709,11.484,6033,1.089,1.243
220499745,9.917,8.583,5971,1.179,1.602
220499749,13.509,11.896,5345,0.886,0.85
220499783,15.388,12.888,4441,0.673,0.614
220499794,13.865,10.79,3846,0.332,0.299
220499810,16.827,14.363,,,
220499821,13.503,11.404,4821,0.808,0.739
220499826,14.545,11.771,4015,0.509,0.452
220499846,14.461,12.886,,,
220499897,12.918,11.024,5029,0.805,0.761
220499910,14.843,11.942,3630,0.252,0.258
220499922,13.573,11.586,4977,0.959,4.165
220499924,16.778,15.103,5441,0.719,0.705
220500018,11.169,9.036,4867,1.005,7.79
220500020,13.794,12.027,5363,0.917,0.87
220500027,14.465,11.789,4043,0.515,0.459
220500114,12.787,11.127,5431,0.901,0.865
220500155,13.587,12.149,5855,0.975,1.052
220500159,9.059,7.817,6189,1.201,1.429
220500184,14.786,11.771,3644,0.307,0.298
220500202,15.546,12.514,4075,0.521,0.464
220500245,13.234,12.05,6173,1.099,1.329
220500251,14.078,12.16,5196,0.861,0.816
220500256,13.127,11.81,5989,1.052,1.188
220500283,13.041,11.581,5747,0.924,0.931
220500285,13.117,12.03,6306,1.088,1.308
220500319,15.995,12.327,3225,0.146,0.17
220500335,15.553,13.542,5011,0.75,0.706
220500366,13.212,11.682,5740,1,1.073
220500374,18.357,,,,
220500381,16.952,15.37,5267,0.683,0.647
220500391,13.927,12.197,5058,0.914,2.354
220500444,15.504,13.079,3876,0.419,0.379
220500445,14.26,12.238,4951,0.818,0.759
220500465,12.708,11.273,5828,1.061,1.347
220500468,17.14,14.757,,,
220500482,14.28,12.058,4773,0.795,0.737
220500488,17.345,13.895,3389,0.18,0.198
220500515,14.679,12.971,5411,0.867,0.826
220500516,14.194,12.63,5567,0.804,0.804
220500517,17.545,,,,
220500589,13.319,11.852,5861,1.031,1.173
