EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
213573481,18 51 43.447,-28 57 30.21,1,15.207,,,306-260261,18514344-2857302,STAR,BV,rpm,4.1,2.8,-5.7,1.9,,,15.847,0.04,15.296,0.05,,,,,,,14.213,0.033,13.927,0.036,13.88,0.054,6028,226,189,4.22,0.14,0.196,-0.081,0.25,0.4,1.298,0.357,0.238,1.069,0.164,0.164,0.451,0.315,0.212,1671,418.1,334.4,0.157,0.139,0.058,AAA-222-111-000-0-0,,
213573559,19 18 23.914,-28 57 29.36,1,13.926,,,306-269795,19182391-2857292,STAR,gri,rpm,-8.8,2.2,-10.9,2.2,,,15.378,0.04,14.323,0.038,14.839,0.039,13.925,0.045,13.534,0.067,12.247,0.022,11.669,0.025,11.518,0.024,4846,120,120,3.096,0.516,0.774,-0.406,0.4,0.56,4.193,5.215,1.746,0.954,0.204,0.146,0.009,0.041,0.009,1620,1911,569.1,0.227,0.13,0.13,AAA-222-111-000-0-0,,
213573774,19 02 37.485,-28 57 27.15,1,11.838,,6885-1810-1,306-264948,19023749-2857271,STAR,gri,,13,3.2,4,3.2,,,12.39,0.225,12.023,0.22,12.276,0.02,11.86,0.02,11.651,0.02,10.931,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEU-226-210-c00-0-0,3.8,
213574033,19 19 49.482,-28 57 24.14,1,13.954,,,306-270090,19194948-2857240,STAR,gri,rpm,0.5,2.5,-8.8,2.2,,,15.293,0.04,14.248,0.037,14.759,0.038,13.945,0.045,13.608,0.067,12.359,0.023,11.844,0.025,11.735,0.021,5009,151,121,2.622,0.803,0.365,-0.752,0.45,0.45,6.619,4.477,3.821,0.909,0.143,0.045,0.002,0.033,0.002,2949,1755,1696,0.16,0.162,0.058,AAA-222-111-000-0-0,,
213574408,19 16 10.950,-28 57 19.40,1,14.322,,,306-269261,19161094-2857193,STAR,gri,rpm,-4.1,2,-6,1.3,,,15.714,0.05,14.621,0.041,15.166,0.041,14.22,0.047,13.96,0.071,12.544,0.025,12.005,0.026,11.891,0.026,4877,135,116,2.894,0.55,0.66,-0.405,0.42,0.49,5.14,5.823,2.148,0.979,0.257,0.099,0.005,0.024,0.004,2557,2258,1199,0.179,0.147,0.067,AAA-222-111-000-0-0,,
213574661,19 21 59.905,-28 57 16.24,1,14.032,,,306-270632,19215990-2857162,STAR,JHK,rpm,-2.3,2.9,-2.2,2.9,,,,,,,,,,,,,12.18,0.024,11.547,0.024,11.442,0.021,4616,129,110,2.276,0.324,0.54,-0.416,0.5,0.6,11.531,8.48,3.042,0.995,0.301,0.12,6.13E-04,0.001,5.09E-04,3983,3041,1060,0.222,0.144,0.103,AAA-222-111-000-0-0,,
213574685,19 22 25.950,-28 57 16.02,1,9.384,,6887-723-1,306-270739,19222595-2857160,STAR,BV,rpm,-3.5,1.8,3.3,1.7,,,10.866,0.08,9.621,0.036,,,,,,,7.599,0.024,7.079,0.042,6.935,0.02,4796,115,115,2.583,0.185,0.222,0.023,0.12,0.15,11.876,4.946,2.615,2.244,0.907,0.756,0.001,9.67E-04,5.68E-04,556.4,244.1,109.1,0.129,0.069,0.049,AAA-111-111-000-0-0,,
213574732,19 24 15.007,-28 57 15.39,1,13.096,,,306-271164,19241500-2857154,STAR,gri,rpm,-5,2.4,-0.5,2,,,14.344,0.05,13.407,0.04,13.842,0.033,13.123,0.01,12.777,0.062,11.566,0.021,11.016,0.024,10.96,0.021,5002,147,88,2.37,0.295,0.295,-1.138,0.35,0.35,9.728,4.013,2.841,0.886,0.032,0.021,7.52E-04,0.001,4.82E-04,2843,1072,778.6,0.121,0.06,0.036,AAA-222-111-000-0-0,,
213574799,19 20 02.417,-28 57 14.55,1,13.344,,,306-270153,19200241-2857145,STAR,BV,rpm,3.8,2.7,-3.5,3.6,,,14.68,0.03,13.55,0.033,,,,,,,11.404,0.022,10.804,0.023,10.727,0.024,4705,114,114,2.385,0.37,0.592,-0.312,0.35,0.77,10.923,8.699,3.349,1.038,0.308,0.171,7.12E-04,0.002,6.01E-04,2763,2112,747.5,0.168,0.134,0.061,AAA-222-111-000-0-0,,
213575519,19 16 23.518,-28 57 05.94,1,13.26,,,306-269325,19162351-2857058,STAR,gri,rpm,-4.1,3.2,-4.6,1.4,,,14.664,0.02,13.587,0.033,14.113,0.034,13.255,0.042,12.895,0.063,11.717,0.023,11.218,0.023,11.061,0.023,5000,187,125,2.419,0.8,0.1,-0.718,0.42,0.35,9.519,1.441,5.335,0.928,0.164,0.045,9.75E-04,0.012,2.77E-04,2843,361.7,1490,0.199,0.166,0.092,AAA-222-111-000-0-0,,
