EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
210475946,04 17 52.141,+14 59 57.11,1,13.346,,,525-008002,04175213+1459571,,STAR,gri,rpm,26.3,3.1,-8.3,3.3,,,14.799,0.04,13.714,0.04,,,14.243,0.04,13.34,0.05,12.961,0.03,,,11.627,0.023,11.169,0.024,11.025,0.019,5460,264,176,4.456,0.096,0.816,-0.087,0.12,0.93,0.978,1.386,0.174,0.9,0.098,0.028,1.067,0.458,1.001,328.8,405.9,65.81,0.473,0.11,0.132
210476012,04 19 46.175,+15 00 01.18,1,12.274,,,526-008220,04194615+1500011,,STAR,gri,rpm,7.5,2.4,-3.3,3,,,14.473,0.04,12.848,0.03,,,13.681,0.02,12.267,0.01,11.671,0.02,,,9.879,0.02,9.21,0.022,8.969,0.017,4763,147,147,2.467,0.32,0.1,-0.135,0.18,0.21,10.871,0.907,1.359,1.3,0.901,0.205,9.76E-04,0.001,2.36E-04,1159,110.7,68.36,0.843,0.092,0.11
210476088,03 40 40.995,+15 00 06.09,1,16.161,,,,03404099+1500060,,EXTENDED,J,,,,,,,,,,,,,,,,,,,,,,14.76,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210476182,04 01 30.363,+15 00 12.92,1,13.944,,,526-007513,04013036+1500129,4843-301-4-0326-0045,STAR,gri,rpm,-8.3,3.8,-8.1,3.7,,,16.347,0.076,14.743,0.042,,,15.6,0.01,14.13,0.02,13.234,0.05,,,11.565,0.021,10.938,0.02,10.713,0.019,4869,154,132,3.074,0.33,0.66,-0.088,0.25,0.5,4.933,4.253,1.536,1.087,0.229,0.191,0.008,0.018,0.007,1250,1012,387.2,0.542,0.144,0.36
210476247,03 47 16.948,+15 00 16.71,1,12.312,,,526-006922,03471695+1500166,,STAR,gri,rpm,0.9,1.5,-2.5,1.8,,,13.827,0.06,12.597,0.16,,,13.264,0.04,12.191,0.14,11.904,0.12,,,10.477,0.021,9.938,0.019,9.801,0.018,4891,149,119,2.442,0.462,0.055,-0.363,0.25,0.25,10.293,0.952,3.58,1.136,0.504,0.158,9.72E-04,0.003,1.54E-04,1669,184.7,533.2,0.307,0.16,0.12
210476327,03 54 48.079,+15 00 22.95,1,12.279,,,526-007247,03544807+1500229,,STAR,gri,rpm,-0.4,1.1,-5.7,1.3,,,13.086,0.05,12.408,0.11,,,12.734,0.05,12.238,0.09,12.085,0.07,,,11.092,0.023,10.902,0.027,10.801,0.02,7039,447,447,4.016,0.21,0.21,-0.027,0.12,0.1,1.881,0.654,0.414,1.605,0.261,0.217,0.183,0.208,0.098,662.8,230.5,171,0.421,0.151,0.181
210476385,03 32 31.321,+15 00 25.78,1,16.813,,,,03323132+1500257,4334-301-5-0068-0205,EXTENDED,gri,,-2,3,13,3,,,,,,,19.598,0.07,17.817,0.009,16.884,0.005,16.383,0.005,16.006,0.011,15.873,0.1,15.176,0.098,14.661,0.128,,,,,,,,,,,,,,,,,,,,,,,,
210476411,03 47 58.644,+15 00 27.73,1,12.544,,,526-006948,03475864+1500277,,STAR,gri,rpm,9.8,1.5,-39.7,3.2,,,13.777,0.06,12.777,0.13,,,13.285,0.05,12.467,0.11,12.226,0.08,,,11.081,0.022,10.695,0.021,10.559,0.018,5845,204,306,4.338,0.18,0.39,-0.311,0.25,0.4,1.084,0.542,0.234,0.927,0.073,0.061,0.669,0.611,0.486,301.5,134.5,65.74,0.411,0.127,0.146
210476426,04 02 33.137,+15 00 28.43,1,16.149,,,,04023313+1500284,6475-301-4-0142-0293,STAR,gri,rpm,22,4,-24,4,,,,,,,20.362,0.052,18.348,0.007,16.767,0.005,15.206,0.004,14.318,0.005,12.771,0.023,12.129,0.022,11.836,0.02,3522,124,69,5.028,0.03,0.025,-0.009,0.27,0.12,0.248,0.042,0.017,0.241,0.07,0.015,15.35,2.685,3.101,83.03,19.54,3.187,0.181,0.04,0.018
210476527,04 18 17.647,+15 00 33.87,1,9.26,,1264-53-1,526-008153,04181763+1500339,,STAR,gri,rpm,89,1.3,-96.4,1.3,,,10.375,0.049,9.453,0.029,,,10.122,0.03,9.597,0.04,8.89,0.06,,,7.727,0.024,7.288,0.018,7.195,0.017,5504,66,110,4.416,0.126,0.798,-0.464,0.42,0.7,0.985,1.393,0.164,0.884,0.079,0.021,0.951,0.549,0.889,76.92,72.37,30.14,0.106,0.098,0.061
