EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V)
201483821,10 53 46.621,+00 16 39.56,1,15.08,,,452-049253,10534661+0016396,,STAR,gri,-6.4,2.6,-1.4,2.9,,,16.264,0.02,15.34,0.07,,,15.776,0.02,15.067,0.01,14.782,0.01,,,13.772,0.026,13.277,0.027,13.234,0.031,5008,3.16,-0.649,3.712,0.828,0.01,2829,0.035
201483887,10 53 03.246,+00 16 42.77,1,15.539,,,452-049231,10530326+0016431,,STAR,JHK,51.1,5.8,-47.1,6.1,,,,,,,,,,,,,,,,,13.203,0.029,12.552,0.024,12.318,0.024,3739,4.947,-0.071,0.319,0.345,9.458,147.9,0.027
201484056,10 50 57.312,+00 16 52.25,1,17.292,,,,10505731+0016522,,STAR,J,,,,,,,,,,,,,,,,,,,,,15.81,0.1,15.296,0.126,14.616,0.12,3612,5.004,-0.125,0.251,0.246,13.88,367.5,0.032
201484105,10 50 18.544,+00 16 54.34,1,11.12,,255-419-1,452-049165,10501853+0016544,,STAR,gri,20.7,1.6,-46.4,1.6,,,11.853,0.125,11.243,0.105,,,11.414,0.02,11.078,0.03,10.994,0.02,,,10.204,0.026,9.979,0.024,9.878,0.021,6243,4.222,-0.271,1.289,1.099,0.447,282.9,0.03
201484619,10 54 40.247,+00 17 22.21,1,18.791,,,,10544024+0017222,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,16.367,0.113,15.586,0.116,15.339,0.184,3925,4.913,-0.278,0.342,0.361,8.508,685.9,0.032
201484637,10 52 05.583,+00 17 23.35,1,17.246,,,,10520558+0017233,,STAR,J,,,,,,,,,,,,,,,,,,,,,15.767,0.094,15.19,0.111,14.596,0.115,3612,5.01,-0.125,0.254,0.255,13.21,376.2,0.032
201484692,10 54 33.657,+00 17 25.99,1,14.497,,,452-049270,10543365+0017259,,STAR,gri,33.3,2.3,-41.8,3.2,,,16.267,0.1,15.03,0.03,,,15.655,0.05,14.532,0.02,14.001,0.11,,,12.688,0.028,12.038,0.023,11.944,0.028,4302,4.744,-0.151,0.545,0.606,3.571,232.4,0.03
201484892,10 54 21.996,+00 17 37.56,1,10.786,,255-416-1,452-049264,10542199+0017375,,STAR,gri,-46.5,1.5,-16.5,1.5,,,11.435,0.066,10.843,0.06,,,11.114,0.03,10.75,0.01,10.646,0.02,,,9.878,0.024,9.601,0.024,9.545,0.025,6143,4.215,-0.264,1.28,1.065,0.427,236.3,0.028
201484912,10 52 04.925,+00 17 39.00,1,18.139,,,,10520492+0017389,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.591,0.159,15.988,0.157,,,,,,,,,,
201484971,10 53 49.438,+00 17 42.54,1,18.012,,,,10534943+0017425,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.476,0.123,16.089,0.196,,,,,,,,,,
201484990,10 54 20.420,+00 17 43.66,1,16.697,,,,10542041+0017436,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,14.229,0.036,13.555,0.026,13.293,0.039,3847,4.91,-0.112,0.353,0.406,7.785,270.8,0.03
201485129,10 54 50.115,+00 17 51.98,1,15.186,,,452-049277,10545011+0017520,,STAR,gri,12.8,2.7,-45.5,3,,,16.1,0.03,15.315,0.02,,,15.647,0.01,15.08,0.01,14.988,0.06,,,13.966,0.031,13.524,0.03,13.539,0.035,5443,4.631,-0.943,0.661,0.691,2.365,680.8,0.037
201485699,10 50 11.498,+00 18 25.06,1,18.225,,,,10501149+0018250,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.408,0.091,14.655,0.089,14.247,0.104,3834,4.911,-0.165,0.346,0.369,8.469,423.6,0.031
201485726,10 52 31.260,+00 18 26.83,1,15.195,,,452-049215,10523125+0018267,,STAR,gri,-38,2.5,-17.9,2.9,,,17.352,0.11,15.738,0.05,,,16.61,0.06,15.208,0.03,14.588,0.05,,,13.065,0.024,12.407,0.029,12.228,0.032,3938,4.857,-0.041,0.427,0.473,6.103,188.6,0.028
