EPIC,KepMag,Kmag,Teff,Radius,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integer,float,float,integer,float,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678440,17.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678458,19.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678460,18.167,15.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678479,17.224,14.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678515,17.748,14.578,3633,0.254,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678516,17.438,14.428,4215,0.507,0.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678575,14.598,12.213,4629,0.697,0.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678585,17.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678594,16.47,12.8,3892,0.38,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678628,17.619,14.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678645,18.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678676,13.927,11.769,4870,6.845,0.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678695,16.167,11.992,3058,0.15,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678698,13.624,10.847,4086,0.477,0.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678728,11.874,10.636,6176,1.379,1.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678731,12.328,10.697,5546,0.984,0.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678798,16.959,14.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678837,17.713,14.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678857,18.35,15.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678859,11.235,9.849,6009,1.501,1.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678887,12.53,11.06,5807,1.759,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678917,12.874,11.579,6097,1.455,1.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678925,9.253,6.856,4797,10.846,1.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678927,15.012,11.154,3571,0.226,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678960,19.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248678995,12.127,10.147,5000,2.841,1.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679013,18.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679047,12.275,11.087,6224,1.325,1.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679051,13.926,11.831,5137,2.15,0.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679060,12.854,10.467,4648,17.729,0.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679065,17.662,15.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679128,16.754,13.114,3913,0.355,0.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679167,15.189,11.764,3821,0.39,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679189,18.102,15.142,3693,0.255,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679190,18.047,15.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679197,17.961,14.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679215,17.189,15.191,4962,0.51,0.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679224,14.078,12.137,5125,0.806,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679249,12.892,11.259,5586,1.246,0.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679261,17.181,15.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679267,17.252,15.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679269,17.561,14.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679296,17.955,14.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679338,17.97,14.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679369,16.617,14.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679372,17.272,14.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679395,12.778,10.747,5063,2.121,0.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679449,14.443,11.509,4016,0.475,0.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679464,12.3,10.869,5982,1.113,1.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679480,12.018,9.616,4647,10.191,1.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679502,15.912,13.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679547,17.725,15.352,4908,9.892,0.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679554,18.175,15.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679577,16.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679584,14.262,12.48,5379,0.811,0.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679604,19.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679628,14.835,12.061,3936,0.415,0.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679686,10.41,9.334,6350,2.173,1.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679717,16.586,14.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679727,15.115,11.584,3666,0.303,0.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679746,18.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679754,15.695,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679827,12.922,11.542,5971,1.057,0.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679830,14.89,12.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679842,12.783,10.768,4994,7.437,0.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679886,12.505,11.305,6506,1.405,1.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679932,17.76,14.691,3678,0.272,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679935,18.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679970,13.262,10.753,4248,0.52,0.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248679992,16.795,14.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680018,15.25,12.269,3905,0.383,0.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680044,18.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680077,16.623,14.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680080,14.152,11.109,3716,0.353,0.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680094,19.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680188,14,10.507,3944,0.421,0.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680196,18.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680203,17.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680229,17.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680246,17.626,14.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680249,13.65,11.702,5155,3.96,0.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680268,16.969,14.409,3693,0.264,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680269,17.915,15.153,3980,0.397,0.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680290,16.572,12.907,3592,0.224,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680310,14.152,12.139,4986,3.692,0.898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680375,18.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680409,18.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680413,18.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680477,17.957,14.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680537,18.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680594,17.659,15.056,3737,0.283,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680610,14.576,12.597,5121,0.78,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680620,16.863,14.071,3575,0.232,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680627,15.03,14.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680650,14.948,11.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680651,14.663,12.655,5053,0.779,0.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680743,14.462,12.485,5074,0.603,0.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680745,16.415,13.784,3933,0.389,0.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680767,12.038,9.34,4460,20.036,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680797,18.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680851,16.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680922,12.893,10.429,4673,8.277,0.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680940,17.893,14.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680971,18.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680990,12.523,11.216,6387,1.455,1.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248680999,11.619,9.521,4906,6.409,0.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681039,17.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681090,17.066,14.482,4148,0.514,0.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681100,17.332,15.07,4452,0.572,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681156,13.269,10.771,4225,0.365,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681185,17.604,14.719,3774,0.304,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681188,13.841,11.516,4561,0.682,0.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681205,17.157,14.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681211,17.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681219,17.712,15.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681232,13.322,11.273,4960,2.13,0.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681336,9.135,6.591,4604,11.786,1.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681385,17.668,14.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681442,17.891,14.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681452,18.014,15.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681497,12.875,11.399,5874,1.094,1.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681558,19.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681583,12.518,10.763,5385,2.083,0.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681605,12.886,11.415,5858,1.156,1.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681632,19.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681633,18.004,15.352,3750,0.299,0.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681643,16.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681662,18.239,14.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681663,15.058,12.933,5117,0.815,0.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681679,16.812,14.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681699,17.403,14.771,4309,0.519,0.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681702,14.931,12.639,4623,0.677,0.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681705,16.127,12.276,3333,0.196,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681720,17.462,14.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681771,15.335,13.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681781,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681873,18.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681908,12.897,11.009,5135,3.838,0.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681912,12.063,10.205,5183,9.22,0.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681934,13.446,10.699,3987,0.443,0.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681935,9.185,8.477,7629,1.87,1.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248681970,15.987,13.597,4092,0.425,0.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682010,16.184,15.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682053,14.772,11.668,3801,0.347,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682074,18.033,15.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682083,18.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682101,14.385,12.527,5092,5.62,0.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682102,17.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682106,10.385,9.059,5833,1.137,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682125,16.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682147,12.422,11.007,6005,1.034,0.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682167,18.433,15.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682208,17.967,15.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682258,10.539,8.175,4554,11.632,1.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682271,13.664,11.76,5137,4.152,0.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682296,10.785,9.547,6218,1.521,1.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682346,14.657,12.284,4602,0.672,0.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682364,9.732,7.722,4960,0.73,0.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682376,9.659,7.323,4634,11.202,1.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682409,14.724,13.2,5890,1.002,0.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682421,14.198,12.166,4973,0.748,0.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682437,18.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682453,17.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682489,16.24,13.739,2456,0.107,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682511,16.809,14.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682559,17.461,15.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682561,17.908,15.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682604,17.825,15.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682635,12.216,11.287,6589,1.593,1.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682675,17.396,14.792,3727,0.298,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682689,17.198,14.535,3759,0.327,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682706,14.827,12.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682710,17.227,14.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682751,17.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682756,14.651,11.936,3940,0.363,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682771,17.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682847,17.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682849,17.746,14.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682858,18.213,15.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682866,17.63,14.13,3666,0.263,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682887,19.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682891,18.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682893,16.1,14.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682902,15.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682941,18.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682942,17.827,15.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682944,17.253,14.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682973,17.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682975,17.648,14.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248682995,17.988,15.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683038,17.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683054,13.881,11.349,4478,0.656,0.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683065,14.982,13.204,5333,0.956,0.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683066,14.638,12.575,5067,0.792,0.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683067,11.343,9.653,5405,0.719,0.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683081,15.416,13.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683085,17.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683119,17.899,15.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683122,13.75,11.114,4148,0.424,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683160,15.752,12.594,3772,0.333,0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683163,17.802,15.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683188,16.348,14.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683199,14.881,11.859,3869,0.382,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683251,18.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683272,17.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683334,17.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683362,15.147,13.746,5726,0.781,0.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683378,17.716,15.212,4437,0.512,0.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683385,12.139,11.037,6646,1.518,1.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683528,17.649,15.139,4333,0.514,0.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683609,16.716,13.87,4327,0.567,0.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683619,17.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683687,19.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683688,11.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683693,10.788,8.41,4619,12.065,1.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683712,18.189,15.304,3854,0.308,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683723,18.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683746,14.005,11.749,4644,0.63,0.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683752,17.357,15.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683758,18.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683763,18.628,15.047,3447,0.155,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683764,16.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683776,15.639,13.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683782,17.258,13.848,4128,0.478,0.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683853,16.872,14.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683883,18.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248683884,17.354,14.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684044,18.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684126,10.78,9.547,6275,1.378,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684132,17.624,14.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684153,12.75,11.406,6205,1.316,1.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684248,10.159,8.677,5766,1.14,1.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684263,14.211,12.198,5035,0.722,0.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684341,18.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684344,11.703,10.503,6114,1.259,1.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684433,17.548,15.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684438,17.296,15.254,4711,0.505,0.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684445,12.924,10.755,4851,8.851,0.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684535,12.409,10.365,4978,8.734,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684575,11.163,8.023,3706,0.329,0.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684626,17.815,15.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684677,13.233,11.302,5298,0.806,0.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684700,11.846,10.722,6342,1.455,1.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684734,16.242,12.72,3840,0.365,0.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684780,16.576,14.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684804,16.692,14.054,3777,0.323,0.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684836,12.98,11.099,5127,0.764,0.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684842,14.363,12.374,5083,0.722,0.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684846,17.61,14.616,3676,0.25,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684858,12.645,10.975,5575,2.52,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684867,15.387,13.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684872,10.08,8.019,4883,10.528,1.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684873,15.483,13.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684908,18.09,15.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684925,17.149,14.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684938,18.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248684998,10.962,9.82,6477,1.554,1.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685007,17.104,14.479,4160,0.29,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685070,18.756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685083,17.977,15.182,3941,0.366,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685100,15.282,11.727,4071,0.441,0.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685126,18.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685130,16.304,15.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685217,18.21,15.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685220,10.522,7.133,3794,46.985,1.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685227,18.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685303,12.566,11.164,5867,1.206,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685330,11.812,10.345,6011,1.404,1.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685347,16.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685441,11.1,8.961,4810,10.912,0.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685462,18.172,15.408,4508,0.489,0.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685469,14.229,12.26,4990,0.769,0.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685483,17.977,14.891,3905,0.229,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685507,13.84,11.939,5058,3.136,0.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685566,12.679,11.431,6139,1.221,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685589,16.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685601,18.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685645,15.606,12.74,3620,0.276,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685677,17.15,15.354,5320,0.558,0.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685679,17.032,14.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248685704,17.843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
