EPIC,KepMag,Kmag,Teff,Radius,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integer,float,float,integer,float,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201453319,18.078,15.033,3823,0.311,0.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201453322,18.423,15.21,3710,0.269,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201453778,12.762,11.343,5888,1.091,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201454088,9.912,7.863,4991,0.668,0.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201454153,17.194,14.516,3903,0.36,0.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201454322,18.165,15.168,4006,0.381,0.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201454462,18.345,15.45,3756,0.273,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201454571,13.679,11.717,4797,9.242,0.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201454630,12.4,11.171,6284,1.471,1.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201454870,12.375,11.103,6091,1.197,0.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201454872,18.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201454980,16.208,13.697,3751,0.3,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201455100,17.258,13.791,3867,0.374,0.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201455237,17.483,14.659,3947,0.389,0.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201455279,14.98,12.097,3551,0.246,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201455333,15.353,13.347,4825,0.714,0.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201455382,16.252,13.773,4597,0.657,0.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201455424,19.087,14.978,3791,0.31,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201456129,15.868,12.608,3632,0.278,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201456401,13.522,11.334,4863,8.765,0.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201456511,13.828,12.113,5317,0.952,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201456903,17.209,14.604,3720,0.288,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201456927,18.031,14.986,3928,0.356,0.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201457105,10.912,9.654,6016,1.24,1.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201457124,13.662,10.832,3955,0.442,0.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201457234,12.276,11.147,6197,1.271,1.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201457252,16.621,13.65,4144,0.485,0.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201457300,14.471,12.451,5033,4.187,0.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201457345,16.733,14.012,3763,0.33,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201457403,16.605,13.603,3600,0.249,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201457633,18.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201457739,18.212,15.26,3730,0.264,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201458021,12.817,11.235,5667,1.156,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201458092,16.805,14.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201458373,16.053,13.034,3634,0.269,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201458392,14.955,12.964,4966,0.774,0.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201458780,16.564,13.446,3751,0.317,0.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201459055,14.578,12.557,4725,0.641,0.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201459108,18.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201459349,15.993,12.974,3665,0.277,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201459491,13.841,12.001,5188,0.729,0.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201459576,13.236,11.087,4698,10.516,0.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201460410,12.88,11.54,6017,1.352,1.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201460488,11.663,10.459,6460,1.457,1.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201460696,13.929,11.933,5078,4.381,0.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201460720,17.998,15.317,3755,0.292,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201460873,16.896,14.03,4182,0.518,0.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201461052,14.817,13.264,5702,0.735,0.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201461289,18.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201461473,12.388,11.239,6610,1.514,1.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201461729,18.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201461878,16.416,13.711,3754,0.316,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201461916,16.431,13.944,3489,0.213,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201462007,17.876,15.063,3821,0.304,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201462095,17.742,14.806,3621,0.239,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201462124,15.866,13.515,4504,0.633,0.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201462370,17.134,14.549,3802,0.297,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201462905,13.412,11.43,5045,2.291,1.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201463178,12.825,10.901,4998,3.423,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201463233,17.732,14.885,3636,0.25,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201463810,18.115,14.983,3590,0.239,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201463812,13.53,11.584,5130,0.768,0.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201464005,17.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201464123,17.114,14.617,3781,0.307,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201464160,14.318,12.442,5058,2.882,0.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201464221,16.645,13.962,4224,0.501,0.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201465398,14.856,13.135,5371,2.219,0.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201465845,17.602,14.956,3627,0.247,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201466058,17.55,15.277,4020,0.388,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201466068,11.794,9.581,4667,6.86,1.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201466607,18.264,15.236,3744,0.269,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201467145,12.946,10.826,4841,7.441,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201467381,17.438,14.612,3580,0.25,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201467429,17.088,14.592,3888,0.339,0.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201467627,14.231,11.913,4471,0.631,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201467785,17.78,14.78,3651,0.256,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201468104,14.581,11.915,3549,0.239,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201468457,12.232,9.63,4197,0.525,0.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201468472,14.367,11.73,4130,0.499,0.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201468587,11.444,10.002,5449,2.078,0.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201468875,18.007,15.225,3754,0.288,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201468961,17.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201469232,16.677,13.522,3684,0.286,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201469279,17.06,13.872,3601,0.258,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201469451,17.664,14.55,3714,0.29,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201469521,14.568,11.645,3457,0.205,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201469522,17.031,14.178,4019,0.405,0.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201469971,11.724,10.336,5974,1.55,1.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201470154,12.41,11.284,6421,1.336,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201470184,12.413,10.747,5430,0.855,0.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201470242,13.992,12.19,5321,0.832,0.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201470759,18.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
