EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V)
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,float,float,float,float,float,float,float
248858862,10 54 20.411,+12 07 52.30,1,16.816,,,,10542041+1207523,3804-301-5-0042-0096,EXTENDED,gri,2,3,1,3,,,,,,,19.463,0.048,17.758,0.007,16.837,0.005,16.412,0.005,16.082,0.01,15.514,0.078,14.821,0.079,14.367,0.083,,,,,,,,
248858889,11 00 08.000,+12 07 54.25,1,17.834,,,,11000800+1207542,3836-301-4-0111-0167,EXTENDED,gri,6,3,-8,3,,,,,,,20.733,0.142,18.84,0.012,17.867,0.009,17.403,0.008,17.113,0.023,16.448,0.133,15.576,0.13,15.236,0.147,,,,,,,,
248858890,11 00 26.128,+12 07 54.27,1,18.157,,,,11002612+1207542,,STAR,JHK,4,3,8,2,,,,,,,,,,,,,,,,,16.107,0.089,15.587,0.112,15.309,0.154,4091,4.811,-0.308,0.433,0.495,5.138,826.1,0.032
248858904,10 33 45.897,+12 07 55.76,1,12.197,,842-385-1,511-050440,10334589+1207556,,STAR,gri,-7.5,2.3,-40.6,2.5,,,12.9,0.266,12.122,0.179,,,12.877,0.07,12.197,0.03,11.906,0.05,,,10.718,0.021,10.241,0.02,10.132,0.018,5063,3.757,-0.333,2.101,0.877,0.091,445.7,0.03
248858905,10 38 26.671,+12 07 55.77,1,17.408,,,,10382667+1207557,,STAR,J,6,2,0,3,,,,,,,,,,,,,,,,,15.918,0.104,15.055,0.096,14.448,0.12,3987,4.872,-0.138,0.402,0.449,6.344,691.8,0.032
248858916,10 48 27.982,+12 07 56.83,1,17.536,,,,10482798+1207568,3538-301-5-0295-0143,EXTENDED,gri,-9,3,-14,3,,,,,,,18.601,0.025,17.705,0.007,17.48,0.008,17.213,0.01,17.16,0.031,17.068,0.166,16.247,0.188,,,,,,,,,,
248858925,10 38 12.685,+12 07 57.27,1,17.628,,,,10381268+1207572,3836-301-5-0075-0084,EXTENDED,gri,3,3,-6,3,,,,,,,20.604,0.125,18.6,0.012,17.662,0.008,17.212,0.008,16.898,0.017,16.211,0.134,15.817,0.2,,,,,,,,,,
248858935,10 31 08.961,+12 07 58.07,1,18.394,,,,10310896+1207580,3538-301-6-0267-0131,EXTENDED,gri,3,3,2,3,,,,,,,19.259,0.029,18.617,0.008,18.32,0.009,18.038,0.011,18.058,0.034,16.978,0.186,16.144,0.191,15.48,0.182,,,,,,,,
248858936,11 01 28.709,+12 07 58.47,1,15.692,,,,11012870+1207584,3836-301-4-0113-0092,EXTENDED,gri,-2,3,-12,3,,,,,,,18.911,0.049,16.723,0.004,15.713,0.003,15.25,0.003,14.868,0.006,14.68,0.07,13.965,0.084,13.574,0.069,,,,,,,,
248858942,11 02 26.096,+12 07 59.00,1,17.608,,,,11022609+1207590,3836-301-4-0114-0137,EXTENDED,gri,3,3,2,3,,,,,,,19.4,0.049,18.302,0.009,17.69,0.008,17.311,0.008,17.079,0.024,16.686,0.124,16.099,0.163,15.649,0.19,,,,,,,,
