,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
22,22,22,22,22,22,246393105,23 31 13.753,-01 12 03.97,1,11.792,,,444-131837,23311375-0112039,,STAR,gri,rpm,-2.2,1.3,-9.7,1.7,,,13.039,0.01,11.95,0.01,,,12.575,0.031,11.692,0.01,11.457,0.06,,,10.381,0.021,9.833,0.022,9.754,0.021,4763,57,76,2.932,0.365,0.584,-0.168,0.2,0.28,5.712,5.132,1.886,1.124,0.162,0.195,0.004,0.014,0.003,995.2,698.8,314.6,0.038,0.011,0.008,AAA-222-111-000-0-0,8.7,
23,23,23,23,23,23,246393127,23 12 59.218,-01 12 01.30,1,12.884,,,444-131372,23125921-0112011,,STAR,gri,rpm,11.8,1.6,-13.9,2,,,13.62,0.03,12.916,0.22,,,13.312,0.032,12.767,0.18,12.701,0.14,,,11.97,0.023,11.624,0.023,11.62,0.026,5768,203,169,4.396,0.11,0.264,-0.189,0.25,0.25,1.017,0.388,0.167,0.95,0.111,0.092,0.878,0.482,0.542,457.5,208.7,95.77,0.036,0.011,0.007,AAA-222-111-000-0-0,10.1,
24,24,24,24,24,24,246393136,23 34 47.407,-01 12 00.69,1,15.2,,,444-131944,23344741-0112006,,STAR,gri,rpm,-24.7,3.1,-29.1,3.7,,,17.407,0.113,15.548,0.055,,,16.627,0.07,15.09,0.01,14.589,0.082,,,13.197,0.023,12.497,0.021,12.36,0.024,4025,80,80,4.813,0.042,0.03,-0.014,0.1,0.08,0.468,0.038,0.035,0.528,0.039,0.039,5.003,0.902,0.646,233.3,20.86,25.18,0.033,0.017,0.006,AAA-222-111-000-0-0,20.6,
25,25,25,25,25,25,246393137,23 32 48.207,-01 12 00.67,1,14.823,,,444-131891,23324820-0112006,,STAR,gri,rpm,7.4,2.7,-10.9,3.1,,,16.229,0.05,15.037,0.03,,,15.708,0.02,14.645,0.01,14.444,0.16,,,13.399,0.024,12.898,0.027,12.8,0.027,4568,55,55,4.646,0.036,0.02,0.109,0.08,0.22,0.681,0.016,0.054,0.743,0.031,0.062,2.366,0.446,0.142,437.5,21.04,39.23,0.044,0.011,0.013,AAA-222-111-000-0-0,60.9,
26,26,26,26,26,26,246393147,23 05 02.593,-01 11 59.67,1,9.618,,5242-1022-1,445-136137,23050258-0111597,,STAR,BV,plx,10.6,1.1,-14.9,1.1,,,11.374,0.089,9.912,0.034,,,,,,,,,,,6.992,0.024,6.226,0.033,6.02,0.023,4103,95,119,1.517,0.225,0.36,-0.143,0.25,0.35,30.555,11.895,6.396,1.163,0.21,0.21,3.78E-05,4.02E-05,2.59E-05,704.6,306.9,306.9,0.039,0.013,0.009,AAA-111-111-000-0-0,88.7,
27,27,27,27,27,27,246393151,23 16 14.306,-01 11 59.18,1,14.859,,,445-136476,23161428-0111592,,STAR,gri,rpm,26,4.1,2.9,4.5,,,16.13,0.05,14.957,0.045,,,15.619,0.05,14.741,0.11,14.534,0.13,,,13.482,0.024,12.973,0.028,12.931,0.03,4925,117,117,4.616,0.03,0.036,-0.231,0.2,0.2,0.704,0.049,0.054,0.747,0.059,0.059,2.111,0.313,0.272,522.8,50.44,46,0.038,0.011,0.008,AAA-222-111-000-0-0,47.8,
28,28,28,28,28,28,246393154,23 10 52.067,-01 11 59.07,1,18.23,,,445-136303,23105208-0111587,,STAR,J,,6.3,7.5,-1.1,7,,,,,,,,,,,,,,,,,16.672,0.13,16.106,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,BCU-220-110-000-0-0,25.5,
29,29,29,29,29,29,246393166,23 27 23.944,-01 11 58.12,1,17.713,,,,23272394-0111581,,STAR,J,,0,1,6,3,,,,,,,,,,,,,,,,,16.202,0.096,15.701,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD-222-111-000-0-0,34.1,0888-0676268
30,30,30,30,30,30,246393193,23 13 31.779,-01 11 55.79,1,12.125,,,445-136387,23133176-0111556,,STAR,gri,rpm,-32.1,1.2,-19.4,1.3,,,12.972,0.04,12.216,0.18,,,12.625,0.02,12.024,0.17,11.911,0.13,,,11.105,0.022,10.698,0.021,10.63,0.023,5387,191,159,4.52,0.045,0.738,-0.156,0.2,0.48,0.853,1.266,0.085,0.888,0.062,0.062,1.395,0.345,1.293,247,293.6,33.35,0.034,0.007,0.007,AAA-222-111-000-0-0,39.7,
31,31,31,31,31,31,246393197,23 05 55.462,-01 11 54.77,1,14.88,,,445-136165,23055546-0111547,,STAR,gri,rpm,-2.6,3.9,-7.5,4.3,,,16.009,0.02,15.011,0.04,,,15.65,0.03,14.8,0.03,14.55,0.08,,,13.633,0.023,13.129,0.03,13.016,0.032,4893,98,79,4.608,0.025,0.035,-0.131,0.2,0.2,0.721,0.056,0.043,0.777,0.058,0.058,2.005,0.245,0.298,577.5,63.93,48.38,0.038,0.013,0.008,AAA-222-111-000-0-0,29.6,
