,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
0,0,0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
2096,2096,2096,211983385,08 50 36.536,+19 59 09.37,1,16.279,,,,08503653+1959093,5037-301-1-0131-0190,STAR,gri,rpm,-16,2,-47,2,,,,,,,20.443,0.042,17.892,0.006,16.517,0.005,15.588,0.005,15.076,0.005,13.858,0.023,13.239,0.032,13.005,0.031,3577,57,42,4.994,0.02,0.024,0.087,0.08,0.08,0.282,0.023,0.011,0.289,0.027,0.017,12.7,0.762,1.638,159,25.59,6.456,0.022,0.006,0.007
2097,2097,2097,211983461,08 37 52.092,+19 59 13.91,1,11.117,,1395-811-1,550-045816,08375208+1959138,,STAR,gri,rpm,-37.2,1.7,-14.4,2.1,,,11.943,0.187,11.543,0.187,,,11.562,0.01,11.048,0.01,10.926,0.03,,,10.079,0.026,9.791,0.03,9.689,0.02,5784,116,116,4.396,0.085,0.374,0.027,0.15,0.18,1.056,0.623,0.121,1.055,0.092,0.092,0.827,0.302,0.617,202.8,124.6,28.18,0.026,0.011,0.007
2098,2098,2098,211983476,08 41 26.028,+19 59 15.19,1,16.973,,,,08412602+1959151,5038-301-3-0029-0300,STAR,gri,rpm,-34,3,-13,3,,,,,,,21.4,0.088,19.009,0.009,17.542,0.006,16.1,0.005,15.319,0.006,13.89,0.026,13.261,0.031,13.077,0.03,3581,112,140,5.041,0.048,0.04,-0.068,0.15,0.15,0.245,0.034,0.041,0.238,0.046,0.055,15.77,5.651,3.099,141.4,22.75,31.13,0.02,0.01,0.006
2099,2099,2099,211983483,08 52 19.002,+19 59 15.42,1,16.34,,,,08521900+1959154,5071-301-4-0128-0277,EXTENDED,gri,,2,1,2,2,,,,,,,18.536,0.028,17.102,0.004,16.456,0.004,16.014,0.004,15.747,0.009,15.284,0.068,14.482,0.081,14.098,0.081,,,,,,,,,,,,,,,,,,,,,,,,
2100,2100,2100,211983499,08 38 07.582,+19 59 16.33,1,11.827,,,550-045832,08380758+1959163,,STAR,gri,rpm,-34.6,0.8,-11.1,0.7,,,12.969,0.01,12.061,0.01,,,12.5,0.031,11.781,0.04,11.539,0.02,,,10.457,0.027,10.009,0.032,9.898,0.02,5033,199,79,4.524,0.065,1.378,-0.173,0.25,0.5,0.868,3.329,0.11,0.902,0.088,0.073,1.341,0.527,1.329,190.6,547.4,45.21,0.029,0.018,0.01
2101,2101,2101,211983533,08 14 36.959,+19 59 18.34,1,15.232,,,550-044632,08143696+1959184,6728-301-3-0099-0005,STAR,gri,rpm,-11,3.2,-4,3.8,,,16.433,0.01,15.462,0.01,,,15.915,0.06,15.168,0.01,14.94,0.12,,,13.853,0.02,13.377,0.028,13.313,0.031,5060,102,102,4.588,0.03,0.036,-0.188,0.2,0.24,0.744,0.069,0.053,0.8,0.063,0.063,1.897,0.306,0.312,693.7,81.07,61.04,0.034,0.011,0.008
2102,2102,2102,211983544,08 42 37.622,+19 59 18.99,1,17.445,,,,08423762+1959189,5037-301-3-0119-0445,STAR,gri,rpm,-31,3,-10,3,,,,,,,21.635,0.092,19.526,0.012,18.08,0.007,16.553,0.006,15.488,0.006,14.264,0.029,13.672,0.037,13.39,0.042,3562,108,108,5.041,0.035,0.049,-0.065,0.18,0.18,0.239,0.043,0.026,0.238,0.058,0.036,16.41,3.779,4.132,163.6,28.17,24.03,0.023,0.006,0.005
2103,2103,2103,211983549,08 13 21.054,+19 59 19.69,1,11.386,,1385-1460-1,550-044576,08132105+1959197,,STAR,gri,plx,-2,1.4,-24.9,1.6,,,11.896,0.148,11.464,0.151,,,11.714,0.02,11.331,0.01,11.245,0.02,,,10.442,0.02,10.186,0.026,10.132,0.017,6162,100,100,4.214,0.11,0.154,-0.1,0.16,0.24,1.353,0.273,0.166,1.141,0.093,0.13,0.429,0.198,0.177,332.2,55.99,55.99,0.03,0.01,0.007
2104,2104,2104,211983550,08 29 52.422,+19 59 19.78,1,18.17,,,,08295242+1959197,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,16.619,0.145,16.025,0.168,15.538,0.193,3825,651,362,4.928,0.135,0.216,-0.246,0.25,0.4,0.337,0.198,0.125,0.363,0.241,0.172,8.902,10.35,5.374,730.5,776.2,330.9,0.033,0.011,0.008
2105,2105,2105,211983602,08 38 37.862,+19 59 23.11,1,8.616,,1395-814-1,550-045851,08383786+1959231,,STAR,gri,rpm,-36.9,1.2,-12.8,1.1,,,8.331,0.019,8.135,0.015,,,9.498,0.03,9.06,0.04,8.238,0.03,,,7.7,0.02,7.663,0.029,7.61,0.018,6644,154,193,4.027,0.252,0.21,0.09,0.1,0.08,1.81,0.775,0.465,1.512,0.206,0.154,0.187,0.291,0.101,133.9,56.83,34.19,0.022,0.008,0.007
2106,2106,2106,211983633,08 32 20.177,+19 59 24.54,1,14.802,,,550-045567,08322019+1959247,5045-301-5-0116-0174,STAR,gri,rpm,-127,8,-106,8,,,17.269,0.12,15.816,0.06,,,16.572,0.13,15.242,0.03,14.043,0.07,,,12.197,0.021,11.615,0.025,11.376,0.021,3312,79,39,5.109,0.036,0.02,0.078,0.08,0.1,0.187,0.007,0.019,0.165,0.014,0.019,25.17,4.884,2.321,54.6,14.93,11.73,0.009,0.002,0.002
2107,2107,2107,211983698,08 42 05.359,+19 59 27.61,1,18.211,,,,08420535+1959276,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.655,0.154,15.885,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,
2108,2108,2108,211983725,08 39 41.030,+19 59 28.82,1,14.639,,,550-045896,08394103+1959288,5045-301-3-0127-0027,STAR,gri,rpm,-35.9,3.8,-9.6,4.2,,,17.053,0.09,15.339,0.051,,,16.206,0.054,14.756,0.01,13.967,0.03,,,12.177,0.02,11.498,0.02,11.323,0.019,3796,37,76,4.904,0.063,0.02,-0.016,0.06,0.05,0.381,0.008,0.064,0.425,0.009,0.082,7.696,2.952,0.462,110.3,3.309,19.11,0.015,0.01,0.003
2109,2109,2109,211983786,08 55 38.578,+19 59 31.81,1,13.95,,,550-046526,08553857+1959318,,STAR,gri,rpm,-21.3,4.5,-42.8,4.2,,,16.316,0.01,14.823,0.03,,,15.644,0.06,14.239,0.047,13.223,0.07,,,11.405,0.023,10.772,0.021,10.556,0.017,3697,44,119,4.932,0.084,0.03,0.095,0.08,0.08,0.344,0.028,0.085,0.37,0.039,0.11,8.889,5.494,1.057,69.5,5.867,16.09,0.01,0.002,0.003
2110,2110,2110,211983788,08 20 01.097,+19 59 31.90,1,13.594,,,550-044927,08200109+1959319,,STAR,gri,rpm,11.1,2.2,-13.5,2.7,,,14.43,0.03,13.654,0.04,,,14.036,0.01,13.502,0.02,13.404,0.01,,,12.418,0.022,12.117,0.024,12.047,0.025,5759,116,92,4.406,0.07,0.154,-0.017,0.15,0.21,1.028,0.237,0.101,1.02,0.073,0.088,0.854,0.336,0.363,574.5,152.1,75.51,0.035,0.013,0.008
2111,2111,2111,211983811,08 43 32.626,+19 59 33.01,1,16.023,,,,08433262+1959330,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,13.775,0.026,13.131,0.031,12.918,0.027,3904,278,231,4.878,0.108,0.09,-0.121,0.2,0.28,0.387,0.092,0.1,0.424,0.111,0.133,6.808,4.543,2.361,237.1,82.01,71.1,0.025,0.01,0.008
2112,2112,2112,211983916,08 40 15.349,+19 59 39.45,1,8.743,,1395-819-1,550-045929,08401535+1959394,,STAR,BV,,-34.5,1.2,-12.9,1.1,,,9.078,0.021,8.749,0.018,,,,,,,,,,,8.188,0.021,8.139,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,
2113,2113,2113,211983935,08 38 13.983,+19 59 40.10,1,12.755,,,550-045834,08381397+1959401,,STAR,gri,rpm,1.8,1.4,-10.1,1.6,,,13.576,0.01,12.88,0.02,,,13.187,0.01,12.694,0.041,12.569,0.01,,,11.65,0.024,11.357,0.03,11.26,0.022,5865,118,118,4.281,0.174,0.319,-0.022,0.12,0.21,1.159,0.701,0.193,1.068,0.147,0.092,0.576,0.496,0.41,477.7,258.8,109.3,0.032,0.01,0.007
2114,2114,2114,211984058,08 38 41.289,+19 59 47.16,1,17.722,,,,08384128+1959471,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.225,0.045,14.607,0.06,14.274,0.064,3734,357,306,4.966,0.126,0.147,-0.136,0.2,0.28,0.298,0.136,0.093,0.32,0.182,0.13,11.08,9.555,5.827,328.9,205.8,126.6,0.029,0.01,0.008
