,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
3310,3310,3310,211598479,08 30 02.061,+14 31 09.39,1,13.086,,,523-048502,08300206+1431094,,STAR,gri,rpm,5,1.5,-0.6,1.9,,,13.812,0.06,13.23,0.04,,,13.462,0.06,13.045,0.04,12.925,0.04,,,12.066,0.021,11.738,0.022,11.672,0.018,5928,139,174,4.12,0.308,0.22,-0.201,0.25,0.25,1.456,0.422,0.48,1.028,0.156,0.112,0.345,0.562,0.194,725.3,197.1,258.5,0.034,0.014,0.009
3311,3311,3311,211598516,08 20 19.939,+14 31 11.29,1,10.474,,807-369-1,523-047941,08201994+1431113,,STAR,gri,rpm,3.9,1.4,-1,1.4,,,10.5,0.044,10.037,0.039,,,10.952,0.9,10.05,0.02,10.269,0.65,,,9.138,0.021,8.977,0.023,8.876,0.016,6801,218,272,3.867,0.252,0.18,0.007,0.12,0.12,2.368,0.806,0.766,1.671,0.186,0.186,0.103,0.156,0.05,352.3,106.8,109.1,0.03,0.007,0.007
3312,3312,3312,211598659,08 15 01.011,+14 31 18.02,1,13.871,,,523-047574,08150101+1431179,,STAR,gri,rpm,-4.5,2.2,-8.9,2.6,,,14.223,0.046,13.521,0.033,,,14.507,0.85,13.429,0.06,13.598,0.5,,,12.372,0.024,12.067,0.026,12.011,0.021,5969,180,217,4.287,0.14,0.308,-0.178,0.2,0.28,1.175,0.51,0.213,1.031,0.108,0.108,0.563,0.393,0.368,675.1,275,146.2,0.033,0.011,0.008
3313,3313,3313,211598666,08 39 42.838,+14 31 18.50,1,13.807,,,523-049040,08394283+1431185,,STAR,gri,rpm,2,1.4,-5.4,1.8,,,14.244,0.06,13.602,0.05,,,13.865,0.09,13.788,0.65,13.244,0.05,,,12.377,0.02,12.058,0.023,12.021,0.021,5942,140,210,4.256,0.17,0.34,-0.178,0.2,0.28,1.212,0.709,0.249,1.043,0.15,0.107,0.505,0.545,0.356,696.7,379.4,165.8,0.034,0.011,0.007
3314,3314,3314,211598671,08 17 08.417,+14 31 18.73,1,11.187,,806-89-1,523-047719,08170841+1431188,,STAR,gri,plx,-15.7,1.7,-48.2,1.7,,,11.576,0.079,10.886,0.065,,,12.062,0.9,10.467,0.03,10.812,0.84,,,9.211,0.021,8.796,0.015,8.641,0.02,5158,124,103,4.596,0.02,0.02,-0.229,0.2,0.28,0.746,0.026,0.025,0.8,0.047,0.047,1.916,0.115,0.148,82.56,2.477,2.477,0.012,0.004,0.003
3315,3315,3315,211598703,08 23 43.140,+14 31 20.34,1,10.559,,807-204-1,523-048161,08234313+1431204,,STAR,gri,plx,26.3,1.7,-48,1.6,,,11.269,0.076,10.713,0.069,,,10.965,0.11,10.499,0.02,10.385,0.05,,,9.636,0.02,9.338,0.027,9.248,0.018,6000,142,118,4.125,0.095,0.095,-0.101,0.2,0.32,1.438,0.172,0.13,1.092,0.107,0.128,0.341,0.119,0.103,232.3,21.24,21.24,0.026,0.008,0.007
3316,3316,3316,211598728,08 20 40.801,+14 31 21.20,1,15.422,,,,08204080+1431212,5112-301-3-0102-0297,EXTENDED,gri,,-3,2,-3,2,,,,,,,17.601,0.019,16.166,0.004,15.495,0.003,15.103,0.003,14.855,0.008,15.073,0.065,14.303,0.079,13.964,0.084,,,,,,,,,,,,,,,,,,,,,,,,
3317,3317,3317,211598790,08 30 31.306,+14 31 23.93,1,13.307,,,523-048543,08303130+1431238,,STAR,gri,rpm,-18.6,1.4,-9.8,1.9,,,14.163,0.07,13.453,0.04,,,13.741,0.07,13.257,0.04,13.121,0.02,,,12.215,0.024,11.899,0.024,11.864,0.021,5865,139,139,4.394,0.078,0.169,-0.205,0.2,0.2,1.02,0.23,0.109,0.974,0.074,0.074,0.872,0.265,0.385,527.3,137.8,71.2,0.034,0.01,0.008
3318,3318,3318,211598816,09 08 27.291,+14 31 24.93,1,10.75,,818-30-1,523-050274,09082728+1431249,,STAR,gri,rpm,2.5,1.1,-7.2,1,,,9.947,0.024,9.682,0.024,,,11.427,0.9,9.805,0.06,10.459,0.9,,,9.301,0.02,9.218,0.026,9.149,0.02,7444,443,369,3.931,0.215,0.215,-0.007,0.12,0.12,2.213,0.913,0.554,1.783,0.29,0.207,0.132,0.191,0.078,381.5,164.9,98.68,0.031,0.011,0.008
3319,3319,3319,211598840,08 33 00.525,+14 31 26.14,1,15.721,,,,08330052+1431261,5137-301-4-0101-0112,EXTENDED,gri,,-3,3,2,3,,,,,,,18.551,0.036,16.676,0.004,15.757,0.003,15.312,0.003,14.998,0.007,14.923,0.066,14.271,0.072,13.823,0.067,,,,,,,,,,,,,,,,,,,,,,,,
3320,3320,3320,211598876,09 02 34.807,+14 31 27.84,1,16.078,,,,09023480+1431278,5182-301-2-0141-0221,EXTENDED,gri,,2,3,6,2,,,,,,,18.669,0.029,16.89,0.004,16.095,0.004,15.73,0.003,15.426,0.006,14.911,0.05,14.509,0.07,14.151,0.063,,,,,,,,,,,,,,,,,,,,,,,,
3321,3321,3321,211598885,08 14 58.373,+14 31 28.61,1,17.133,,,,08145837+1431286,5071-301-1-0059-0167,STAR,gri,,3,2,-1,2,,,,,,,18.47,0.015,17.3,0.005,17.077,0.005,16.994,0.006,16.973,0.011,15.874,0.085,15.821,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,
3322,3322,3322,211598911,08 36 45.699,+14 31 29.75,1,13.964,,,523-048856,08364570+1431298,,STAR,gri,rpm,-8.8,2.3,-8,2.6,,,14.428,0.06,13.84,0.06,,,14.033,0.07,13.941,0.64,13.388,0.06,,,12.482,0.021,12.147,0.023,12.091,0.021,5801,206,172,4.397,0.096,0.336,-0.138,0.16,0.32,1.011,0.473,0.108,0.991,0.079,0.095,0.879,0.363,0.601,600.8,285.8,98.77,0.032,0.011,0.008
3323,3323,3323,211598968,08 37 32.247,+14 31 32.03,1,14.379,,,523-048898,08373226+1431318,5137-301-3-0108-0150,STAR,gri,rpm,-78,3.6,67.3,3.6,,,17.143,0.09,15.392,0.052,,,16.326,0.056,15.042,0.055,13.544,0.066,,,11.499,0.021,10.909,0.022,10.644,0.018,3589,85,85,5.005,0.036,0.036,0.016,0.1,0.14,0.27,0.038,0.029,0.273,0.055,0.041,13.72,2.4,2.772,58.92,21.3,9.957,0.008,0.004,0.002
3324,3324,3324,211599001,08 20 39.664,+14 31 33.66,1,16.871,,,,08203966+1431336,5112-301-3-0102-0293,EXTENDED,gri,,-5,3,7,3,,,,,,,19.656,0.055,17.891,0.007,16.941,0.005,16.434,0.005,16.028,0.011,15.473,0.072,14.587,0.075,14.367,0.095,,,,,,,,,,,,,,,,,,,,,,,,
3325,3325,3325,211599104,09 07 34.553,+14 31 38.72,1,14.024,,,523-050249,09073454+1431387,,STAR,gri,rpm,-10.7,2.2,2.7,2.6,,,13.89,0.08,13.367,0.02,,,14.462,0.9,13.192,0.01,13.836,0.9,,,12.254,0.021,11.947,0.026,11.907,0.025,5978,140,176,4.299,0.13,0.312,-0.155,0.2,0.28,1.191,0.571,0.212,1.037,0.107,0.107,0.569,0.461,0.377,647.2,278,152.2,0.033,0.01,0.008
3326,3326,3326,211599139,08 15 40.617,+14 31 40.66,1,13.655,,,523-047621,08154061+1431406,,STAR,gri,rpm,2.1,1.7,-0.8,2.1,,,13.399,0.042,13.043,0.032,,,13.884,0.9,13.112,0.05,13.557,0.61,,,12.569,0.026,12.399,0.033,12.392,0.028,6503,201,201,4.15,0.11,0.154,-0.107,0.15,0.18,1.552,0.363,0.249,1.308,0.125,0.151,0.333,0.177,0.149,1019,273.4,183.1,0.033,0.01,0.006
3327,3327,3327,211599283,08 59 54.237,+14 31 47.90,1,11.728,,,523-049940,08595423+1431480,,STAR,gri,lam,25.8,1.3,-8.1,0.6,,,12.431,0.07,11.859,0.04,,,12.089,0.06,11.703,0.04,11.574,0.03,,,10.717,0.021,10.455,0.022,10.392,0.017,5949,141,141,4.306,0.125,0.175,-0.086,0.15,0.12,1.171,0.311,0.181,1.058,0.086,0.072,0.587,0.312,0.264,309.2,74.36,50.83,0.029,0.008,0.008
3328,3328,3328,211599462,09 07 48.238,+14 31 55.48,1,16.934,,,,09074823+1431554,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,15.477,0.08,15.004,0.096,14.465,0.09,3629,413,258,5.008,0.105,0.147,-0.092,0.18,0.27,0.261,0.142,0.079,0.263,0.183,0.102,13.05,10.7,7.407,323,244.6,121.1,0.028,0.01,0.008
3329,3329,3329,211599533,09 07 47.360,+14 31 58.38,1,11.652,,818-83-1,523-050254,09074734+1431582,,STAR,gri,plx,12.6,1.6,-27.5,1.6,,,12.144,0.173,11.286,0.097,,,12.307,0.9,10.788,0.02,11.371,0.9,,,9.574,0.019,9.146,0.028,9.081,0.018,5163,158,158,2.444,0.484,0.055,-0.826,0.35,0.25,9.326,0.876,4.077,0.913,0.19,0.027,0.001,0.005,1.91E-04,1127,1142,1142,0.033,0.011,0.008
3330,3330,3330,211599541,09 03 23.520,+14 31 58.63,1,12.864,,,523-050081,09032352+1431585,,STAR,gri,lam,-6.1,1.8,5.8,2.2,,,13.241,0.08,12.887,0.02,,,12.982,0.08,12.825,0.02,12.84,0.03,,,12.091,0.022,11.947,0.028,11.907,0.021,7106,114,199,4.177,0.065,0.117,-0.157,0.08,0.06,1.591,0.29,0.139,1.427,0.112,0.07,0.343,0.084,0.122,938.6,173.8,100.5,0.037,0.014,0.012
3331,3331,3331,211599622,09 05 00.082,+14 32 03.03,1,13.183,,,523-050142,09050008+1432030,,STAR,gri,lam,-6.5,1.9,-14.2,2.3,,,13.431,0.13,12.636,0.01,,,13.625,0.9,12.503,0.27,12.994,0.9,,,11.077,0.021,10.638,0.028,10.572,0.023,4902,89,119,2.248,0.084,0.14,-1.101,0.15,0.18,11.369,2.337,0.875,0.882,0.018,0.018,5.65E-04,1.80E-04,2.24E-04,2800,344.5,258.1,0.033,0.011,0.007
3332,3332,3332,211599658,08 25 57.606,+14 32 05.14,1,12.022,,,523-048275,08255757+1432051,,STAR,gri,rpm,164,8,5,8,,,14.317,0.07,12.858,0.06,,,13.605,0.07,12.233,0.05,11.343,0.08,,,9.639,0.02,8.994,0.024,8.759,0.018,3752,74,59,4.915,0.077,0.035,0.054,0.08,0.12,0.357,0.043,0.062,0.388,0.055,0.077,8.201,3.49,1.442,32.33,4.449,5.339,0.004,0.002,0.001
3333,3333,3333,211599659,08 38 20.985,+14 32 05.23,1,11.587,,809-350-1,523-048939,08382097+1432053,,STAR,gri,rpm,43.1,2.9,-168,2.9,,,12.443,0.246,12.067,0.238,,,12.402,0.09,11.944,0.65,11.238,0.06,,,10.027,0.022,9.491,0.022,9.387,0.018,4787,141,141,4.639,0.07,0.035,-0.228,0.2,0.44,0.668,0.059,0.105,0.723,0.062,0.113,2.378,0.867,0.377,97.88,11.34,18.03,0.014,0.005,0.005
3334,3334,3334,211599691,08 26 43.711,+14 32 07.29,1,13.006,,,523-048320,08264370+1432073,,STAR,gri,rpm,18.7,2.3,-35,2.9,,,13.847,0.06,13.24,0.09,,,13.447,0.05,13.021,0.06,12.817,0.03,,,11.905,0.02,11.549,0.028,11.492,0.021,5768,138,138,4.461,0.06,0.396,-0.528,0.36,0.3,0.895,0.574,0.1,0.859,0.081,0.081,1.172,0.352,0.883,389.5,274.7,60.41,0.028,0.01,0.008
3335,3335,3335,211599802,08 23 40.835,+14 32 12.70,1,13.901,,,523-048157,08234082+1432131,5080-301-3-0082-0016,STAR,gri,col,,,,,,,16.437,0.079,14.85,0.043,,,15.603,0.046,14.236,0.03,13.172,0.05,,,11.306,0.021,10.725,0.027,10.476,0.02,3618,107,129,5.01,0.035,0.056,-0.004,0.12,0.12,0.262,0.054,0.029,0.269,0.074,0.041,13.86,2.997,3.727,49.92,11.78,9.531,0.007,0.004,0.002
3336,3336,3336,211599839,08 37 14.467,+14 32 14.81,1,12.96,,,523-048878,08371446+1432148,,STAR,gri,rpm,-9.2,1.3,-1.7,0.7,,,13.078,0.07,12.621,0.06,,,12.744,0.07,13.032,0.88,12.306,0.08,,,11.498,0.021,11.234,0.019,11.181,0.019,6137,148,148,4.061,0.272,0.17,-0.141,0.16,0.28,1.49,0.592,0.362,1.134,0.204,0.128,0.259,0.404,0.131,601.7,195.2,172.2,0.032,0.011,0.007
3337,3337,3337,211599874,08 38 54.782,+14 32 16.79,1,17.048,,,,08385478+1432167,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.008,0.037,14.467,0.047,14.213,0.059,3657,415,259,4.993,0.1,0.14,-0.109,0.2,0.28,0.281,0.149,0.084,0.295,0.184,0.115,11.95,9.549,6.045,272.7,203.8,101.4,0.028,0.01,0.008
3338,3338,3338,211599977,08 20 18.216,+14 32 21.13,1,18.396,,,,08201821+1432211,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.502,0.07,14.734,0.089,14.318,0.083,3886,361,361,4.894,0.162,0.135,-0.157,0.2,0.28,0.362,0.136,0.131,0.411,0.162,0.194,7.757,9.058,3.686,508.9,279.3,233.1,0.032,0.011,0.008
3339,3339,3339,211600051,08 17 37.222,+14 32 25.06,1,13.264,,,523-047745,08173722+1432250,,STAR,gri,rpm,-12.3,2.1,-0.7,2.6,,,13.54,0.02,12.917,0.04,,,13.732,0.89,12.78,0.06,13.064,0.68,,,11.861,0.021,11.579,0.019,11.532,0.019,6058,145,182,4.178,0.2,0.2,-0.171,0.2,0.24,1.346,0.409,0.314,1.074,0.135,0.113,0.405,0.384,0.223,629,173.1,155.4,0.033,0.011,0.007
3340,3340,3340,211600082,09 01 20.809,+14 32 26.62,1,13.045,,,523-050008,09012079+1432266,,STAR,gri,rpm,0.1,2.5,-6.6,1.9,,,13.648,0.07,13.152,0.02,,,13.318,0.07,13.015,0.01,12.928,0.02,,,12.071,0.022,11.84,0.022,11.791,0.02,6283,152,126,4.164,0.145,0.174,-0.151,0.15,0.27,1.416,0.393,0.227,1.167,0.13,0.156,0.338,0.223,0.154,735.8,171.9,118.1,0.033,0.011,0.007
3341,3341,3341,211600105,08 31 50.216,+14 32 27.48,1,11.488,,808-59-1,523-048600,08315022+1432275,,STAR,gri,plx,-12.5,1.7,-1.2,1.6,,,11.384,0.088,11.032,0.099,,,11.349,0.06,11.535,0.73,10.997,0.04,,,10.236,0.022,10.03,0.022,9.988,0.022,6416,196,196,4.228,0.085,0.136,-0.073,0.15,0.21,1.367,0.255,0.157,1.239,0.111,0.133,0.447,0.163,0.175,278.4,63.87,63.87,0.028,0.008,0.006
3342,3342,3342,211600257,08 21 12.802,+14 32 34.85,1,13.482,,,523-047998,08211280+1432349,,STAR,gri,rpm,6.4,2.7,-15.9,3,,,14.417,0.01,13.678,0.03,,,13.972,0.01,13.429,0.02,13.273,0.05,,,12.408,0.024,12.068,0.027,11.967,0.023,5672,90,113,4.463,0.05,0.17,-0.098,0.2,0.24,0.943,0.233,0.083,0.975,0.072,0.087,1.098,0.253,0.509,517.5,151.9,57.98,0.033,0.013,0.007
3343,3343,3343,211600275,08 23 39.608,+14 32 35.49,1,16.188,,,,08233960+1432354,5080-301-3-0082-0345,STAR,gri,rpm,35,3,-141,3,,,,,,,20.858,0.064,18.254,0.007,16.748,0.004,15.302,0.004,14.459,0.004,13.055,0.02,12.495,0.028,12.224,0.021,3133,37,37,5.158,0.02,0.02,0.159,0.16,0.24,0.16,0.005,0.004,0.138,0.003,0.004,32.85,1.971,2.051,64.85,25.5,9.297,0.01,0.005,0.002
3344,3344,3344,211600345,08 35 51.384,+14 32 38.84,1,13.01,,,523-048809,08355138+1432388,,STAR,gri,rpm,-20,2,-16.5,2.4,,,14.254,0.06,13.309,0.02,,,13.763,0.08,13.454,0.78,12.687,0.05,,,11.521,0.022,11.031,0.018,10.919,0.017,5024,80,140,4.581,0.035,1.274,-0.16,0.2,0.52,0.77,2.795,0.055,0.838,0.08,0.068,1.792,0.323,1.771,240.2,847.6,25.72,0.027,0.014,0.008
3345,3345,3345,211600401,08 20 01.685,+14 32 41.63,1,13.598,,,523-047925,08200168+1432415,,STAR,gri,rpm,-10.3,2.2,-0.5,2.7,,,14.149,0.02,13.49,0.06,,,14.097,0.7,13.362,0.1,13.384,0.44,,,12.328,0.022,12.048,0.024,11.987,0.025,6063,181,181,4.23,0.14,0.196,-0.172,0.2,0.28,1.254,0.395,0.223,1.061,0.118,0.142,0.5,0.33,0.278,714.4,217,141.7,0.034,0.011,0.008
3346,3346,3346,211600442,08 42 12.611,+14 32 43.01,1,13.501,,,523-049163,08421260+1432430,,STAR,gri,rpm,-3.2,1.8,2.9,2,,,14.524,0.05,13.709,0.02,,,14.061,0.07,13.738,0.56,13.261,0.08,,,12.215,0.022,11.85,0.032,11.767,0.023,5631,264,220,4.192,0.285,0.513,-0.165,0.2,0.36,1.25,1.187,0.449,0.975,0.173,0.108,0.463,0.842,0.405,684,488.4,284.9,0.033,0.011,0.007
3347,3347,3347,211600456,09 04 45.710,+14 32 43.89,1,13.185,,,523-050136,09044571+1432439,,STAR,gri,rpm,-1,1.8,-6.6,2.2,,,13.385,0.16,12.588,0.01,,,13.537,0.9,12.509,0.3,13.034,0.9,,,11.299,0.022,11.029,0.03,10.938,0.023,6072,256,183,4.133,0.21,0.252,-0.056,0.15,0.18,1.444,0.698,0.37,1.151,0.233,0.117,0.333,0.451,0.21,526.5,221.3,155.8,0.034,0.011,0.01
3348,3348,3348,211600470,08 32 31.503,+14 32 44.47,1,11.538,,808-32-1,523-048639,08323149+1432443,,STAR,gri,rpm,23.7,1.9,-16.6,1.9,,,11.712,0.112,11.107,0.104,,,11.674,0.07,11.493,0.74,10.832,0.03,,,9.783,0.021,9.364,0.022,9.282,0.02,5256,126,126,3.498,0.94,1.128,-0.523,0.45,0.54,3.025,4.888,2.116,0.91,0.254,0.044,0.029,0.795,0.028,392.4,570,264.6,0.028,0.01,0.01
3349,3349,3349,211600510,09 08 25.583,+14 32 46.12,1,14.261,,,523-050272,09082558+1432461,,STAR,gri,rpm,-2.2,2.8,-38.2,3.1,,,14.623,0.04,13.791,0.03,,,14.96,0.9,13.489,0.01,13.962,0.9,,,12.287,0.023,11.873,0.028,11.793,0.024,5366,131,196,4.54,0.048,0.04,-0.223,0.15,0.15,0.801,0.059,0.066,0.824,0.053,0.053,1.573,0.362,0.249,384,40.94,43.96,0.029,0.011,0.006
3350,3350,3350,211600529,08 13 59.570,+14 32 46.76,1,11.418,,806-758-1,523-047491,08135956+1432466,,STAR,gri,rpm,-24.5,2.1,-2.1,2,,,12.024,0.178,11.631,0.182,,,11.989,0.71,11.109,0.02,11.174,0.38,,,10.124,0.021,9.849,0.029,9.762,0.021,6068,179,179,4.152,0.215,0.215,-0.058,0.15,0.24,1.365,0.521,0.322,1.127,0.175,0.125,0.379,0.441,0.229,279.9,93.35,70,0.027,0.01,0.007
3351,3351,3351,211600532,09 01 06.252,+14 32 46.77,1,12.475,,,523-049993,09010624+1432467,,STAR,gri,rpm,7.7,3.8,-21.2,3.1,,,13.683,0.08,12.747,0.03,,,13.164,0.08,12.438,0.02,12.179,0.04,,,11.002,0.02,10.549,0.023,10.446,0.017,5065,121,81,3.629,0.891,0.405,-0.332,0.3,0.42,2.546,1.211,1.813,0.92,0.233,0.09,0.052,1.54,0.038,620.9,313.7,438.9,0.03,0.008,0.008
3352,3352,3352,211600538,08 28 05.788,+14 32 46.99,1,11.125,,808-297-1,523-048400,08280577+1432468,,STAR,gri,rpm,1,1.7,-12.4,1.6,,,11.433,0.084,10.96,0.083,,,11.279,0.06,11.074,0.04,11.006,0.02,,,10.286,0.022,10.02,0.027,10.024,0.024,6381,151,151,4.095,0.18,0.216,-0.095,0.12,0.27,1.581,0.696,0.322,1.249,0.198,0.165,0.277,0.257,0.166,356.9,137.3,74.06,0.029,0.008,0.007
3353,3353,3353,211600554,08 19 57.792,+14 32 47.84,1,14.013,,,523-047919,08195778+1432478,,STAR,gri,rpm,2.4,2.8,-16.7,3.3,,,14.693,0.04,13.897,0.06,,,14.603,0.71,13.73,0.08,13.76,0.47,,,12.685,0.023,12.347,0.022,12.296,0.025,5743,228,182,4.439,0.07,0.196,-0.214,0.25,0.35,0.956,0.245,0.114,0.95,0.077,0.093,1.034,0.329,0.53,608.9,201.6,89.44,0.034,0.01,0.008
3354,3354,3354,211600567,08 14 32.374,+14 32 48.68,1,13.386,,,523-047532,08143237+1432486,,STAR,gri,rpm,-1.3,1.8,-2.3,2.1,,,13.923,0.07,13.246,0.04,,,13.966,0.71,13.09,0.04,13.137,0.4,,,12.064,0.021,11.765,0.023,11.699,0.02,5999,141,141,4.089,0.296,0.185,-0.106,0.2,0.24,1.541,0.371,0.503,1.126,0.125,0.15,0.306,0.491,0.157,769.1,162,264,0.034,0.016,0.009
3355,3355,3355,211600579,08 32 29.910,+14 32 49.19,1,13.279,,,523-048636,08322991+1432492,,STAR,gri,rpm,0.7,2,-1.4,2.7,,,13.877,0.13,13.358,0.04,,,13.582,0.17,13.204,0.02,13.149,0.02,,,12.232,0.02,12.014,0.024,11.958,0.02,6369,153,153,4.153,0.14,0.224,-0.091,0.12,0.18,1.508,0.555,0.268,1.247,0.177,0.111,0.319,0.259,0.175,870.4,293,162.9,0.033,0.011,0.007
3356,3356,3356,211600639,08 29 43.062,+14 32 51.71,1,11.172,,808-282-1,523-048485,08294306+1432516,,STAR,gri,plx,-27.3,1.6,2.6,1.6,,,11.726,0.135,10.972,0.1,,,11.548,0.08,11.133,0.03,11.01,0.03,,,10.169,0.022,9.92,0.024,9.837,0.018,6125,148,148,4.071,0.175,0.175,-0.04,0.16,0.24,1.644,0.464,0.362,1.193,0.181,0.151,0.229,0.274,0.11,385.4,136.7,136.7,0.031,0.011,0.008
3357,3357,3357,211600679,09 07 20.665,+14 32 52.85,1,17.28,,,,09072066+1432528,5815-301-1-0095-0265,EXTENDED,gri,,-4,3,-10,3,,,,,,,20.014,0.056,18.203,0.008,17.253,0.005,16.885,0.005,16.515,0.01,15.466,0.081,14.834,0.105,14.492,0.086,,,,,,,,,,,,,,,,,,,,,,,,
3358,3358,3358,211600681,08 23 53.600,+14 32 52.91,1,12.103,,,523-048168,08235359+1432529,,STAR,gri,rpm,21,1.7,-21.9,2.3,,,12.8,0.07,12.235,0.04,,,12.454,0.02,12.065,0.03,11.952,0.04,,,11.175,0.021,10.891,0.025,10.863,0.017,6106,98,122,4.23,0.135,0.162,-0.308,0.2,0.24,1.234,0.317,0.22,1.022,0.102,0.123,0.474,0.312,0.216,411.6,93.62,76.27,0.032,0.007,0.007
3359,3359,3359,211600695,08 40 54.018,+14 32 53.73,1,14.063,,,523-049096,08405401+1432536,,STAR,gri,rpm,4,2,-0.9,2.2,,,14.625,0.07,13.884,0.05,,,14.184,0.07,14.023,0.63,13.485,0.06,,,12.518,0.027,12.167,0.034,12.12,0.02,5819,230,322,4.291,0.175,0.455,-0.178,0.2,0.28,1.169,0.831,0.253,1.011,0.153,0.096,0.595,0.565,0.475,711.9,413.3,198.5,0.033,0.01,0.008
3360,3360,3360,211600735,08 35 46.350,+14 32 55.45,1,12.851,,,523-048803,08354635+1432554,,STAR,gri,rpm,-7.6,1.2,21.4,1.4,,,13.115,0.05,12.541,0.031,,,12.775,0.07,12.876,0.77,12.259,0.05,,,11.446,0.022,11.148,0.016,11.081,0.017,5952,179,179,4.301,0.115,0.184,-0.2,0.2,0.24,1.154,0.332,0.179,1.013,0.107,0.089,0.609,0.351,0.301,419.7,123.5,70.61,0.032,0.011,0.008
3361,3361,3361,211600746,09 01 50.155,+14 32 55.81,1,13.825,,,523-050031,09015014+1432557,,STAR,gri,lam,2.1,6.7,-5.6,2.2,,,14.647,0.08,13.986,0.02,,,14.24,0.08,13.791,0.02,13.647,0.02,,,12.734,0.022,12.407,0.024,12.335,0.021,5905,117,117,4.275,0.105,0.126,0.078,0.1,0.1,1.247,0.229,0.193,1.097,0.081,0.067,0.536,0.248,0.196,829.4,158.6,133.1,0.034,0.011,0.007
3362,3362,3362,211600758,09 06 03.903,+14 32 56.22,1,13.068,,,523-050183,09060391+1432561,,STAR,gri,rpm,-10.3,4.1,-6.2,1.7,,,13.051,0.1,12.333,0.02,,,13.47,0.9,12.159,0.15,12.896,0.9,,,10.993,0.023,10.673,0.031,10.613,0.023,5933,169,305,4.184,0.225,0.36,-0.047,0.15,0.27,1.343,0.793,0.395,1.104,0.195,0.146,0.364,0.568,0.26,417.8,211.4,123.7,0.032,0.013,0.009
3363,3363,3363,211600794,08 14 15.928,+14 32 57.57,1,13.173,,,523-047510,08141592+1432575,,STAR,gri,rpm,0.1,1.6,0.4,2,,,13.619,0.05,13.003,0.03,,,13.687,0.7,12.871,0.03,12.953,0.4,,,11.862,0.021,11.583,0.022,11.53,0.018,6091,216,144,4.183,0.17,0.204,-0.081,0.2,0.32,1.37,0.419,0.321,1.134,0.133,0.16,0.415,0.385,0.226,598.6,185.1,116.1,0.033,0.017,0.006
3364,3364,3364,211600798,08 44 57.365,+14 32 57.85,1,13.598,,,523-049289,08445736+1432578,,STAR,gri,rpm,-7,1.7,-3.4,1.2,,,14.251,0.05,13.681,0.02,,,13.891,0.04,13.556,0.02,13.473,0.03,,,12.716,0.023,12.507,0.023,12.473,0.022,6335,128,128,4.209,0.09,0.144,-0.156,0.18,0.21,1.387,0.356,0.185,1.167,0.144,0.12,0.413,0.171,0.175,955.7,219,131,0.034,0.008,0.007
3365,3365,3365,211600828,08 31 46.388,+14 32 59.63,1,16.529,,,,08314638+1432596,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,14.265,0.028,13.573,0.032,13.403,0.041,4159,200,200,4.781,0.065,0.065,-0.086,0.15,0.24,0.494,0.072,0.074,0.553,0.077,0.077,4.379,1.722,1.057,410.7,92.24,75.32,0.031,0.01,0.007
3366,3366,3366,211600847,09 03 10.428,+14 33 00.74,1,12.055,,,523-050070,09031042+1433007,,STAR,gri,lam,-10,4,-7.5,3,,,12.695,0.08,12.145,0.01,,,12.357,0.08,12.012,0.01,11.925,0.03,,,11.053,0.02,10.798,0.02,10.731,0.018,6226,149,149,4.097,0.145,0.145,-0.028,0.1,0.1,1.641,0.364,0.298,1.255,0.134,0.096,0.257,0.229,0.106,509.9,127.9,86.75,0.032,0.011,0.007
3367,3367,3367,211600949,09 02 16.286,+14 33 05.85,1,12.088,,818-604-1,523-050045,09021629+1433057,,STAR,gri,rpm,-8.9,2.8,-10.6,2.7,,,12.087,0.145,11.708,0.16,,,12.304,0.07,12.016,0.01,11.942,0.03,,,11.134,0.021,10.908,0.02,10.841,0.018,6331,128,128,4.138,0.16,0.16,-0.112,0.16,0.2,1.508,0.447,0.293,1.225,0.103,0.124,0.32,0.263,0.144,506.8,125.4,100.5,0.033,0.008,0.008
