,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
701,701,701,251578392,13 31 17.332,-01 47 31.84,1,17.98,,,,13311733-0147318,2333-301-5-0040-0168,EXTENDED,gri,,-3,3,-4,3,,,,,,,20.703,0.101,18.895,0.012,17.976,0.008,17.588,0.009,17.263,0.02,16.649,0.134,15.807,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,BBD-222-111-000-0-0,36.7,
702,702,702,251578400,13 44 25.362,-01 47 31.08,1,18.712,,,,13442536-0147310,,STAR,JHK,rpm,8,5,6,1,,,,,,,,,,,,,,,,,15.858,0.12,15.045,0.109,14.686,0.12,4052,395,329,4.822,0.15,0.125,-0.152,0.2,0.32,0.43,0.126,0.13,0.492,0.133,0.186,5.573,5.244,2.366,745.3,347,274.2,0.043,0.023,0.013,BAB-222-111-000-0-0,33,0882-0271741
703,703,703,251578402,13 23 07.825,-01 47 30.95,1,17.652,,,,13230782-0147309,2333-301-5-0026-0177,STAR,gri,rpm,-14,3,-13,3,,,,,,,20.828,0.072,18.605,0.008,17.605,0.006,17.243,0.006,16.984,0.012,15.969,0.079,15.238,0.075,15.114,0.162,4480,71,53,4.767,0.065,0.065,-0.663,0.3,0.3,0.503,0.067,0.059,0.547,0.066,0.055,4.06,1.596,0.98,1035,153.3,158.1,0.043,0.021,0.013,AAC-222-111-000-0-0,44.7,
704,704,704,251578431,13 34 51.875,-01 47 28.51,1,17.775,,,,13345187-0147285,2333-301-5-0046-0111,STAR,gri,,2,3,-13,3,,,,,,,20.359,0.053,18.476,0.007,17.747,0.006,17.474,0.007,17.302,0.014,16.253,0.085,15.945,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,ACD-222-111-000-0-0,13.6,
705,705,705,251578439,13 31 04.838,-01 47 27.69,1,13.409,,,442-056464,13310483-0147277,,STAR,gri,rpm,6.9,1.6,-8.7,1.9,,,14.224,0.02,13.541,0.11,,,13.838,0.04,13.356,0.05,13.226,0.06,,,12.296,0.024,11.958,0.025,11.944,0.023,5850,138,173,4.324,0.13,0.338,-0.17,0.2,0.24,1.133,0.59,0.214,0.992,0.102,0.085,0.66,0.423,0.459,592.3,296.8,119.7,0.041,0.017,0.012,AAA-222-111-000-0-0,30.9,
706,706,706,251578444,13 33 19.860,-01 47 27.48,1,17.719,,,,13331986-0147274,2333-301-5-0043-0198,STAR,gri,,0,3,2,3,,,,,,,19.91,0.039,18.352,0.007,17.709,0.006,17.448,0.006,17.256,0.014,16.32,0.098,15.89,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD-222-111-000-0-0,67.8,
707,707,707,251578445,13 45 44.668,-01 47 27.39,1,12.988,,,442-056843,13454466-0147273,,STAR,gri,lam,-15.7,1.3,-2,2.7,,,13.772,0.07,13.102,0.02,,,13.381,0.03,12.957,0.05,12.82,0.15,,,11.84,0.022,11.531,0.021,11.504,0.021,5856,138,115,4.384,0.08,0.192,-0.2,0.12,0.15,1.018,0.291,0.094,0.962,0.072,0.072,0.849,0.27,0.412,441.4,124.4,55.89,0.042,0.02,0.014,AAA-222-111-000-0-0,49.7,
708,708,708,251578458,13 49 23.382,-01 47 26.30,1,17.765,,,,13492338-0147262,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,16.25,0.117,15.487,0.167,14.843,0.127,3743,483,362,4.979,0.125,0.175,-0.193,0.24,0.36,0.287,0.155,0.101,0.309,0.225,0.14,11.28,11.75,6.491,531.7,405.1,229.9,0.04,0.023,0.013,BCB-222-111-000-0-0,35.2,0882-0272483
709,709,709,251578493,13 33 11.157,-01 47 23.09,1,14.203,,,442-056519,13331115-0147229,,STAR,gri,rpm,0.4,1.9,11.5,2.2,,,15.099,0.02,14.406,0.11,,,14.697,0.05,14.165,0.01,13.991,0.07,,,13.096,0.024,12.785,0.026,12.706,0.029,5806,141,141,4.379,0.095,0.209,-0.086,0.2,0.28,1.061,0.351,0.156,0.987,0.089,0.089,0.803,0.371,0.428,798.9,273.8,134.4,0.046,0.026,0.019,AAA-222-111-000-0-0,61.1,
710,710,710,251578506,13 37 49.218,-01 47 22.07,1,17.817,,,442-056654,13374923-0147221,2333-301-5-0051-0122,STAR,JHK,rpm,-7,7.4,5.6,7,,,,,,,,,,,,,,,,,15.374,0.061,14.578,0.058,14.339,0.097,4146,206,206,4.777,0.09,0.075,-0.132,0.2,0.24,0.496,0.08,0.094,0.557,0.079,0.095,4.271,2.329,1.141,686,165.8,156.9,0.045,0.025,0.017,AAA-222-111-0c0-0-0,73.3,
