EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
210695648,04 24 46.951,+18 18 00.87,0,17.295,,,,04244695+1818008,6485-301-4-0166-0364,STAR,gri,,-7,3,-59,3,,,,,,,21.79,0.156,19.348,0.011,17.692,0.006,16.415,0.005,15.694,0.006,14.214,0.024,13.554,0.036,13.354,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,
210695688,04 25 17.604,+18 18 02.80,1,15.88,,,,04251760+1818028,6003-301-4-0156-0030,STAR,gri,rpm,154,3,-22,3,,,,,,,20.559,0.06,17.881,0.006,16.406,0.005,15.022,0.004,14.308,0.004,12.863,0.021,12.294,0.024,12.045,0.023,3226,76,76,5.138,0.048,0.02,0.014,0.15,0.21,0.169,0.009,0.016,0.146,0.01,0.013,29.55,6.804,2.909,64.04,11.13,22.27,0.082,0.076,0.054,,,
210695890,04 28 59.670,+18 18 13.03,0,13.311,,,542-009315,04285967+1818129,6003-301-3-0160-0303,STAR,J,,-11.6,7,4.3,7.3,,,,,,,,,,,,,,,,,11.842,0.021,10.759,0.02,10.446,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,
210695994,04 23 07.367,+18 18 17.83,1,12.414,,,542-009008,04230736+1818178,,STAR,gri,lam,0.9,1.4,10.5,2.8,,,13.383,0.02,12.677,0.02,,,12.991,0.01,12.428,0.02,12.166,0.02,,,11.074,0.022,10.758,0.023,10.65,0.018,6416,154,193,4.012,0.156,0.13,-0.088,0.1,0.16,1.846,0.404,0.39,1.348,0.132,0.159,0.197,0.155,0.076,564.9,125.3,102.6,0.302,0.195,0.122,,,
210696288,04 27 17.058,+18 18 33.37,1,12.267,,,542-009230,04271705+1818334,,STAR,gri,rpm,-18,1.4,-28.2,2,,,13.56,0.03,12.653,0.02,,,13.076,0.04,12.316,0.01,11.92,0.01,,,10.607,0.022,10.171,0.023,10.051,0.018,5323,680,53,3.162,0.966,0.02,-1.28,0.94,0.05,4.032,0.081,2.489,0.865,0.076,0.017,0.013,0.304,7.87E-04,779.7,23.39,458,0.442,0.247,0.001,,,
210696296,04 25 43.184,+18 18 33.68,1,15.505,,,542-009170,04254315+1818341,6003-301-4-0156-0354,STAR,JHK,rpm,54.6,8.7,-35,8.5,,,,,,,,,,,,,,,,,13.247,0.023,12.617,0.023,12.387,0.024,3700,154,110,4.968,0.05,0.06,-0.043,0.12,0.24,0.302,0.05,0.05,0.323,0.074,0.074,11.37,3.618,3.208,129.6,29.69,21,0.204,0.142,0.071,,,
210696429,04 31 58.612,+18 18 40.79,1,12.757,,,542-009396,04315860+1818408,,STAR,gri,rpm,-8.2,3.7,-22,3,,,14.842,0.02,13.436,0.01,,,14.228,0.03,12.794,0.02,12.126,0.02,,,10.265,0.02,9.485,0.024,9.224,0.02,5222,52,462,2.935,0.02,0.788,-1.29,0.68,0.05,5.241,8.01,0.105,0.871,0.076,0.017,0.006,3.60E-04,0.006,685.3,767.7,20.56,1.337,0.001,0.247,,,
210696693,04 28 51.026,+18 18 54.65,1,11.092,,1269-59-1,542-009309,04285102+1818548,,STAR,gri,rpm,-11.7,1.9,-85.7,2.1,,,12.085,0.171,11.831,0.212,,,11.671,0.03,11.061,0.01,10.844,0.02,,,9.779,0.021,9.4,0.02,9.334,0.017,5789,288,288,4.385,0.13,0.364,-0.375,0.3,0.48,0.977,0.495,0.148,0.903,0.056,0.09,0.818,0.663,0.568,184.6,101.8,65.64,0.23,0.142,0.095,,,
210696737,04 22 44.864,+18 18 56.98,0,16.434,,,,04224486+1818569,6003-301-5-0153-0033,STAR,gri,,12,3,-42,3,,,,,,,18.902,0.02,17.379,0.005,16.497,0.005,16.029,0.005,15.748,0.006,14.723,0.038,14.156,0.038,13.948,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,
210697304,04 23 37.384,+18 19 25.29,1,12.955,,,542-009041,04233738+1819252,,STAR,gri,rpm,-9.7,2.2,-10.3,3.1,,,14.197,0.02,13.265,0.02,,,13.713,0.03,12.954,0.01,12.63,0.03,,,11.452,0.021,11.036,0.028,10.885,0.021,5842,213,355,4.022,0.396,0.22,-0.229,0.15,0.18,1.544,0.602,0.632,0.982,0.184,0.077,0.225,0.781,0.119,479.6,193.2,181,0.542,0.051,0.204,,,
210697651,04 29 39.692,+18 19 42.21,0,15.965,,,542-009348,04293969+1819424,6485-301-2-0172-0142,STAR,gri,,-15.5,7.9,-17.6,8.1,,,18.082,0.25,16.822,0.092,,,17.456,0.01,16.166,0.01,15.326,0.04,,,13.272,0.022,12.486,0.018,12.307,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,
210698143,04 31 15.790,+18 20 07.09,1,14.677,,,542-009376,04311578+1820072,,STAR,gri,rpm,17.6,3.3,-13.8,3.6,,,17.569,0.12,16.031,0.066,,,16.833,0.11,15.418,0.03,13.753,0.04,,,11.21,0.024,10.553,0.03,10.304,0.018,4961,205,328,2.562,1.189,0.174,-0.63,0.56,0.16,7.936,1.747,5.609,0.896,0.118,0.294,0.002,0.086,7.36E-04,1699,78.43,1163,0.94,0.304,0.304,,,
210698153,04 29 30.447,+18 20 07.69,0,15.243,,,542-009345,04293045+1820078,6003-301-3-0161-0168,STAR,gri,,-3.1,4.3,-3.7,5.1,,,17.585,0.26,15.922,0.01,,,16.842,0.06,15.272,0.04,14.558,0.04,,,12.443,0.018,11.603,0.016,11.391,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
210698170,04 30 27.936,+18 20 08.51,0,14.95,,,542-009364,04302792+1820086,6485-301-2-0173-0113,STAR,JHK,,2.4,3.2,-3.3,3.5,,,,,,,,,,,,,,,,,12.431,0.021,11.773,0.022,11.466,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
210698276,04 30 25.374,+18 20 14.67,0,16.758,,,,04302537+1820146,6485-301-2-0173-0101,STAR,gri,,35,3,-24,3,,,,,,,20.126,0.046,18.196,0.007,16.886,0.005,16.141,0.005,15.619,0.006,14.156,0.025,13.514,0.029,13.27,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
210698281,04 32 14.569,+18 20 14.84,1,11.961,,,542-009408,04321456+1820147,,STAR,gri,rpm,10,1.3,-14.3,1.5,,,14,0.27,12.632,0.24,,,13.46,0.25,12.174,0.26,11.319,0.18,,,9.165,0.027,8.494,0.042,8.23,0.021,4742,115,202,2.411,0.215,0.172,-0.26,0.25,0.55,11.048,1.463,2.432,1.15,0.188,0.225,7.78E-04,7.56E-04,3.26E-04,846.8,162,160.4,0.717,0.163,0.163,,,
210698324,04 22 19.124,+18 20 17.26,0,14.8,,,,04221912+1820172,,STAR,J,,,,,,,,,,,,,,,,,,,,,,13.473,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
