EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
248139290,04 54 44.713,+26 55 27.32,1,12.535,,,585-013647,04544470+2655273,,STAR,gri,rpm,7.1,1.4,4.9,1.7,,,14.167,0.03,13.008,0.04,,,13.614,0.04,12.599,0.01,12.072,0.04,,,10.597,0.018,10.189,0.018,10.077,0.018,6316,405,101,3.886,0.174,0.319,-0.062,0.08,0.06,2.311,1.563,0.568,1.48,0.375,0.187,0.113,0.113,0.077,448.3,393.5,80.88,0.967,0.253,0.004,AAA-222-111-000-0-0,12.6,
248139500,04 42 50.517,+26 55 34.01,1,12.134,,,585-012701,04425052+2655339,,STAR,gri,lam,7.1,1.8,-41,3,,,13.425,0.042,12.428,0.031,,,12.92,0.031,12.122,0.04,11.797,0.04,,,10.629,0.02,10.219,0.024,10.084,0.018,5403,130,130,4.526,0.035,0.049,-0.009,0.12,0.12,0.86,0.064,0.05,0.921,0.045,0.045,1.422,0.211,0.25,184,22.64,16.96,0.217,0.097,0.044,AAA-222-111-000-0-0,15.8,
248139561,04 56 46.787,+26 55 35.79,0,14.689,,,585-013791,04564677+2655359,,STAR,gri,,13.7,2.5,4.8,2.7,,,17.17,0.12,15.436,0.052,,,16.33,0.17,14.847,0.06,13.986,0.14,,,12.072,0.02,11.343,0.022,11.113,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,28,
248139638,04 57 50.124,+26 55 38.15,1,13.813,,,585-013877,04575012+2655382,,STAR,gri,rpm,28,3.5,-15.3,3.9,,,15.894,0.04,14.458,0.01,,,15.252,0.1,13.881,0.04,13.197,0.1,,,11.494,0.02,10.945,0.019,10.762,0.018,3802,2110,75,4.895,0.066,0.66,-0.071,0.12,0.27,0.386,0.908,0.058,0.428,0.755,0.071,7.312,2.875,6.851,79.99,274.4,16.6,0.091,1.166,0.025,AAA-222-111-000-0-0,16.5,
248139695,04 35 38.142,+26 55 40.22,0,11.794,,,585-012299,04353812+2655403,,STAR,gri,,47.9,1.9,-28.6,2.5,,,13.058,0.06,12.08,0.1,,,12.558,0.06,11.768,0.08,11.467,0.05,,,10.328,0.022,9.86,0.022,9.748,0.018,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,8.7,
248139734,04 50 39.911,+26 55 41.46,0,14.459,,,585-013343,04503991+2655415,,STAR,gri,,0.3,2.6,0.2,2.7,,,16.753,0.088,15.23,0.049,,,16.081,0.03,14.548,0.04,13.764,0.03,,,11.802,0.022,11.053,0.022,10.852,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,37.6,
248139841,04 56 51.234,+26 55 44.70,0,14.513,,,585-013804,04565123+2655448,,STAR,JHK,,0.6,3.5,12.6,3.5,,,,,,,,,,,,,,,,,12.102,0.02,11.409,0.022,11.19,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,18.5,
248140116,04 43 19.452,+26 55 53.55,1,15.449,,,585-012737,04431946+2655535,,STAR,BV,,5.6,3.8,-6.7,4.2,,,16.424,0.15,15.63,0.056,,,,,,,,,,,13.546,0.03,13.146,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,AAU-226-220-cc0-0-0,4.4,
248140209,04 57 44.291,+26 55 56.08,0,14.684,,,585-013872,04574428+2655561,,STAR,gri,,0.4,3.6,5.3,3.8,,,16.865,0.09,15.344,0.051,,,16.107,0.1,14.769,0.12,14.074,0.05,,,12.364,0.02,11.872,0.021,11.685,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,17.7,
248140290,04 54 55.027,+26 55 58.17,1,14.088,,,585-013657,04545503+2655581,,STAR,JHK,rpm,16.2,2.6,-8.5,2.8,,,,,,,,,,,,,,,,,11.647,0.021,10.958,0.019,10.723,0.018,4964,179,99,3.433,0.156,0.832,-0.365,0.25,0.65,3.51,4.096,0.828,1,0.244,0.147,0.027,0.021,0.026,881.1,1090,226.1,1.027,0.158,0.185,AAA-222-111-000-0-0,29.2,
248140326,04 35 37.396,+26 55 59.22,0,12.556,,,585-012298,04353739+2655593,,STAR,gri,,42.5,10.1,-25.5,4.6,,,14.076,0.1,12.973,0.12,,,13.563,0.04,12.572,0.09,12.125,0.06,,,10.612,0.022,10.075,0.022,9.902,0.017,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,13.9,
248140541,04 40 59.493,+26 56 06.29,0,16.62,,,,04405949+2656062,,STAR,JHK,,42,4,-16,2,,,,,,,,,,,,,,,,,14.411,0.03,13.807,0.031,13.566,0.049,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,30.8,1169-0062406
248140944,04 38 29.587,+26 56 20.30,1,9.143,,1838-1923-2,585-012372,,,STAR,BV,,,,,,,,9.552,0.027,9.169,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248140960,04 49 16.536,+26 56 20.71,0,18.319,,,,04491653+2656207,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.76,0.157,16.115,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,CCD-222-111-0s0-0-0,31.4,1169-0065756
248140977,04 38 29.515,+26 56 21.32,1,7.167,21619,1838-1923-1,585-012372,04382950+2656212,,STAR,BV,plx,43.02,1.37,-68.9,1,15.98,1.23,7.499,0.016,7.172,0.011,,,,,,,,,,,6.231,0.034,6.084,0.031,6.037,0.021,6996,422,351,4.209,0.054,0.09,0.03,0.1,0.12,1.578,0.144,0.095,1.479,0.091,0.091,0.367,0.064,0.092,62.58,4.817,4.817,0.079,0.048,0.022,AAA-111-111-ddd-0-0,4.3,
248141116,04 38 29.575,+26 56 25.57,1,7.331,,,585-012373,04382957+2656254,,STAR,BV,rpm,41.3,1,-55.8,1,,,7.744,0.99,7.358,0.99,,,,,,,,,,,6.255,0.019,6.094,0.033,6.075,0.024,6873,327,273,4.124,0.13,0.182,0.017,0.12,0.15,1.677,0.583,0.256,1.5,0.23,0.115,0.279,0.163,0.145,75.64,25.74,19.2,0.088,0.054,0.034,AAA-111-111-ccd-0-0,4.3,
248141151,04 43 16.890,+26 56 26.70,0,14.159,,,585-012735,04431690+2656265,,STAR,gri,,1,3.6,-2.7,4.1,,,16.243,0.16,14.768,0.05,,,15.532,0.1,14.253,0.01,13.57,0.08,,,11.815,0.022,11.05,0.023,10.859,0.022,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,42.7,
248141269,04 44 46.034,+26 56 30.22,0,15.568,,,585-012846,04444603+2656303,,STAR,JHK,,3.7,3.6,2.8,4,,,,,,,,,,,,,,,,,13.269,0.023,12.585,0.023,12.396,0.024,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,26.2,
248141305,04 47 42.632,+26 56 31.44,0,15.752,,,585-013099,04474262+2656312,,STAR,JHK,,17.4,4.4,2.5,4.3,,,,,,,,,,,,,,,,,13.425,0.024,12.736,0.026,12.543,0.025,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,44.3,
248141309,04 55 00.079,+26 56 31.50,0,15.611,,,585-013662,04550007+2656315,,STAR,JHK,,8.4,2.9,6.7,3.1,,,,,,,,,,,,,,,,,13.278,0.023,12.573,0.023,12.394,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,14.9,
248141365,04 57 18.796,+26 56 33.59,0,14.663,,,585-013841,04571879+2656336,,STAR,JHK,,-0.7,3.7,7.2,3.5,,,,,,,,,,,,,,,,,12.129,0.021,11.43,0.02,11.151,0.019,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,21.5,
248141409,04 36 41.990,+26 56 34.99,0,12.987,,,585-012332,04364198+2656340,,STAR,J,,,,,,,,,,,,,,,,,,,,,,11.442,0.023,10.492,0.024,10.229,0.02,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,12.9,1169-0060712
248141802,04 57 12.704,+26 56 48.24,0,14.535,,,585-013836,04571270+2656482,,STAR,JHK,,6.3,3.3,14.5,3.3,,,,,,,,,,,,,,,,,12.016,0.021,11.192,0.02,10.953,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-0s0-0-0,13.3,
248141838,04 54 46.070,+26 56 49.58,0,13.931,,,585-013652,04544606+2656496,,STAR,gri,,4.5,2.6,3.5,2.9,,,16.523,0.03,14.643,0.03,,,15.585,0.05,13.984,0.06,13.223,0.06,,,11.195,0.019,10.419,0.016,10.215,0.018,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,19.7,
