EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
203011603,16 27 47.061,-27 33 59.83,1,13.543,,,313-089563,16274706-2733599,STAR,JHK,rpm,-10.2,4.3,-3.5,5,,,,,,,,,,,,,11.633,0.03,11.168,0.033,10.877,0.024,6481,331,463,4.236,0.02,0.428,0.119,0.08,0.12,1.504,1.015,0.139,1.383,0.367,0.141,0.412,0.072,0.315,442.4,326.4,23.79,1.712,0.155,0.622,AAA-222-111-000-0-0,,
203011751,16 25 00.667,-27 33 58.41,1,14.348,,,313-089191,16250066-2733584,STAR,JHK,rpm,-5.3,1.8,-4.3,1.8,,,,,,,,,,,,,11.961,0.022,11.126,0.022,10.947,0.021,4162,154,128,1.273,0.252,0.21,-0.599,0.35,0.25,35.195,9.113,8.497,0.945,0.064,0.053,1.95E-05,2.71E-05,1.01E-05,9103,2122,2024,0.38,0.253,0.115,AAA-222-111-000-0-0,,
203011840,16 11 45.554,-27 33 57.14,1,12.481,,,313-087851,16114555-2733570,STAR,gri,rpm,-0.7,1.7,-41.1,1.7,,,14.31,0.68,12.724,0.02,13.844,0.69,12.261,0.05,11.897,0.06,10.466,0.022,9.954,0.022,9.85,0.023,5063,301,215,3.802,0.81,0.54,-0.21,0.25,0.6,1.916,1.395,1.213,0.885,0.148,0.082,0.115,1.982,0.095,347.8,196.4,215.9,0.281,0.28,0.175,AAA-222-111-000-0-0,,
203011879,16 27 11.075,-27 33 56.68,1,14.147,,,313-089484,16271107-2733566,STAR,JHK,rpm,-0.3,2.6,-4.3,1.8,,,,,,,,,,,,,11.5,0.023,10.659,0.022,10.393,0.019,4468,143,323,2.076,0.385,0.77,-0.16,0.36,0.66,14.62,18.981,4.004,1.068,0.273,0.171,2.95E-04,6.82E-04,2.74E-04,2942,3835,1003,1.118,0.286,0.524,AAA-222-111-000-0-0,,
203011933,16 42 55.447,-27 33 56.12,1,12.478,,,313-092894,16425544-2733561,STAR,gri,rpm,12.8,2.6,6.3,1.5,,,13.325,0.042,12.623,0.031,12.941,0.031,12.421,0.041,12.279,0.061,11.171,0.024,10.911,0.022,10.792,0.023,6347,318,265,4.114,0.165,0.165,0.051,0.1,0.14,1.627,0.455,0.355,1.336,0.149,0.179,0.266,0.235,0.125,528.4,149.2,116.3,0.276,0.153,0.085,AAA-222-111-000-0-0,,
203012217,16 29 29.788,-27 33 52.39,1,10.672,,6803-2001-1,313-089775,16292977-2733523,STAR,BV,rpm,-26.1,2.9,-10.4,2.7,,,11.676,0.101,10.861,0.074,,,,,,,8.761,0.023,8.365,0.031,8.138,0.021,5884,1170,731,3.816,0.335,0.469,-0.037,0.25,0.6,2.148,1.413,0.615,1.382,0.232,0.424,0.111,0.262,0.078,206.5,159,51.29,0.465,0.406,0.232,AAA-111-111-000-0-0,,
203012319,16 29 06.529,-27 33 51.06,1,12.56,,,313-089735,16290652-2733511,STAR,J,rpm,-3.1,1.7,-1.4,2.7,,,,,,,,,,,,,10.918,0.024,9.897,0.03,9.541,0.024,4250,224,359,1.432,0.854,0.61,-0.117,0.25,0.7,26.337,25.61,12.984,1.033,0.582,0.132,4.02E-05,4.17E-04,3.67E-05,3503,3391,1949,1.771,0.273,0.71,AAA-222-111-000-0-0,,
203012747,16 40 06.158,-27 33 45.47,1,10.464,,6804-1276-1,313-092128,16400615-2733453,STAR,gri,rpm,-80.2,2.8,-77,2.5,,,11.524,0.069,10.704,0.053,11.097,0.03,10.442,0.04,10.193,0.06,8.786,0.023,8.322,0.053,8.225,0.026,5554,425,266,4.505,0.102,0.476,-0.399,0.35,0.56,0.854,0.731,0.167,0.862,0.179,0.154,1.296,0.721,1.075,134.2,70.33,59.8,0.159,0.218,0.099,AAA-111-111-000-0-0,,
203012768,16 25 03.031,-27 33 45.17,1,12.913,,,313-089199,16250303-2733452,STAR,gri,rpm,-18.2,1.4,-19.7,2.6,,,14.132,0.02,13.257,0.032,13.728,0.033,12.935,0.041,12.564,0.062,11.215,0.022,10.759,0.022,10.666,0.023,5389,332,249,4.381,0.155,0.651,-0.123,0.18,0.42,1.02,1.164,0.218,0.947,0.155,0.086,0.858,0.65,0.768,297.1,318.5,68.06,0.283,0.231,0.105,AAA-222-111-000-0-0,,
203013006,16 40 54.478,-27 33 42.07,1,12.239,,,313-092349,16405447-2733420,STAR,gri,rpm,-9.7,1.4,-6.2,1.5,,,13.156,0.042,12.389,0.031,12.747,0.031,12.18,0.04,12.022,0.061,10.773,0.023,10.451,0.024,10.329,0.019,6164,253,253,4.086,0.215,0.258,0.008,0.15,0.15,1.561,0.754,0.4,1.235,0.291,0.194,0.282,0.314,0.183,410.6,229.2,105.1,0.314,0.14,0.14,AAA-222-111-000-0-0,,
203013029,16 23 13.208,-27 33 41.70,1,13.463,,,313-088926,16231321-2733416,STAR,gri,rpm,-6.7,1.8,-4.5,1.8,,,15.153,0.04,13.968,0.035,14.615,0.037,13.492,0.043,12.969,0.063,11.339,0.026,10.697,0.025,10.488,0.024,4774,159,199,2.36,0.426,0.639,-0.825,0.66,0.55,10.103,9.834,3.681,0.913,0.263,0.053,6.72E-04,0.002,6.19E-04,2415,2792,770.3,0.547,0.145,0.217,AAA-222-111-000-0-0,,
203013195,16 08 40.241,-27 33 39.67,1,13.815,,,313-087327,16084024-2733396,STAR,JHK,rpm,-17.8,1.7,-28.1,1.8,,,,,,,,,,,,,11.498,0.024,10.835,0.022,10.619,0.023,4356,817,545,4.698,0.16,1.088,-0.05,0.2,0.28,0.587,2.15,0.173,0.675,0.532,0.245,2.911,3.033,2.858,145.7,509.3,59.98,0.259,1.003,0.209,AAA-222-111-000-0-0,,
203013215,16 29 53.211,-27 33 39.41,1,15.041,,,313-089838,16295321-2733394,STAR,JHK,rpm,-2.9,3.3,-6.9,3.5,,,,,,,,,,,,,12.126,0.026,11.148,0.024,10.936,0.025,4074,191,191,1.136,0.258,0.258,-0.549,0.25,0.4,41.541,16.172,10.202,0.951,0.039,0.055,1.17E-05,1.67E-05,7.55E-06,9964,3918,2194,0.859,0.354,0.354,AAA-222-111-000-0-0,,
203013380,16 27 13.915,-27 33 37.36,1,13.482,,,313-089493,16271390-2733372,STAR,J,rpm,-0.7,2.2,-4.7,5.2,,,,,,,,,,,,,12.049,0.023,11.079,0.022,10.803,0.019,4231,219,219,1.342,0.484,0.22,-0.609,0.42,0.35,32.216,10.844,13.106,0.948,0.075,0.054,2.49E-05,1.14E-04,1.51E-05,7227,2410,2922,1.16,0.42,0.336,AAA-222-111-000-0-0,,
203013725,16 10 26.989,-27 33 33.15,1,11.424,,,313-087624,16102698-2733332,STAR,gri,rpm,-6.4,0.8,-16.5,1,,,13.584,0.68,11.736,0.03,12.997,0.72,11.216,0.04,10.75,0.06,9.176,0.023,8.504,0.044,8.32,0.026,4669,137,110,2.404,0.318,0.265,-0.237,0.25,0.55,10.609,2.902,2.672,1.083,0.288,0.18,8.75E-04,0.002,4.79E-04,900,313,198.2,0.509,0.16,0.186,AAA-111-111-000-0-0,,
