33,204244466,16 21 56.783,-23 05 50.64,1,13.714,,,335-084160,16215678-2305505,,STAR,JHK,rpm,-12.6,3.7,-15.1,8.2,,,,,,,,,,,,,,,,,11.175,0.023,10.53,0.022,10.191,0.023,6520,65,65,4.145,0.02,0.099,-0.04,0.16,0.08,1.809,0.084,0.036,1.586,0.102,0.142,0.281,0.017,0.066,393.9,11.82,24.76,2.552,0.202,0.003,AAA-222-111-000-0-0,,
34,204244528,15 56 12.890,-23 05 49.83,1,12.804,,,335-080492,15561288-2305498,,STAR,gri,rpm,-5.4,1.4,-6.9,1,,,14.489,0.01,13.25,0.032,,,13.836,0.01,12.794,0.01,12.361,0.01,,,10.882,0.022,10.223,0.022,10.086,0.023,4637,183,73,1.953,0.522,0.957,-0.944,0.45,0.81,15.055,27.376,6.087,0.885,0.098,0.082,1.64E-04,8.54E-04,1.57E-04,3055,5282,1382,0.32,0.161,0.074,AAA-222-111-000-0-0,,
35,204244604,15 58 05.446,-23 05 48.68,1,11.713,,6779-16-1,335-080712,15580545-2305486,,STAR,gri,rpm,-9.1,3.3,0.9,4,,,12.725,0.276,11.906,0.184,,,12.581,0.01,11.664,0.04,11.341,0.02,,,10.096,0.024,9.57,0.024,9.463,0.023,4915,165,82,2.443,0.559,0.078,-0.478,0.42,0.3,9.598,1.097,4.011,1.033,0.407,0.116,0.001,0.006,2.40E-04,1319,178.8,542.4,0.252,0.135,0.075,AAA-222-111-000-0-0,,
36,204245283,15 58 52.379,-23 05 39.18,1,13.69,,,335-080801,15585237-2305391,,STAR,gri,rpm,-3.9,1.4,-2.2,1.5,,,15.455,0.05,14.17,0.02,,,14.817,0.03,13.684,0.03,13.207,0.01,,,11.683,0.022,10.96,0.023,10.828,0.022,4462,136,109,1.531,0.336,0.24,-0.866,0.25,0.25,25.502,7.427,8.56,0.903,0.048,0.021,4.86E-05,1.02E-04,2.69E-05,6579,1742,2061,0.355,0.106,0.091,AAA-222-111-000-0-0,,
37,204245353,16 28 50.360,-23 05 38.21,1,15.529,,,335-084659,16285035-2305382,,STAR,JHK,rpm,7.3,3,-5.6,4.3,,,,,,,,,,,,,,,,,13.07,0.027,12.372,0.027,12.138,0.027,4696,314,262,2.288,0.981,0.545,-0.591,0.63,0.45,9.962,7.958,6.5,0.93,0.171,0.061,7.07E-04,0.018,5.93E-04,4853,4059,3018,0.694,0.414,0.345,AAA-222-111-000-0-0,,
38,204245509,16 14 11.075,-23 05 36.20,1,10.173,,6793-819-1,335-083054,16141107-2305362,,STAR,gri,rpm,-11.9,2.6,-22.9,2.8,,,11.895,0.143,10.699,0.058,,,11.182,0.03,10.223,0.04,9.741,0.04,,,8.28,0.032,7.708,0.049,7.458,0.027,4703,141,84,2.238,0.285,1.14,-0.797,0.55,1.21,11.85,29.012,2.761,0.929,0.254,0.117,5.23E-04,6.89E-04,5.14E-04,733.5,1695,177.1,0.326,0.06,0.095,AAA-111-111-000-0-0,,
39,204245581,16 00 51.753,-23 05 35.26,1,13.77,,,335-081098,16005176-2305352,,STAR,gri,rpm,-60.3,1.5,-43.7,1.4,,,16.198,0.073,14.818,0.043,,,15.559,0.02,14.187,0.01,13.004,0.04,,,11.035,0.026,10.402,0.024,10.165,0.019,3757,68,159,4.928,0.091,0.042,0.019,0.18,0.18,0.355,0.032,0.089,0.383,0.041,0.107,8.624,5.362,1.368,77.94,16.89,19.87,0.048,0.03,0.015,AAA-222-111-000-0-0,,
40,204245943,16 12 45.066,-23 05 30.33,1,14.81,,,,16124506-2305303,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,13.483,0.024,12.871,0.029,12.464,0.021,7928,330,1058,4.034,0.084,0.126,0.086,0.12,0.12,2.171,0.347,0.218,1.931,0.106,0.319,0.18,0.064,0.06,1167,486.2,65.81,2.864,0.313,0.313,AAA-222-111-000-0-0,,
41,204246013,15 59 22.104,-23 05 29.21,1,13.227,,,335-080889,15592209-2305291,,STAR,gri,rpm,-5.2,1.5,-5.8,1.2,,,14.809,0.01,13.609,0.01,,,14.183,0.035,13.198,0.01,12.817,0.02,,,11.425,0.026,10.871,0.022,10.725,0.023,4974,205,205,2.432,0.696,0.174,-0.71,0.48,0.4,9.461,2.114,4.791,0.915,0.225,0.035,9.91E-04,0.009,4.44E-04,2338,643.6,1065,0.428,0.123,0.148,AAA-222-111-000-0-0,,
42,204246261,16 17 17.633,-23 05 25.63,1,11.821,,6793-496-1,335-083627,16171758-2305257,,STAR,gri,rpm,19.9,2.9,-4.9,3.3,,,12.641,0.278,11.875,0.187,,,12.48,0.031,11.875,0.04,11.538,0.04,,,10.407,0.026,10.006,0.026,9.885,0.021,5848,296,355,4.041,0.364,0.26,-0.107,0.16,0.44,1.544,0.729,0.495,1.045,0.203,0.135,0.252,0.563,0.157,318.1,175.5,97.51,0.338,0.167,0.167,AAA-222-111-000-0-0,,
