EPIC,KepMag,Kmag,Teff,mass,Radius
integer,float,float,integer,float,float
228787044,16.926,14.281,3756,0.321,0.300
228787045,11.948,9.216,4247,0.927,35.100
228787052,15.089,14.349,,,
228787063,17.302,14.489,3876,0.380,0.353
228787075,15.040,13.221,5075,0.906,3.435
228787100,13.014,11.868,6274,1.116,1.299
228787104,13.470,12.094,6123,1.062,1.281
228787118,9.392,7.915,5290,1.238,2.858
228787127,12.024,10.699,5921,1.008,1.219
228787135,15.008,13.119,5140,0.862,0.900
228787142,15.804,14.006,,,
228787152,15.745,14.101,5607,0.825,0.856
228787155,13.535,11.872,5503,0.818,0.794
228787159,15.620,14.315,6077,0.817,0.966
228787164,10.316,9.473,6418,1.260,1.422
228787173,14.798,12.451,4763,0.714,0.667
228787197,16.681,14.113,,,
228787203,17.450,14.669,3706,0.291,0.279
228787248,15.059,13.327,5270,0.833,0.974
228787266,12.658,11.088,5920,0.879,1.044
228787268,14.538,12.843,5448,0.725,0.727
228787269,10.469,8.241,4961,0.933,9.755
228787275,12.579,11.041,5857,1.050,1.270
228787298,15.471,13.686,5099,0.843,1.844
228787333,14.238,12.667,5823,0.938,1.027
228787341,14.677,12.914,5352,0.868,1.818
228787361,16.285,,,,
228787368,15.274,13.577,5307,0.818,4.227
228787369,11.953,10.538,6197,1.090,1.262
228787382,10.609,9.431,6169,1.468,2.430
228787392,15.020,12.350,4014,0.501,0.429
228787398,17.475,14.618,3679,0.291,0.282
228787422,16.071,13.196,4125,0.508,0.459
228787449,13.825,12.475,6052,0.799,0.877
228787467,14.500,11.299,3703,0.372,0.343
228787476,6.783,,4950,2.656,13.043
228787485,15.229,12.703,4070,0.426,0.379
228787505,13.817,12.366,5715,0.937,0.979
228787515,15.001,11.353,3508,0.267,0.265
228787526,14.763,12.722,5039,0.868,0.806
228787547,14.295,11.225,3902,0.474,0.419
228787548,14.312,12.372,5661,0.959,0.987
228787555,13.953,12.432,6022,1.008,1.187
228787567,12.969,11.205,5482,0.930,1.528
228787580,15.279,12.149,3652,0.318,0.297
228787620,12.063,10.757,6039,1.063,1.332
228787639,15.447,12.568,3816,0.404,0.365
228787642,11.133,9.410,5320,0.890,6.599
228787673,16.677,14.636,,,
228787676,15.003,12.527,3982,0.390,0.356
228787690,15.378,13.114,4774,0.728,0.680
228787718,18.269,,,,
228787730,15.593,12.635,3716,0.341,0.313
228787731,12.836,9.604,3938,0.836,111.366
228787767,14.830,13.077,5236,0.836,2.350
228787780,12.709,10.683,4894,0.794,0.724
228787788,16.187,12.897,3987,0.497,0.443
228787795,12.028,10.853,6368,1.240,1.451
228787796,11.735,10.311,5939,0.938,1.062
228787818,10.399,8.059,4708,1.202,7.305
228787831,16.058,13.061,3689,0.337,0.309
228787839,10.209,8.048,4765,1.010,11.297
228787840,16.724,14.029,3710,0.325,0.312
228787842,14.507,12.111,4639,0.741,0.684
228787881,13.165,11.467,5598,0.912,0.888
228787942,15.134,12.531,3779,0.349,0.327
228787943,15.383,13.217,4816,0.702,0.669
228787953,12.649,11.289,6195,1.065,1.266
228787980,12.319,10.909,5937,1.046,1.221
228787988,16.424,14.594,,,
228788000,12.772,11.206,5610,0.966,0.964
228788014,16.699,14.122,3723,0.306,0.294
228788038,15.048,13.132,5113,0.773,0.731
228788040,13.206,11.792,6216,1.094,1.314
228788062,9.958,7.397,4572,1.152,12.377
228788089,13.873,11.885,5190,0.809,0.764
228788104,12.917,10.912,5042,0.893,2.594
228788105,14.160,12.565,5645,0.924,0.938
228788126,15.598,12.383,3849,0.434,0.390
228788160,9.262,7.341,4775,1.285,5.367
228788174,11.700,9.996,5432,1.174,2.096
228788236,17.665,14.777,4004,0.470,0.397
228788251,14.883,11.873,3575,0.243,0.247
228788270,13.831,11.836,5102,0.892,7.008
228788304,15.771,12.817,4217,0.590,0.528
228788319,11.954,10.139,5200,0.888,0.831
228788332,15.529,12.341,3692,0.329,0.304
228788343,17.320,14.494,,,
228788350,14.004,12.697,6118,1.039,1.220
228788352,10.007,8.142,4972,1.251,3.848
228788358,15.485,13.963,6052,0.850,1.030
228788362,15.658,13.101,4302,0.530,0.468
228788363,16.785,14.282,4134,0.539,0.470
228788365,12.170,10.651,5905,0.997,1.098
228788419,14.910,12.818,5178,0.874,2.222
228788444,8.131,6.267,5440,0.908,0.842
228788452,7.780,6.151,5626,0.962,0.924
228788464,13.343,11.347,4997,0.917,4.123
228788467,13.360,11.896,5902,0.880,0.965
228788470,17.832,14.376,3830,0.362,0.346
228788475,13.235,11.621,5624,0.854,0.869
228788483,15.075,12.121,3471,0.199,0.203
228788489,12.959,11.449,5851,1.061,1.230
228788542,17.159,,,,
228788558,14.016,12.555,5912,0.946,1.039
228788559,12.867,11.346,5833,0.994,1.074
228788567,13.409,11.964,5823,0.970,1.036
228788572,11.660,9.425,4560,0.962,15.042
228788583,15.339,13.293,5072,0.793,0.743
228788585,12.335,10.386,4901,1.017,4.423
228788590,13.959,11.929,5156,0.781,0.729
228788601,15.612,14.377,5697,0.777,0.799
228788613,13.455,10.736,4425,0.830,51.577
228788654,13.770,12.681,6380,0.994,1.305
228788656,12.820,8.724,3611,0.312,0.295
228788682,11.070,9.816,6345,1.185,1.273
228788694,17.058,14.813,,,
228788699,14.394,11.285,4135,0.581,0.507
228788716,16.254,13.613,3591,0.248,0.249
228788763,15.617,12.808,4091,0.529,0.473
228788765,17.413,14.562,3575,0.236,0.248
228788777,13.870,12.253,5645,0.910,0.937
228788783,15.340,13.437,5119,0.849,3.057
228788793,11.671,9.726,5005,0.829,0.764
228788800,14.532,11.793,4086,0.502,0.443
228788828,13.895,11.938,5180,0.881,4.071
228788843,13.260,11.836,5982,0.953,1.095
228788863,14.485,12.507,5039,0.759,0.717
228788873,14.051,12.107,5036,0.826,0.758
228788880,14.508,10.962,3541,0.232,0.242
228788885,17.005,14.162,3689,0.284,0.271
228788890,15.136,13.139,5071,0.862,3.126
228788902,14.620,13.096,5829,0.764,0.800
228788921,14.277,12.256,5235,0.887,0.857
228788941,14.852,12.608,4752,0.834,19.972
228788963,14.586,12.056,4700,0.752,0.681
228788975,17.613,14.293,4081,0.497,0.463
228788992,16.100,13.511,3511,0.219,0.224
228788994,14.589,13.271,6035,0.941,1.178
228788995,13.907,10.559,3680,0.375,0.344
228789015,17.212,14.507,4422,0.622,0.564
228789016,13.664,10.796,3881,0.377,0.342
228789024,14.143,12.534,5535,0.943,0.909
228789030,16.107,12.919,3673,0.282,0.277
228789059,15.382,12.446,3594,0.267,0.267
228789063,14.925,13.009,5119,0.835,0.786
228789066,15.689,12.828,3783,0.356,0.334
228789076,15.566,14.219,5943,0.858,1.039
228789077,12.670,11.386,6193,1.037,1.249
228789082,15.760,12.784,3664,0.313,0.291
228789089,14.723,11.647,3918,0.506,0.449
228789097,15.238,12.311,3878,0.429,0.385
228789102,17.128,15.106,3523,0.213,0.220
228789126,18.282,14.851,3973,0.442,0.377
228789141,15.935,12.911,3999,0.504,0.443
228789158,12.356,10.812,5709,0.778,0.784
228789167,15.859,12.849,3692,0.319,0.304
228789181,12.390,10.293,5088,0.910,3.750
228789201,13.143,10.556,4174,0.400,0.354
228789215,17.293,,,,
228789220,14.266,12.510,5336,0.887,0.847
228789248,13.968,12.414,5730,0.884,0.908
228789251,13.277,11.734,5904,1.041,1.184
228789252,15.322,11.732,3703,0.318,0.296
228789267,15.474,12.757,4140,0.546,0.488
228789269,13.051,10.459,4521,0.960,14.669
228789280,11.210,9.920,6381,1.151,1.360
228789283,14.464,12.181,4689,0.774,0.695
228789314,15.599,11.991,3675,0.345,0.316
228789331,11.129,8.617,4504,1.240,11.396
228789367,13.466,11.176,4729,0.959,5.646
228789424,12.896,11.528,5916,1.044,1.295
228789428,16.520,13.719,,,
228789431,15.044,12.635,4363,0.631,0.568
228789434,16.022,13.244,3685,0.293,0.287
228789455,16.452,13.364,3482,0.219,0.227
228789456,12.569,10.988,5762,1.025,1.032
228789473,14.195,12.211,4969,0.875,2.407
228789476,16.001,12.879,3607,0.284,0.277
228789479,16.053,13.396,3797,0.377,0.344
