EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
229161149,12 33 32.789,+02 17 37.95,1,17.115,,,,12333278+0217379,,EXTENDED,J,,-2.000,7.000,-12.000,3.000,,,,,,,,,,,,,,,,,15.645,0.138,14.818,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCU-220-110-000-1-0,1.600,0922-0288586
229161245,12 34 50.534,+02 17 48.09,1,16.267,,,,12345053+0217480,1458-301-3-0427-0165,STAR,gri,rpm,-77.000,3.000,-46.000,3.000,,,,,,,20.637,0.072,18.058,0.006,16.681,0.004,15.500,0.004,14.878,0.005,13.613,0.030,13.053,0.027,12.808,0.027,,,,,,,,,3672,86,108,4.997,0.025,0.035,-0.107,0.210,0.150,0.283,0.027,0.025,0.296,0.028,0.045,12.680,1.879,1.937,152.100,11.630,24.420,0.020,0.009,0.005,AAA-222-111-000-0-0,64.600,
229161280,12 31 23.389,+02 17 52.38,1,12.391,,,462-049264,12312339+0217523,,STAR,gri,lam,-17.700,0.900,0.200,1.100,,,13.185,0.040,12.530,0.010,,,12.788,0.010,12.366,0.030,12.220,0.020,,,11.277,0.022,11.029,0.023,10.950,0.023,,,,,,,,,5860,117,140,4.305,0.135,0.189,-0.120,0.150,0.120,1.151,0.375,0.167,1.003,0.095,0.081,0.628,0.367,0.328,382.100,123.500,61.340,0.026,0.009,0.005,AAA-222-111-000-0-0,77.000,
229161291,12 27 18.978,+02 17 53.63,1,17.928,,,,,1458-301-3-0414-0180,STAR,gri,,-34.000,3.000,-35.000,3.000,,,,,,,21.130,0.107,18.941,0.010,17.898,0.007,17.494,0.007,17.271,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229161343,12 41 02.866,+02 17 59.43,1,9.041,,290-950-1,462-049443,12410286+0217594,,STAR,gri,plx,-3.900,1.100,11.100,1.100,,,10.658,0.059,9.338,0.024,,,10.287,0.280,9.089,0.080,8.507,0.130,,,7.200,0.027,6.504,0.031,6.369,0.021,,,,,,,,,4302,127,102,1.933,0.276,0.276,-0.083,0.200,0.280,18.250,7.035,4.342,1.194,0.203,0.169,1.680e-4,1.995e-4,1.023e-4,495.000,128.300,128.300,0.031,0.018,0.009,AAA-111-111-000-0-0,44.600,
229161437,12 28 39.316,+02 18 09.35,1,11.757,,282-286-1,462-049185,12283931+0218092,,STAR,gri,rpm,16.600,1.800,-33.200,1.800,,,12.326,0.238,11.597,0.164,,,12.077,0.030,11.693,0.040,11.619,0.100,,,10.650,0.022,10.368,0.024,10.261,0.021,,,,,,,,,6048,122,122,4.242,0.135,0.189,-0.211,0.200,0.280,1.276,0.320,0.217,1.044,0.120,0.120,0.481,0.317,0.244,323.500,89.040,59.330,0.027,0.014,0.007,AAA-222-111-000-0-0,54.500,
229161448,12 34 33.023,+02 18 10.57,1,15.293,,,462-049319,12343301+0218106,1458-301-3-0426-0270,STAR,JHK,rpm,2.300,2.200,-13.200,2.200,,,,,,,,,,,,,,,,,13.038,0.024,12.384,0.030,12.179,0.027,,,,,,,,,3966,344,191,4.829,0.060,0.096,-0.015,0.150,0.180,0.439,0.113,0.066,0.494,0.129,0.074,5.584,1.949,1.912,201.600,71.360,39.240,0.026,0.013,0.008,AAA-222-111-000-0-0,70.600,
229161481,12 26 52.464,+02 18 13.74,1,11.801,,282-447-1,462-049152,12265245+0218140,,STAR,gri,plx,-16.500,1.900,-1.500,2.100,,,12.321,0.199,11.980,0.199,,,12.128,0.030,11.698,0.020,11.661,0.120,,,10.591,0.023,10.301,0.022,10.241,0.019,,,,,,,,,5988,97,97,4.341,0.070,0.140,-0.116,0.150,0.240,1.125,0.203,0.111,1.042,0.084,0.117,0.709,0.215,0.291,269.200,48.610,48.610,0.027,0.014,0.007,AAA-222-111-000-0-0,21.200,
229161498,12 41 28.799,+02 18 15.56,1,15.085,,,462-049452,12412881+0218156,6121-301-6-0177-0086,STAR,gri,rpm,15.700,2.300,-13.100,2.500,,,16.225,0.060,15.357,0.030,,,15.779,0.060,15.067,0.020,14.787,0.090,,,13.812,0.029,13.294,0.027,13.238,0.037,,,,,,,,,5010,118,98,4.611,0.036,0.030,-0.286,0.200,0.240,0.701,0.052,0.058,0.749,0.064,0.064,2.092,0.412,0.291,620.900,70.640,63.430,0.027,0.012,0.006,AAA-222-111-000-0-0,49.100,
229161640,12 38 10.480,+02 18 29.47,1,17.116,,,,12381048+0218294,1458-301-3-0432-0121,EXTENDED,gri,,-15.000,3.000,9.000,3.000,,,,,,,19.361,0.051,18.063,0.008,17.168,0.005,16.710,0.005,16.408,0.014,15.819,0.104,15.035,0.142,14.429,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABB-222-111-000-0-0,56.800,
229161645,12 40 32.115,+02 18 30.74,1,13.277,,,462-049431,12403211+0218307,1458-301-3-0436-0063,STAR,gri,rpm,-9.200,1.600,-2.600,1.900,,,14.528,0.030,13.564,0.030,,,14.024,0.040,13.257,0.020,12.957,0.070,,,11.855,0.027,11.339,0.023,11.245,0.024,,,,,,,,,4916,78,98,3.051,0.528,0.704,-0.457,0.350,0.350,4.412,5.529,1.845,0.945,0.113,0.063,0.008,0.040,0.008,1572.000,1501.000,687.100,0.029,0.013,0.007,AAA-222-111-000-0-0,63.800,
229161648,12 32 07.673,+02 18 31.05,1,14.516,,,462-049281,12320766+0218310,1458-301-3-0422-0050,STAR,gri,rpm,-4.900,1.900,-14.500,2.200,,,15.621,0.070,14.734,0.020,,,15.130,0.040,14.473,0.030,14.253,0.040,,,13.135,0.024,12.629,0.023,12.569,0.029,,,,,,,,,5076,101,61,3.812,0.760,0.570,-0.534,0.360,0.300,1.788,1.799,1.127,0.859,0.072,0.116,0.127,2.047,0.113,1289.000,976.100,871.600,0.028,0.011,0.007,AAA-222-111-000-0-0,49.300,
229161657,12 41 31.892,+02 18 32.59,1,16.140,,,,12413189+0218325,6121-301-6-0177-0277,EXTENDED,gri,,-1.000,3.000,7.000,3.000,,,,,,,19.026,0.051,17.089,0.005,16.158,0.004,15.733,0.004,15.380,0.008,15.191,0.080,14.436,0.089,14.000,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,49.100,
229161713,12 33 10.200,+02 18 38.64,1,16.785,,,,12331020+0218386,1458-301-3-0424-0159,EXTENDED,gri,,-5.000,3.000,3.000,3.000,,,,,,,18.579,0.029,17.476,0.006,16.874,0.005,16.489,0.005,16.257,0.015,15.942,0.111,15.106,0.102,14.782,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAB-222-111-000-0-0,29.000,
229161741,12 34 48.151,+02 18 41.91,1,16.581,,,,12344815+0218419,1458-301-3-0427-0156,EXTENDED,gri,,1.000,3.000,-4.000,3.000,,,,,,,19.201,0.042,17.418,0.006,16.631,0.004,16.223,0.004,15.931,0.010,15.428,0.092,14.687,0.104,14.208,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,64.600,
229161806,12 26 41.278,+02 18 49.61,1,13.764,,,462-049146,12264128+0218496,,STAR,gri,lam,-41.600,3.000,2.500,2.300,,,15.070,0.060,14.046,0.030,,,14.548,0.020,13.658,0.030,13.428,0.120,,,11.988,0.026,11.476,0.029,11.306,0.023,,,,,,,,,4655,139,166,4.658,0.035,0.025,-0.207,0.120,0.120,0.648,0.037,0.042,0.697,0.048,0.040,2.525,0.394,0.248,221.000,26.960,24.030,0.024,0.012,0.006,AAA-222-111-000-0-0,27.100,
229161827,12 26 49.847,+02 18 51.62,1,13.461,,,462-049151,12264985+0218516,,STAR,gri,lam,-24.200,3.300,-21.200,1.600,,,14.148,0.040,13.518,0.020,,,13.773,0.020,13.358,0.020,13.327,0.130,,,12.344,0.023,12.026,0.025,11.998,0.026,,,,,,,,,5778,138,138,4.444,0.045,0.099,-0.209,0.120,0.150,0.950,0.135,0.076,0.935,0.063,0.063,1.027,0.254,0.290,514.900,82.310,51.750,0.028,0.013,0.006,AAA-222-111-000-0-0,48.400,
229161834,12 33 18.361,+02 18 51.99,1,17.552,,,,12331836+0218519,1458-301-3-0424-0184,STAR,gri,rpm,-1.000,3.000,-15.000,3.000,,,,,,,21.567,0.143,18.783,0.009,17.561,0.006,17.024,0.006,16.677,0.011,15.587,0.059,14.990,0.073,14.454,0.091,,,,,,,,,4066,49,49,4.823,0.063,0.045,-0.160,0.200,0.240,0.454,0.051,0.063,0.516,0.058,0.069,5.287,1.780,0.990,688.000,89.290,108.000,0.025,0.012,0.005,AAA-222-111-000-0-0,34.300,
229161846,12 32 36.696,+02 18 53.02,1,16.096,,,,12323669+0218530,1458-301-3-0423-0131,EXTENDED,gri,,2.000,3.000,-4.000,3.000,,,,,,,18.898,0.049,16.991,0.005,16.129,0.004,15.713,0.004,15.409,0.010,15.413,0.096,14.677,0.130,14.236,0.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABA-222-111-000-0-0,28.000,
229161869,12 28 03.396,+02 18 55.18,1,12.478,,,462-049182,12280338+0218552,,STAR,gri,lam,-9.100,1.100,4.100,1.500,,,12.974,0.050,12.519,0.010,,,12.651,0.030,12.420,0.030,12.408,0.110,,,11.485,0.026,11.287,0.022,11.190,0.024,,,,,,,,,6202,126,126,4.233,0.085,0.136,-0.170,0.120,0.150,1.314,0.240,0.148,1.114,0.097,0.081,0.461,0.199,0.175,516.200,91.400,65.570,0.028,0.014,0.008,AAA-222-111-000-0-0,24.200,
