,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
0,0,0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
2650,2650,2650,211998711,08 53 25.286,+20 13 59.41,1,19.01,,,,08532528+2013594,5037-301-1-0135-0398,STAR,gri,rpm,-38,4,-25,4,,,,,,,23.679,0.45,21.407,0.041,19.855,0.017,17.982,0.008,16.941,0.01,15.305,0.045,14.618,0.049,14.28,0.06,3439,106,148,5.128,0.036,0.048,-0.169,0.2,0.24,0.179,0.029,0.013,0.165,0.029,0.018,26.83,4.692,6.098,188,35.02,21.6,0.024,0.008,0.007,,,
2651,2651,2651,211998779,09 10 34.743,+20 14 03.13,1,12.982,,,552-045269,09103474+2014031,,STAR,gri,rpm,3,1.7,-8.2,2,,,13.628,0.043,13.09,0.032,,,13.308,0.032,12.967,0.041,12.842,0.063,,,12.046,0.021,11.805,0.022,11.733,0.025,6226,175,125,4.158,0.145,0.174,-0.177,0.16,0.28,1.438,0.371,0.25,1.167,0.148,0.178,0.334,0.234,0.138,722.2,211.6,139.2,0.034,0.008,0.008,,,
2652,2652,2652,211998838,09 10 27.375,+20 14 06.55,1,14.354,,,552-045264,09102738+2014066,,STAR,gri,rpm,-41.6,3.1,3,3.4,,,15.882,0.03,14.828,0.043,,,15.435,0.044,14.316,0.048,13.891,0.07,,,12.563,0.023,11.919,0.023,11.815,0.022,4321,103,86,4.738,0.042,0.042,-0.184,0.24,0.2,0.554,0.056,0.043,0.614,0.057,0.047,3.534,0.754,0.622,226,28.17,25.05,0.025,0.007,0.005,,,
2653,2653,2653,211998860,08 55 46.257,+20 14 07.48,1,14.617,,,552-044749,08554625+2014074,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,13.275,0.022,12.845,0.026,12.758,0.026,5266,154,154,4.557,0.045,0.801,-0.282,0.25,0.45,0.797,1.407,0.08,0.846,0.078,0.093,1.644,0.355,1.55,596.8,1050,74.61,0.033,0.008,0.007,,,
2654,2654,2654,211998914,09 05 40.740,+20 14 10.71,1,17.177,,,,09054073+2014107,5071-301-2-0148-0166,EXTENDED,gri,,1,2,-1,2,,,,,,,20.405,0.084,18.276,0.008,17.158,0.005,16.706,0.005,16.317,0.01,15.692,0.078,14.818,0.087,14.43,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,
2655,2655,2655,211999015,08 55 46.536,+20 14 16.31,1,12.509,,,552-044750,08554653+2014163,,STAR,gri,rpm,-13.5,1.2,-14.8,3.1,,,13.307,0.01,12.614,0.031,,,12.97,0.02,12.439,0.01,12.312,0.03,,,11.478,0.022,11.174,0.021,11.117,0.018,5768,115,92,4.431,0.045,0.171,-0.026,0.15,0.18,1.023,0.198,0.079,1.022,0.054,0.065,0.937,0.216,0.416,365.9,73.2,35.25,0.031,0.011,0.009,,,
2656,2656,2656,211999031,09 12 07.352,+20 14 17.67,1,19.467,,,,,5061-301-1-0160-0323,EXTENDED,gri,,-49,4,-48,4,,,,,,,22.777,0.323,20.77,0.03,19.399,0.015,18.908,0.016,18.512,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2657,2657,2657,211999068,09 02 18.439,+20 14 20.43,1,16.838,,,,09021843+2014204,5061-301-3-0146-0107,EXTENDED,gri,,-6,2,-10,2,,,,,,,18.48,0.016,17.306,0.005,16.809,0.004,16.638,0.005,16.637,0.013,15.583,0.058,15.122,0.065,14.981,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,
2658,2658,2658,211999205,09 05 39.064,+20 14 28.27,1,17.487,,,,09053906+2014282,5071-301-2-0148-0163,EXTENDED,gri,,2,3,15,3,,,,,,,20.263,0.103,18.484,0.012,17.475,0.008,17.06,0.008,16.75,0.018,16.427,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2659,2659,2659,211999210,09 06 21.348,+20 14 28.52,1,14.297,,,552-045111,09062133+2014284,,STAR,gri,rpm,0.3,4.7,-13,5.1,,,15.479,0.05,14.603,0.05,,,15.036,0.04,14.35,0.13,13.98,0.08,,,12.919,0.022,12.413,0.028,12.358,0.025,5021,121,151,4.569,0.045,1.368,-0.281,0.25,0.45,0.77,3.06,0.073,0.827,0.121,0.076,1.747,0.378,1.731,470.9,1800,73.05,0.033,0.007,0.006,,,
