EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
211490299,08 46 57.948,+12 59 56.91,1,15.991,,,515-048757,08465794+1259569,,STAR,gri,rpm,-3.5,3.5,1,3.7,,,17.329,0.01,16.369,0.03,,,16.991,0.06,15.976,0.1,15.562,0.112,,,14.276,0.031,13.648,0.03,13.498,0.035,4441,173,173,4.693,0.064,0.04,-0.126,0.18,0.27,0.6,0.055,0.078,0.664,0.064,0.086,2.909,0.926,0.461,558.6,78.34,93.76,0.031,0.008,0.006
211490302,08 43 57.918,+12 59 57.00,1,19.483,,,,08435791+1259569,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,16.653,0.154,15.744,0.14,15.488,0.159,3959,432,360,4.893,0.15,0.15,-0.246,0.25,0.35,0.366,0.144,0.136,0.406,0.16,0.192,6.745,8.286,3.286,945.9,567.1,407.6,0.033,0.011,0.008
211490306,09 03 38.246,+12 59 57.25,1,14.632,,,515-049411,09033822+1259572,5935-301-3-0130-0046,STAR,gri,lam,4.4,4.3,-8.6,4.8,,,15.431,0.05,14.778,0.06,,,15.037,0.05,14.618,0.02,14.458,0.06,,,13.642,0.026,13.317,0.032,13.263,0.03,5940,118,142,4.382,0.075,0.12,-0.335,0.15,0.15,1.008,0.186,0.101,0.921,0.074,0.062,0.866,0.276,0.309,1008,199.5,122,0.034,0.01,0.007
211490353,09 02 49.156,+12 59 59.55,1,13.764,,,515-049376,09024915+1259595,5935-301-3-0129-0043,STAR,gri,rpm,-3.8,2.6,-4.3,3.1,,,15.029,0.05,14.026,0.01,,,14.485,0.05,13.724,0.02,13.455,0.05,,,12.324,0.021,11.821,0.023,11.721,0.018,4935,79,79,3.051,0.732,0.61,-0.435,0.3,0.36,4.332,5.366,2.161,0.953,0.206,0.115,0.012,0.179,0.011,1782,1946,930.1,0.035,0.008,0.007
211490366,09 07 49.538,+13 00 00.49,1,12.777,,,516-050098,09074952+1300004,,STAR,gri,rpm,-35.2,1.9,-21.7,2.3,,,13.577,0.17,13.004,0.2,,,13.273,0.31,12.77,0.07,12.565,0.06,,,11.647,0.023,11.352,0.028,11.279,0.023,5881,180,180,4.394,0.078,0.234,-0.373,0.25,0.4,0.998,0.303,0.124,0.908,0.086,0.086,0.929,0.281,0.531,388.7,145.1,52.95,0.029,0.01,0.007
211490410,08 44 00.220,+13 00 02.84,1,16.738,,,516-049122,08440023+1300022,5194-301-2-0116-0293,EXTENDED,BV,,-8.4,8.6,15.1,8.3,,,17.342,0.11,16.817,0.092,,,17.131,0.1,,,,,,,15.34,0.095,14.69,0.107,14.286,0.084,,,,,,,,,,,,,,,,,,,,,,,,
211490415,09 09 57.152,+13 00 03.14,1,13.852,,,516-050206,09095714+1300032,5972-301-6-0149-0053,STAR,gri,rpm,-29.1,3,-10.3,3.3,,,15.493,0.12,14.341,0.14,,,14.991,0.22,13.785,0.02,13.365,0.03,,,12.05,0.027,11.419,0.032,11.288,0.024,4268,100,75,4.74,0.036,0.036,-0.11,0.18,0.15,0.553,0.04,0.043,0.62,0.04,0.056,3.664,0.601,0.517,176.2,18.34,19.74,0.023,0.007,0.006
211490460,09 03 13.666,+13 00 06.00,1,14.45,,,516-049909,09031365+1300060,5935-301-3-0129-0121,STAR,gri,rpm,6.9,4.3,-42.9,4.7,,,16.042,0.08,14.854,0.05,,,15.437,0.02,14.412,0.01,14.027,0.02,,,12.729,0.026,12.242,0.033,12.107,0.019,4505,72,72,4.682,0.054,0.036,-0.163,0.25,0.25,0.621,0.054,0.077,0.675,0.067,0.08,2.81,0.827,0.494,292.7,31.5,45.85,0.029,0.006,0.006
211490515,08 42 54.944,+13 00 08.72,1,14.366,,,516-049083,08425493+1300087,,STAR,JHK,rpm,1.7,6.5,2.8,6.1,,,,,,,,,,,,,,,,,12.105,0.024,11.505,0.028,11.244,0.02,3720,89,44,4.973,0.025,0.085,-0.015,0.18,0.08,0.305,0.083,0.006,0.341,0.091,0.02,11.32,0.679,4.012,90.9,23.75,4.011,0.016,0.007,0.002
211490572,08 45 31.711,+13 00 11.29,1,18.691,,,,,5194-301-2-0118-0171,STAR,gri,,-7,3,-1,3,,,,,,,18.998,0.02,18.7,0.008,18.688,0.009,18.508,0.01,18.587,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
