EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
211704106,08 24 49.141,+15 58 09.55,1,11.421,,,530-047212,08244913+1558095,,STAR,gri,rpm,4.1,2.1,2.4,1.2,,,12.704,0.01,11.754,0.02,,,12.17,0.01,11.419,0.03,11.1,0.04,,,9.959,0.021,9.457,0.022,9.32,0.019,4911,57,77,2.422,0.525,0.09,-0.497,0.16,0.28,10.527,0.973,4.424,1.049,0.203,0.113,8.99E-04,0.004,2.08E-04,1438,127.9,575.5,0.034,0.011,0.007
211704122,08 48 29.732,+15 58 10.15,1,11.686,,1393-2401-1,530-048507,08482972+1558101,,STAR,gri,lam,-3.2,2.3,-8.9,2.4,,,12.902,0.357,11.991,0.208,,,12.031,0.03,11.653,0.02,11.538,0.07,,,10.656,0.022,10.401,0.02,10.366,0.019,5938,141,176,3.999,0.145,0.145,-0.077,0.15,0.12,1.74,0.425,0.342,1.147,0.178,0.127,0.196,0.145,0.083,453.6,108.3,102.8,0.031,0.007,0.008
211704146,08 20 32.334,+15 58 11.34,1,13.686,,,530-046941,08203233+1558113,,STAR,gri,rpm,19.7,3.6,-1.2,4,,,15.152,0.03,14.073,0.03,,,14.613,0.01,13.624,0.02,13.289,0.02,,,12.021,0.023,11.466,0.024,11.341,0.02,4612,46,64,4.645,0.042,0.02,0.069,0.1,0.3,0.683,0.018,0.075,0.753,0.018,0.097,2.349,0.501,0.157,240.3,9.593,29.95,0.03,0.006,0.003
211704166,08 41 18.646,+15 58 12.12,1,11.422,,1392-1610-1,530-048158,08411863+1558122,,STAR,gri,apo,-12,2.8,3.1,2.9,,,12.258,0.236,11.695,0.197,,,12.094,0.03,11.383,0.03,11.134,0.02,,,9.971,0.027,9.452,0.03,9.347,0.018,4831,77,77,3.107,0.145,0.145,-0.159,0.12,0.15,5.077,0.999,0.835,1.224,0.192,0.137,0.009,0.006,0.003,740.2,137.5,116,0.034,0.011,0.008
211704236,08 36 35.837,+15 58 15.07,1,18.217,,,,08363583+1558150,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.661,0.14,16.256,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,
211704254,08 29 48.903,+15 58 15.90,1,12.38,,,530-047539,08294890+1558158,,STAR,gri,rpm,-2.2,1.4,-2.7,1.7,,,13.589,0.04,12.659,0.04,,,13.083,0.04,12.379,0.03,12.079,0.07,,,10.923,0.019,10.425,0.027,10.324,0.022,4967,80,100,2.677,0.7,0.35,-0.508,0.25,0.25,6.691,4.251,3.218,1.025,0.159,0.114,0.002,0.017,0.002,1581,746.7,793,0.034,0.01,0.007
211704256,08 32 07.701,+15 58 15.95,1,14.805,,,530-047668,08320771+1558158,5080-301-4-0098-0083,STAR,gri,rpm,-47.9,2.7,36,2.9,,,16.754,0.21,15.33,0.02,,,16.089,0.05,14.808,0.02,14.254,0.07,,,12.744,0.02,12.071,0.024,11.928,0.021,4016,111,47,4.819,0.04,0.04,-0.081,0.15,0.15,0.465,0.044,0.047,0.519,0.045,0.054,5.112,1.034,0.86,192.6,22.01,27.07,0.022,0.01,0.005
211704298,08 30 13.905,+15 58 18.03,1,9.487,,,530-047567,,,STAR,gri,,-7.9,1.3,0.1,1.9,,,13.185,0.4,11.499,0.36,,,12.343,0.42,10.675,0.27,8.263,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211704329,08 19 42.902,+15 58 19.37,1,13.869,,,530-046877,08194289+1558194,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,11.809,0.023,11.2,0.024,11.008,0.021,3820,179,149,4.907,0.088,0.055,-0.08,0.2,0.28,0.364,0.054,0.072,0.393,0.072,0.101,7.994,4.218,1.86,90.85,18.12,22.94,0.014,0.005,0.005
211704566,08 30 18.892,+15 58 30.97,1,15.961,,,530-047575,08301892+1558312,5112-301-4-0120-0483,STAR,JHK,rpm,32.7,8.8,-23.7,8.4,,,,,,,,,,,,,,,,,13.62,0.027,12.983,0.036,12.733,0.028,3781,219,219,4.93,0.102,0.085,-0.046,0.15,0.27,0.331,0.082,0.088,0.368,0.106,0.127,9.163,5.697,3.513,186,59.18,59.66,0.023,0.01,0.008
211704574,08 15 35.079,+15 58 31.23,1,12.97,,,530-046591,08153507+1558311,,STAR,gri,rpm,-5,2.1,-5.3,2.4,,,14.398,0.03,13.245,0.05,,,13.807,0.02,12.929,0.04,12.611,0.02,,,11.39,0.026,10.836,0.03,10.759,0.022,4754,75,75,2.669,0.609,0.435,-0.232,0.25,0.4,7.038,5.058,3.297,1.072,0.169,0.169,0.002,0.014,0.002,1854,1263,751.3,0.035,0.016,0.008
211704634,08 19 44.844,+15 58 34.33,1,17.412,,,,08194484+1558343,5071-301-3-0070-0101,STAR,gri,rpm,8,3,3,3,,,,,,,21.936,0.154,19.147,0.01,17.686,0.006,16.669,0.005,16.109,0.007,14.842,0.034,14.252,0.045,13.963,0.055,3465,34,41,5.063,0.024,0.028,0.017,0.16,0.08,0.22,0.021,0.012,0.208,0.025,0.016,18.86,2.497,2.881,187.3,19.59,12.02,0.023,0.005,0.005
211704751,08 43 34.533,+15 58 40.23,1,13.589,,,530-048264,08433453+1558402,,STAR,gri,rpm,-5.2,2.3,-9.1,3,,,14.893,0.05,13.878,0.02,,,14.33,0.03,13.568,0.02,13.272,0.03,,,12.054,0.027,11.513,0.031,11.406,0.02,4884,77,58,2.839,0.672,0.576,-0.604,0.35,0.42,5.489,5.194,2.669,0.919,0.129,0.103,0.003,0.027,0.002,2150,1787,975.9,0.031,0.01,0.006
211704830,08 50 40.542,+15 58 44.07,1,14.763,,,530-048610,08504053+1558441,5137-301-4-0131-0172,STAR,gri,rpm,-0.4,2.7,3.9,3,,,15.991,0.08,15.028,0.03,,,15.479,0.04,14.701,0.04,14.455,0.05,,,13.333,0.021,12.87,0.022,12.77,0.023,5043,100,100,4.557,0.045,1.044,-0.137,0.16,0.32,0.811,2.432,0.091,0.865,0.261,0.093,1.583,0.447,1.554,601.9,1701,94.77,0.033,0.008,0.007
211704837,08 37 18.304,+15 58 44.41,1,15.461,,,530-047945,08371830+1558445,,STAR,gri,rpm,-72.5,3.9,-47.7,3.8,,,18.098,0.149,16.227,0.071,,,17.199,0.05,15.825,0.06,14.717,0.03,,,12.745,0.021,12.092,0.023,11.865,0.022,3455,68,41,5.056,0.04,0.048,0.067,0.12,0.15,0.224,0.032,0.021,0.211,0.046,0.027,17.84,4.517,3.604,74.36,11.25,8.239,0.013,0.003,0.004
211704857,08 25 16.550,+15 58 45.33,1,11.575,,1379-304-1,530-047243,08251654+1558454,,STAR,gri,plx,2.7,1.8,-28.4,1.8,,,12.004,0.144,11.701,0.166,,,11.987,0.02,11.582,0.03,11.399,0.07,,,10.586,0.021,10.269,0.022,10.21,0.019,5982,95,95,4.382,0.05,0.11,-0.228,0.2,0.24,1.071,0.14,0.107,0.991,0.108,0.09,0.822,0.155,0.26,265.6,36.56,36.56,0.027,0.01,0.007
211704890,08 24 58.366,+15 58 46.70,1,10.4,,1379-433-1,530-047223,08245837+1558466,,STAR,gri,plx,-23.5,1.7,-0.1,1.7,,,11.644,0.109,10.625,0.062,,,11.095,0.01,10.412,0.03,10.102,0.05,,,9.001,0.024,8.529,0.018,8.432,0.022,5023,80,60,2.415,0.24,0.075,-0.666,0.12,0.3,10.071,0.77,2.459,0.947,0.087,0.062,9.05E-04,9.35E-04,2.03E-04,752.9,271.1,271.1,0.033,0.01,0.007
211704935,08 51 52.384,+15 58 48.72,1,12.267,,,530-048659,08515238+1558487,,STAR,gri,lam,12.3,1,-8.8,1.1,,,13.095,0.05,12.417,0.01,,,12.669,0.03,12.222,0.01,12.095,0.02,,,11.195,0.021,10.883,0.019,10.839,0.018,5701,170,170,4.437,0.045,0.081,0.055,0.08,0.1,0.998,0.132,0.072,1.005,0.06,0.048,0.998,0.174,0.251,309.1,54.22,26.55,0.03,0.01,0.006
211704990,08 43 24.238,+15 58 51.23,1,14.181,,,530-048254,08432423+1558512,,STAR,gri,rpm,-3.1,5.3,-0.2,4.2,,,15.235,0.05,14.395,0.03,,,14.755,0.03,14.147,0.01,13.935,0.02,,,12.829,0.025,12.357,0.029,12.317,0.02,5199,102,82,3.246,0.702,0.819,-0.856,0.49,0.35,3.23,5.472,1.694,0.895,0.088,0.049,0.018,0.166,0.017,1994,2632,1025,0.034,0.012,0.006
211704998,08 29 31.360,+15 58 51.55,1,14.46,,,530-047516,08293137+1558515,5112-301-4-0119-0104,STAR,gri,rpm,-20.4,4.6,5.2,5,,,15.641,0.01,14.78,0.043,,,15.176,0.06,14.458,0.02,14.153,0.06,,,12.989,0.021,12.49,0.028,12.388,0.026,5023,101,101,4.59,0.035,0.875,-0.202,0.2,0.32,0.74,1.473,0.067,0.808,0.121,0.086,1.843,0.347,1.786,455.9,952.9,49.57,0.032,0.013,0.008
211705031,08 20 57.034,+15 58 52.97,1,12.733,,,530-046965,08205703+1558529,,STAR,gri,rpm,-9.1,2.9,4.6,2.2,,,13.238,0.01,12.785,0.02,,,12.945,0.02,12.663,0.04,12.549,0.03,,,11.77,0.022,11.534,0.024,11.49,0.02,6374,152,152,4.154,0.14,0.168,-0.157,0.15,0.27,1.475,0.391,0.228,1.198,0.165,0.137,0.358,0.23,0.179,664.3,176.2,102.8,0.032,0.011,0.007
211705076,08 37 45.421,+15 58 54.69,1,9.298,,1392-1716-1,530-047963,08374542+1558546,,STAR,gri,plx,0.7,1.1,-34.4,1.1,,,10.538,0.056,9.391,0.027,,,10.411,0.05,9.393,0.21,8.821,0.01,,,7.555,0.02,7.041,0.027,6.913,0.026,4803,95,76,3.071,0.06,0.12,-0.119,0.2,0.28,5.399,0.606,0.395,1.243,0.205,0.175,0.008,0.002,0.002,253.2,24.83,24.83,0.029,0.01,0.008
211705115,08 24 15.407,+15 58 56.57,1,12.212,,,530-047173,08241540+1558565,,STAR,gri,rpm,-8.1,0.5,-26.6,1.1,,,12.999,0.01,12.387,0.04,,,12.622,0.01,12.203,0.02,12.036,0.04,,,11.226,0.021,10.909,0.022,10.856,0.018,5939,119,119,4.298,0.13,0.364,-0.308,0.25,0.4,1.151,0.575,0.187,0.943,0.155,0.064,0.598,0.372,0.433,381.3,170.6,69.65,0.033,0.006,0.007
