206209286,22 10 12.882,-09 36 36.76,1,16.874,,,,22101288-0936367,2576-301-1-0075-0082,EXTENDED,gri,,-1,3,-3,3,,,,,,,19.799,0.073,17.824,0.008,16.87,0.005,16.467,0.005,16.117,0.011,15.617,0.073,14.812,0.107,14.463,0.102,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,15.7,
206209314,22 40 55.266,-09 36 35.13,1,11.915,,5812-1327-1,402-129735,22405527-0936350,,STAR,gri,rpm,-11.5,2.2,-8.5,2.3,,,12.203,0.177,12.118,0.227,,,12.313,0.03,11.843,0.04,11.744,0.04,,,10.758,0.028,10.466,0.022,10.424,0.024,5996,118,118,4.141,0.21,0.21,-0.064,0.15,0.21,1.436,0.581,0.354,1.116,0.181,0.113,0.341,0.406,0.185,390.2,136.2,101,0.042,0.026,0.008,AAA-222-111-000-0-0,,
206209410,22 27 16.552,-09 36 30.27,1,13.386,,,402-129318,22271655-0936302,,STAR,gri,rpm,7.1,2.2,-9.6,2.8,,,14.233,0.03,13.665,0.01,,,13.82,0.04,13.452,0.03,13.201,0.06,,,12.326,0.027,11.93,0.03,11.927,0.033,5820,204,170,3.964,0.4,1.52,-0.68,0.4,0.96,1.513,6.97,0.576,0.871,0.129,0.065,0.215,0.67,0.213,821.2,3124,318.3,0.044,0.022,0.01,AAA-222-111-000-0-0,,
206209519,22 47 00.885,-09 36 24.00,1,13.281,,,402-129885,22470088-0936240,,STAR,gri,rpm,11.1,2.5,-26.2,1.4,,,14.411,0.05,13.577,0.02,,,13.966,0.02,13.195,0.22,12.987,0.11,,,12.013,0.021,11.604,0.026,11.494,0.024,5308,191,127,4.542,0.04,0.048,-0.15,0.2,0.32,0.825,0.08,0.073,0.876,0.051,0.081,1.508,0.305,0.299,340.7,47.78,41.9,0.04,0.014,0.007,AAA-222-111-000-0-0,,
206209609,22 27 32.465,-09 36 18.69,1,13.467,,,402-129328,22273246-0936186,,STAR,gri,rpm,0.7,2.9,2.5,3.2,,,15.302,0.02,14.024,0.04,,,14.607,0.02,13.55,0.02,12.978,0.063,,,11.476,0.023,10.764,0.025,10.6,0.023,4338,86,51,1.586,0.224,0.352,-0.526,0.2,0.4,25.327,12.464,5.694,0.955,0.031,0.116,5.67E-05,7.81E-05,3.95E-05,5730,2761,1403,0.044,0.015,0.005,AAA-222-111-000-0-0,,
206209610,22 10 49.692,-09 36 18.64,1,13.62,,,402-128847,22104968-0936185,2576-301-1-0076-0047,STAR,gri,rpm,75.8,1.9,-66,2,,,15.887,0.066,14.429,0.039,,,15.253,0.042,13.773,0.044,12.92,0.08,,,11.136,0.024,10.516,0.023,10.304,0.019,3606,87,43,4.989,0.055,0.025,0.008,0.09,0.12,0.286,0.025,0.049,0.286,0.046,0.055,12.14,4.312,1.566,67.6,29.22,20.4,0.021,0.01,0.006,AAA-222-111-000-0-0,,
206209745,22 10 28.383,-09 36 10.72,1,18.08,,,,,2576-301-1-0075-0376,EXTENDED,gri,,8,4,3,4,,,,,,,20.155,0.117,18.798,0.018,18.145,0.014,17.772,0.014,17.607,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206209748,22 42 19.186,-09 36 10.53,1,11.6,,5812-912-1,402-129758,22421919-0936104,,STAR,gri,rpm,1.8,3,-22.3,3.1,,,12.254,0.236,11.553,0.16,,,12.053,0.01,11.466,0.22,11.406,0.14,,,10.615,0.026,10.352,0.029,10.238,0.023,6070,194,194,4.195,0.175,0.175,-0.033,0.12,0.21,1.365,0.353,0.281,1.137,0.135,0.113,0.396,0.333,0.181,348.1,91.15,84.77,0.041,0.022,0.011,AAA-222-111-000-0-0,,
206209806,22 31 58.588,-09 36 07.35,1,12.263,,5811-220-1,402-129465,22315856-0936073,,STAR,gri,rpm,9.9,3.2,-4.1,3.3,,,12.977,0.316,12.357,0.218,,,12.581,0.02,12.211,0.01,12.127,0.05,,,11.298,0.024,11.059,0.026,11.024,0.024,6251,126,101,4.146,0.162,0.162,-0.09,0.12,0.21,1.439,0.396,0.264,1.218,0.127,0.169,0.337,0.229,0.156,535.8,129.5,104.3,0.042,0.012,0.01,AAA-222-111-000-0-0,,
206209858,22 54 43.882,-09 36 04.11,1,13.943,,,402-130099,22544388-0936040,,STAR,JHK,rpm,-3.2,1.8,-0.6,1.9,,,,,,,,,,,,,,,,,12.405,0.023,11.844,0.026,11.782,0.026,4800,114,95,2.435,0.665,0.475,-0.701,0.45,0.45,8.597,6.037,4.514,0.901,0.073,0.088,9.32E-04,0.008,7.46E-04,3787,2600,1764,0.043,0.018,0.01,AAA-222-111-000-0-0,,
