EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
206007432,22 08 27.687,-14 36 44.07,1,10.884,,5809-1589-1,377-171386,22082769-1436439,,STAR,gri,rav,13.6,2,-17.7,2,,,11.282,0.08,10.871,0.087,,,11.033,0.01,10.835,0.04,10.777,0.01,,,10.058,0.024,9.859,0.024,9.798,0.026,6354,153,153,3.996,0.135,0.135,-0.01,0.1,0.12,1.952,0.422,0.347,1.388,0.148,0.148,0.179,0.121,0.072,390,107.4,71.53,0.041,0.016,0.008,AAA-222-111-000-0-0,,
206007447,22 13 44.347,-14 36 41.98,1,12.935,,,377-171581,22134434-1436419,,STAR,gri,rpm,20.2,1.2,-12.5,1.3,,,14.123,0.03,13.243,0.02,,,13.635,0.02,12.947,0.01,12.635,0.04,,,11.523,0.022,11.055,0.022,10.945,0.023,5116,122,102,3.53,1.012,0.368,-0.578,0.48,0.3,2.585,1.179,1.891,0.898,0.043,0.094,0.047,2.006,0.033,815.7,377,591.5,0.04,0.011,0.008,AAA-222-111-000-0-0,,
206007454,22 13 10.906,-14 36 41.56,1,18.232,,,,22131090-1436415,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.674,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDU-220-110-000-0-0,10.8,
206007506,22 09 26.962,-14 36 36.61,1,11.631,,5809-1325-1,377-171428,22092694-1436367,,STAR,gri,rpm,-16.5,3.2,-18.8,3.4,,,12.616,0.36,11.651,0.208,,,11.995,0.02,11.578,0.03,11.475,0.03,,,10.606,0.025,10.329,0.025,10.258,0.023,6087,121,96,4.178,0.168,0.168,-0.063,0.12,0.24,1.356,0.336,0.269,1.136,0.105,0.126,0.388,0.315,0.174,354.5,73.67,71.87,0.041,0.016,0.009,AAA-222-111-000-0-0,,
206007536,22 52 35.314,-14 36 34.14,1,10.858,,5819-485-1,377-172717,22523531-1436341,,STAR,gri,rpm,-68.1,3.1,-4.8,3,,,12.871,0.395,11.746,0.218,,,12.209,0.01,10.882,0.01,10.279,0.02,,,8.855,0.02,8.201,0.034,8.058,0.016,4326,200,281,4.718,0.09,0.045,0.002,0.15,0.15,0.576,0.06,0.104,0.647,0.064,0.115,3.282,1.572,0.583,43,7.521,10.83,0.012,0.006,0.004,AAA-111-111-000-0-0,,
206007587,22 49 26.633,-14 36 29.55,1,17.627,,,,22492663-1436295,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,16.122,0.129,15.604,0.175,15.096,0.171,3841,1140,380,4.912,0.15,0.3,-0.243,0.25,0.55,0.342,0.277,0.133,0.388,0.299,0.187,8.452,11.14,6.25,655.5,955.8,310.7,0.042,0.016,0.009,BCC-222-111-000-0-0,,
206007654,22 31 46.908,-14 36 22.56,1,12.62,,,377-172154,22314689-1436225,,STAR,gri,rpm,-10.3,1.2,-14,1,,,13.393,0.03,12.784,0.03,,,13.004,0.02,12.592,0.01,12.456,0.05,,,11.494,0.025,11.193,0.025,11.109,0.026,6024,119,71,4.203,0.16,0.224,-0.208,0.2,0.16,1.306,0.48,0.232,1.062,0.121,0.101,0.417,0.393,0.225,505.8,172.4,95.61,0.041,0.022,0.007,AAA-222-111-000-0-0,,
206007711,22 22 32.745,-14 36 17.48,1,15.235,,,377-171880,22223274-1436174,,STAR,JHK,rpm,7.4,2.5,-30.3,2.7,,,,,,,,,,,,,,,,,13.06,0.029,12.417,0.03,12.225,0.028,4031,311,194,4.813,0.08,0.096,-0.036,0.12,0.24,0.454,0.109,0.088,0.514,0.114,0.095,5.325,2.372,1.903,209.5,75.19,47.24,0.036,0.014,0.008,AAA-222-111-000-0-0,,
206007714,22 11 35.145,-14 36 17.29,1,12.887,,,377-171508,22113513-1436172,,STAR,gri,rpm,19.3,3.6,-24,1.1,,,13.835,0.05,13.074,0.04,,,13.393,0.03,12.842,0.03,12.67,0.05,,,11.67,0.024,11.288,0.023,11.269,0.024,5609,110,88,4.486,0.045,0.522,-0.245,0.25,0.25,0.909,0.765,0.093,0.91,0.075,0.075,1.188,0.274,0.996,340.2,306.2,36.44,0.04,0.013,0.006,AAA-222-111-000-0-0,,
206007733,22 48 43.102,-14 36 15.42,1,14.77,,,377-172610,22484310-1436153,,STAR,gri,rpm,28.6,2.1,-6.3,4,,,16.51,0.07,15.301,0.05,,,16.004,0.05,14.706,0.03,14.241,0.1,,,12.664,0.027,12.036,0.026,11.831,0.026,4008,96,120,4.849,0.084,0.06,-0.133,0.2,0.28,0.437,0.064,0.085,0.491,0.073,0.102,5.708,3.173,1.378,165.4,29.83,34.26,0.034,0.013,0.009,AAA-222-111-000-0-0,,
